HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
Atlanta,Chicago,3,6.58,7.12,14.7,22,22,4.54,1.66,-0.4,10.02,5.29,9.38,4.3,5.3,10.8,12.21,4.88,8.24,0.3,3,17.77,3,2,,32.7,4.5,3,5,7.26,,31,3,5
Baltimore,Tennessee,3.5,11.34,17.08,-0.15,-7.54,-5,9.23,10.4,14.6,12.21,6.03,8.28,9.1,10,1.68,12.01,5.39,7.18,8.88,7,3.09,5,5,,-5.57,4,10,4,16.45,,7,26,5
Buffalo,N.Y. Jets,-4.5,-7.14,-8.03,-7.74,-31.81,-27,-4.2,-3.31,0.7,-6.3,-4.14,-3.5,-3.3,-6.6,-8.88,-3.39,-4.47,-5.15,-5.53,-1,-1.88,-2,-3,,0.01,-1.5,-1,-1,-13.82,,42,36,5
Cleveland,San Diego,-3,-1.91,-2.54,-13.13,19.76,-10,-0.17,-3.18,-10.2,-0.32,-4.17,-4.63,-5,-4,-17.15,-1.93,-4.65,-5.2,-6.56,-3,-17.84,0.25,-2,,-0.23,-1,-5,3,-10.24,,16,20,5
Denver,Kansas City,10,5.01,10.32,2.45,-19.99,-3,4.82,6.39,9.7,6.45,7.69,7.81,6.5,4.3,2.03,3.8,7.38,6.7,9.79,9,22.09,5,5,,-4.22,8.5,6,9,11.49,,6,20,5
Detroit,St. Louis,-11.5,-13.89,-25.29,-25.05,-18,-17,-9.72,-17.77,-9.8,-17.79,-7.4,-10.58,-23.4,-10.8,-25.27,-16,-9.68,-15.08,-5.89,-11,-25.6,-5,-10,,-28.96,-10.5,-8,-4,-19.24,,35,0,5
Miami,New England,10,8.34,0.53,1.68,-34.07,16,3.31,3.59,12.5,2.36,8.05,2.45,-8.1,-4.9,-2.45,-7.03,4.93,4.82,0.61,9,15.17,6,3,,6.86,6,7,7,6.97,,10,30,5
N.Y. Giants,Washington,14,13.22,24.59,16.35,4.72,15,11.51,6.78,17.1,24.82,13.96,23.2,29.6,15.5,9.58,18.38,22.48,16.35,7.54,13,23.86,10,13,,11.05,15.5,20,11,17.48,,9,23,5
New Orleans,Minnesota,3.5,5.76,4.75,5.94,5.54,7,4.18,-0.97,4.4,11.33,3.99,8.68,8.1,8.6,3.35,12.48,9.32,6.67,6.7,5,28.07,4,3,,4.11,5.5,7,3,1.68,,15,28,5
Oakland,Dallas,19,14.06,22.68,3.24,52,20,10.7,6.28,18.2,19.67,15.08,11.88,16.8,15.7,-0.43,17.01,20.4,14.46,16.3,18,8.95,11,13,,20.45,19,22,12,12.89,,21,28,5
Philadelphia,Arizona,14,20.15,17.31,28.65,24.04,26,12.95,5.84,18.8,23.41,21.87,18.27,26.1,19.4,26.15,22.91,27.27,20.12,17.72,20,22.25,12,16,,20.38,18.5,26,13,17.27,,21,20,5
Pittsburgh,Cincinnati,6,-6.54,-1.4,-0.91,6,-6,-0.82,-8.03,9.2,2.39,9.01,-2.06,0.3,3.6,-4.15,1.41,7.11,1.9,6.73,7,-8.57,3,4,,27.15,8,11,5,-15.17,,7,16,5
San Francisco,Carolina,6,8.19,10.89,1.1,20.04,7,8.19,5.77,5.2,8.6,4.09,4.2,6,4.5,0.14,8.39,4.1,5.83,1.6,6,7.72,5,3,,6.61,4.5,5,4,11.79,,14,24,5
Seattle,Jacksonville,,6.36,-5.03,-11.34,-14.5,-22,-0.84,-0.67,3.8,-4.91,-3.7,-8.17,-3.8,-8.3,-16.92,-14.51,-6.99,-4.37,-3.24,-2,-5.69,-3,-6,,-0.92,-1.5,-2,2,4.66,,15,24,5
Tampa Bay,Green Bay,2.5,-6.15,-3.51,-15.29,-41.02,-28,-5.22,-5.66,-7.6,-10.62,-2.61,-11.84,-12.2,-8.7,-18.17,-10.1,-5.23,-7.66,-2.55,1,-3.41,-2,-9,,-15.43,-1.5,-3,5,-12.07,,10,14,5
Atlanta,San Francisco,3,-1.85,-2.99,0.45,66.47,-1,-2.54,-0.08,-4.9,-3.96,-0.21,3.44,-6.1,0.2,-2.5,0.31,-0.76,-1.1,3.28,0,2.82,-1,-5,,-9.64,3.5,-5,4,-0.64,,37,31,6
