Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
New England,N.Y. Jets,6.5,6.5,6.59,7,7.72,5.88,9.17,7,7.7,9.85,6.32,4.93,9.3,12.17,5.67,9.97,5.51,4,-1.53,-2.07,-7.93,1,,,8.32,4.72,0.52,11.7,6.5,3.9,,,,,,4.9,6.11,,3.33,,,,2.8920212266,16,23,3,7
San Diego,Baltimore,-1,-3.04,0.27,2,1.76,-0.92,-0.88,0,-1.7,-5.02,-4.32,-0.79,-2.9,-2.01,-8.11,-2.99,-7.72,-3,5.37,5.04,-6.83,2,,,-2.87,-3.19,1.08,0.7,-1,-2.39,,,,,,0.1,0.64,,2.98,,,,2.7638126103,24,10,3,-14
San Francisco,Cleveland,7,9.47,8.44,7,5.79,11.07,8.95,10,13.4,14.42,9.49,6.52,7.7,7.45,23.34,10.68,19.31,9,16.94,15.6,34.76,10,,,8.55,11.76,6.38,8.4,7,19.92,,,,,,7.3,7.92,,18.21,,,,4.5567177475,13,12,3,-1
Seattle,St. Louis,3,4.75,13.25,6,3.13,9.01,7.42,-2,16.3,5.34,5.98,7.55,11.3,6.97,19.01,15.14,21.09,7,15.98,16.22,15.7,9,,,3.35,6.52,8.87,5.6,3,12.78,,,,,,5.8,8.56,,8.54,,,,5.3186422037,23,24,3,1
Tennessee,New Orleans,4.5,6.04,-1.16,6,-4.07,5.32,-3.71,8,9.4,5.38,4.61,1.7,8.4,8.87,-6.3,0.36,-3.06,2,8.5,9.31,17.97,6,,,7.27,4.82,10.37,5.2,4.5,1.17,,,,,,6.7,2.56,,21.4,,,,4.6596163422,12,27,3,15
Washington,N.Y. Giants,2.5,5.86,4.6,4,1.47,3.27,5.01,0,7.8,-2.88,3.67,3.24,7.9,3.66,2.53,9.5,2.66,6,-5.17,-5.68,-5.24,0,,,8.14,3.92,-0.08,11,2.5,9.12,,,,,,3.2,4.24,,-7.94,,,,3.4000315429,24,21,3,-3
Baltimore,Kansas City,-3,0.35,-2.62,-2,1,-4.54,-3.16,-4,-11,-5.15,0.84,-1.31,-4.4,-6.38,-2.81,-8.24,-6.3,-6,-11.75,-11.22,14.01,-7,,-3.16,0.63,0.05,-3.93,,-3,-10.9,-5.93,-3.72,,,,-3,-2.15,-3,,,,,3.2200625093,17,10,4,-7
Buffalo,Philadelphia,3,7.71,9.18,6,1.18,13.86,10.13,3,16.3,23.09,7.59,9.13,13.9,11.03,23.34,28.75,21.71,7,20.31,20.36,23.17,4,,10.13,6.3,9.74,6.48,,3,30.71,19.3,9.89,,,,7.6,13.51,32,,,,,8.5675983397,23,13,4,-10
Carolina,Atlanta,6,6.51,7.71,8,-2.35,7.73,8.66,0,7.6,5.68,4.47,4.34,9.4,11.21,6.54,10.57,2.91,10,19.03,19.62,56.75,0,,8.66,9.34,4.3,4.66,,6,2.91,11.73,7.19,,,,6.3,9.15,10,,,,,3.5903519021,3,23,4,20
Chicago,Green Bay,-4,-2.29,-8.9,-2,-3.87,-4.77,-2.64,-5,-7.6,-4.64,-1.51,0.4,-0.6,-7.95,-10.91,-2.77,-12.44,-7,-8.34,-7.78,-3,-5,,-2.64,-0.3,-4.66,-2.54,,-4,-13.88,-1.28,0.21,,,,-1.9,-3.57,-6,,,,,3.789125165,38,23,4,-15
Cleveland,Cincinnati,4.5,6.7,-1.2,6,6.88,5.94,8.16,8,2.8,5.72,7.85,4.15,7.3,6.6,3.35,5.23,1.96,7,5.6,5.14,18.38,10,,8.16,8.93,5.28,9.24,,6,0.67,3.57,5.34,,,,5.7,6.05,13,,,,,2.9743882993,21,14,4,-7
Denver,Detroit,12,15.68,11.8,11,22.07,17.91,17.03,18,25.4,22.51,19.31,9.96,25.1,15.25,16.85,27.08,15.67,8,20.7,22.9,31.09,24,,17.03,14.9,16.54,16.84,,13,20.43,30.13,5.51,,,,13.1,10.7,30,,,,,6.4388951203,16,20,4,4
Houston,Jacksonville,-3,1.03,-2.07,-2,-7.02,-0.48,2.32,0,0.5,-4.44,-3.31,2.18,-1.8,10.2,0.76,-1.76,-0.53,1,-11.8,-11.03,-35.06,-4,,2.32,3.84,-2.25,2.48,,-3,0.39,6.17,8.24,,,,-1.3,4.36,-13,,,,,4.6196830838,20,24,4,4
Minnesota,San Francisco,2.5,4.98,7.79,4,-2.64,3.94,5.39,2,9.5,1.51,4.67,5.23,6.4,15.9,1.16,7.67,0.86,4,0.03,-1.15,-23.05,1,,5.39,9.1,0.91,4.43,,2.5,-4.17,1.13,10.44,,,,4.3,8.75,-11,,,,,5.1638203354,7,35,4,28
N.Y. Jets,Dallas,3,4.45,-2.07,0.25,10.19,0.31,-0.15,6,3.5,0.51,7.46,1.5,3.9,-9.55,0.18,2.43,-4.7,-2,-9.73,-10.82,4.7,13,,-0.15,2.02,6.95,9.5,,3,3.27,-4.36,-4.49,,,,0.6,-2.69,-6,,,,,5.2624967534,17,6,4,-11
New Orleans,Indianapolis,-1.5,-3.66,-0.71,-5,-2.47,-5.09,-5.1,-2,-11.6,-6.42,-4.32,-2.07,-5.4,-5.32,-9.35,-6.07,-3.5,-6,-11.87,-11.66,-36,0,,-5.1,-4.82,-2.64,-1.08,,-2,-5.58,-5.62,-5.74,,,,-6.3,-5.58,0,,,,,2.6405652615,55,21,4,-34
Oakland,San Diego,7,9.32,6.96,5,10.98,7.67,6.03,12,13.1,3.78,10.82,5.87,12.3,6.42,7.39,9.36,10.05,6,4.14,3.92,21.71,13,,6.03,9.96,8.66,12.31,,7,9.16,5.41,4.11,,,,7.1,5.67,1,,,,,3.1521898959,31,34,4,3
Pittsburgh,Tennessee,3,2.53,3.36,-0.25,6.3,4.29,4.59,4,-0.6,9.16,5.32,2.97,-0.9,3.21,5.49,6.36,5.84,2,8.46,9.32,22.17,2,,4.59,2.47,2.57,1.18,,3,5.83,5.86,3.18,,,,-0.2,2.87,19,,,,,3.8467456924,30,13,4,-17
St. Louis,Arizona,10.5,9.93,1.61,3,14.21,12.17,8.32,17,14.1,13.1,13.46,4.83,14.5,6.19,9.9,15.6,9.76,7,26,26.95,10.71,17,,8.32,8.12,12.91,12,,10,19.29,15.08,2.09,,,,7.3,4.45,33,,,,,6.5066878809,13,37,4,24
Washington,New England,3,-0.56,3.8,-2,-3.84,3.09,2.14,-2,5.4,1.1,-1.03,2.74,-0.3,5.98,4.22,0.96,6.15,3,10.99,10.8,40.58,1,,2.14,-0.73,-0.46,3.08,,2.5,9.81,6.75,4.43,,,,-0.1,3.24,6,,,,,3.2147988909,17,20,4,3
