Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
Seattle,Detroit,10.5,9.88,10.2,11,10.16,10.21,11.64,9,9.2,15.14,,5.84,8.5,15.29,10.86,7.61,8.21,7,14.21,7.45,9.44,12,13.32,,9.71,10.1,11.37,,10,7.89,8.28,10.79,8.79,10.92,2.8,6.4,11.72,14,7,10.68,9.88,,2.6876965312,14,35,11,21
Tampa Bay,Green Bay,4,5.23,3.61,6,8.19,5,6.71,6,1.9,3.29,,4.25,2.2,3.01,5.04,5.76,4.71,2,3.7,-2,5.44,6,7.22,,6.48,4.07,7.15,,3.5,6.81,5.16,3.22,4.12,5,-10.9,4.3,3.21,8,3.84,7.43,3.88,,3.4067576691,20,13,11,-7
Tennessee,Jacksonville,10,14.16,14.18,17,12.77,14.77,15.32,15,17.2,17.81,,13.3,17.2,16.85,13.18,16.21,10.82,14,16.29,19,11.2,15,16.9,,14.29,14.03,17.3,,11,17.92,10.62,12.57,14.11,14.98,31.5,12.7,16.23,15,9.15,11.74,15.08,,3.661373855,3,10,11,7
Arizona,St. Louis,-7.5,-7.25,-7.03,-9,-11.14,-8.38,-7.97,-13,-11.3,-5.6,,-8.87,-8.2,0.74,-9.87,-9.21,-7.93,-9,-15.77,-19,-9.08,-15,-12.27,,-4.16,-13.1,-9.3,,-8,-14.32,-2.51,-1.66,-9.19,-8.58,-15.6,-7.6,-13.82,-9,-3.13,-7.51,-4.54,,3.8295755444,30,27,12,-3
Atlanta,Tennessee,-6.5,-12.04,-15.47,-13,-7.83,-11.21,-10.47,-8,-20.2,-10.7,,-9.72,-13.8,-8.66,-8.67,-11.3,-6.22,-10,-15.17,-19.4,-19.81,-10,-13.86,,-11.83,-13.25,-14.69,,-7,-13.83,-5.63,-6.4,-11.19,-11.88,-25,-9.7,-13.47,-16,-8.17,-8.12,-16.06,,4.0823004699,38,31,12,-7
Baltimore,Seattle,2.5,1.46,-1.65,0.25,3.33,2.27,-0.14,3,5.9,7.73,,1.54,3,7.92,0.53,5.24,0.97,-1,2.13,0.5,13.05,4,2.99,,0.71,2.23,2.78,,2,5.26,1.27,-0.33,2.75,1.09,5.2,1.8,-1.85,7,0.58,1.65,3.3,,2.6223267943,41,44,12,3
Buffalo,Indianapolis,-3,-5.09,-3.55,-6,-2.35,-4.36,-5.66,-4,-14.2,-3.01,,-2.84,-5.9,-0.11,-3.25,-5.31,-1.5,-5,-6.16,-1.9,0.36,-5,-6.13,,-5.48,-4.83,-4.33,,-3,-7.06,-2.26,-3.4,-4.5,-5.93,-18.7,-6.3,-6.85,-4,-2.16,-3.01,-1.65,,3.5189739394,17,14,12,-3
Cleveland,Pittsburgh,3,4.63,6.44,5,2.15,5.01,6.18,3,7.6,6.06,,5.01,6.8,4.81,7.02,6.01,5.66,3,-3.09,-4,-3.57,7,6.44,,3.39,5.73,5.14,,3,7.62,3.64,2.46,4.34,4.67,-10.4,5.2,5.57,4,-2.94,4.52,1,,3.1939653767,13,6,12,-7
Dallas,Carolina,3,0.75,4.75,1,1.44,1.58,-0.43,4,-6.4,5.21,,2.83,2.3,1.96,4.55,1.99,3.73,-1,5.08,4.2,0.25,6,1.45,,-2.19,1.72,1.63,,3,1.68,0.46,-0.01,1.02,1.06,-1,1.2,1.92,-1,0.81,0.49,-2.91,,2.4350012155,20,24,12,4
Denver,Chicago,10.5,11.19,14.72,12,13.86,11.28,12.07,12,7.5,15.42,,8.88,9.1,15.41,12.1,9.75,9.48,6,15.05,18.7,13.81,15,15.29,,10.33,12.89,10.73,,10,12.07,7.83,7.79,10.57,10.6,4.3,8,12.18,17,6.43,11.47,5.91,,3.0254411856,19,10,12,-9
Green Bay,San Francisco,4.5,3.55,3.76,3,4.1,3.08,3.77,5,-9.9,5.82,,2.01,-1,7.58,0.72,2.33,1.22,-1,6.23,7.8,13.13,3,3.48,,4.94,2.26,4.7,,4.5,2.14,3.59,5,2.33,3.93,-3.2,2.6,-0.19,7,3.25,4.01,0.8,,3.3083844201,10,20,12,10
Houston,New England,-5.5,-4.45,-11.76,-7,-10.53,-6.69,-6.74,-9,-4.4,-4.44,,-6.52,-8.5,0.12,-5.82,-6.09,-2.96,-9,-3.08,-9.7,5.39,-8,-5.93,,-3.92,-6.08,-11.97,,-5.5,-7.55,-2.05,-4.96,-6.21,-5.66,-35.4,-7.4,-9.25,-8,-0.78,-6.96,-11.27,,5.8929236836,23,20,12,-3
Kansas City,Oakland,11,15.61,16.56,18,10.47,15.72,15.95,14,27.7,20.88,,14.2,18.8,20.66,13.17,15.5,11.23,14,18.35,17.7,23.13,13,18.85,,16.52,15.82,18.51,,11.5,17.96,11.67,12.48,14.93,17.71,58,12.7,15.71,20,10.3,10.04,15.63,,8.5132864448,24,27,12,3
Miami,Washington,6.5,7.17,5.36,7,10.32,7.4,7.91,8,14.8,7.77,,8.03,9.3,5.54,8.52,8.42,6.64,6,9.65,10.3,0.47,9,10.2,,6.09,8.36,8.27,,6,8.18,5.92,4.46,7.76,6.63,23.9,7.7,7.87,7,4.02,9.4,4.81,,3.4955613234,23,24,12,1
Minnesota,Detroit,10.5,9.59,10.48,11,12.13,9.76,10.19,9,4,13.71,,7.78,9.8,11.03,10.5,7.12,8.69,7,13.47,15,13.86,13,12.63,,7.91,11.24,10.65,,10.5,10.42,6.96,7.48,9.1,10.78,-9.4,3.2,10.48,15,4.82,11.59,6.99,,4.3455235786,14,24,12,10
N.Y. Jets,Jacksonville,4,4.67,3.79,6,5.18,4.72,5.7,7,-9.4,6.85,,2.75,1.8,6.25,6.58,2.83,5.42,2,6,5.2,-0.76,8,6.24,,4.45,4.91,6.77,,4,2.73,4.06,3.77,4.17,5.14,-11,2.6,5.41,3,3.19,6.26,3.07,,4.1419266576,10,13,12,3
Philadelphia,New Orleans,5.5,4.57,-0.88,6,5.56,4.9,5.7,11,-0.2,5.1,,5.76,6.4,3.65,4.82,5.67,4.27,5,8.95,8.7,4.73,8,5.69,,4.67,4.76,7.85,,5.5,4.83,4.22,6.31,4.42,5.26,10.1,4.9,4.63,1,4.56,7.28,-3.7,,2.4320074486,20,33,12,13
San Diego,Cincinnati,-3,-2.56,-6.77,-3,1.49,-3.16,-5.53,1,-14.2,-0.59,,-5.48,-8.4,1.04,-2.34,-3.21,-1.21,-7,-3.7,-10.9,-7.52,0,-2.41,,-2.94,-2.22,-3.66,,-3,-4.45,-1.53,-3.36,-2.55,-4.67,-31.1,-3.3,-5.37,-4,-1.52,1.2,-5.05,,6.0038452812,34,27,12,-7
Tampa Bay,N.Y. Giants,5.5,6.13,1.31,7,10.88,6.47,6.79,7,9.7,5.74,,8.71,6.1,-0.6,9.31,8.52,7,1,11.65,2.9,1.57,10,10.23,,3.72,8.77,6.1,,5.5,12.92,5.13,3.36,7.36,7.05,-9.3,5.2,7.4,8,1.95,10.49,1.32,,4.2286827927,13,19,12,6
Baltimore,San Francisco,3,2.82,5.91,2,4.71,2.64,3.99,1,-7.4,3.69,,1.82,1.9,8.62,0.54,1.08,1.07,1,2.5,-1.9,14.82,1,2.67,5,5.1,0.44,1.86,,3,-0.65,3.68,,1.33,3.9,-10.2,1.6,1.38,,3.1,5.85,2.74,,3.6284218774,6,44,13,38
Carolina,Philadelphia,1.5,2.39,1.35,2,-8.15,0.63,3.23,-4,-2.8,-1.08,,-0.63,-3.2,1.58,2.24,-0.47,2.53,-1,-1.15,-0.9,0.31,-3,3.45,5,4.1,1.56,-2.33,,1.5,-0.69,3.5,,1.37,1.78,-24,0,2.11,,1.93,-1.07,-3.6,,5.3523358926,25,16,13,-9
Chicago,Arizona,4.5,4.97,7.51,5,9.66,7.61,5.01,10,18.2,10.31,,9.53,8.3,7.59,7.62,9.8,7.38,4,10.31,12.75,17.6,13,9.08,7,3,8.98,8.12,,4.5,11.67,4.02,,6.98,7.06,16.1,6.2,7.31,,2.15,8.23,7.7,,3.361633722,3,28,13,25
Dallas,Miami,3,2.74,4.45,2,-1.03,2.64,4.7,1,-4.8,2.61,,2.18,3.1,3.12,3.47,2.09,3.18,5,4.04,2.1,-2.84,2,2.34,3,4.02,1.84,2.15,,3,2.29,3.21,,1.19,4.78,4.1,2,3.37,,4.73,-0.89,0.27,,1.9926100541,40,21,13,-19
Detroit,Green Bay,-7,-5.75,-7.49,-7,-7.8,-7.17,-6.37,-10,-18.1,-8.52,,-6.94,-12.6,-0.43,-5.75,-9.19,-3.2,-7,-10.9,-11.05,-12.5,-13,-8.12,-4,-3.8,-8.32,-7.7,,-7.5,-13.91,-2.57,,-7.04,-6.99,-32.1,-7.5,-7.85,,-2.48,-6.37,-6.16,,5.757439073,14,22,13,8
Houston,Atlanta,3,6.71,4.94,7,-2.49,4.44,6.58,2,-5.2,3.47,,4.58,6.5,4.38,3.58,4.53,3.38,5,7.29,7.9,3.2,2,7.77,4,7.74,5.88,3.28,,3,4.3,5.43,,4.41,5.96,-2.9,3.5,5.09,,6.96,4.2,-6.43,,3.0176778009,13,17,13,4
Indianapolis,New England,4,3.41,-0.47,3,-0.67,2.68,2.76,2,5.4,4.01,,1.39,0.1,5.51,4.85,1.93,4.5,1,9.88,-1,17.75,3,6.15,5,1.85,4.14,-0.64,,4,2.14,2.92,,3.03,3.47,-29.4,-0.1,3.67,,2.1,3.44,0.41,,6.2630090425,38,34,13,-4
Jacksonville,Tampa Bay,-3.5,-2.9,-8.41,-4,-6.13,-3.64,-4.92,-4,15.3,-2.28,,-1.86,0.5,-5.98,-5.33,0.52,-2.04,-4,-6.11,-3.05,-18.13,-5,-3.88,-1,-2.38,-3.53,-6.27,,-3.5,-0.05,-1.51,,-3.68,-3.92,13.7,-0.6,-6.65,,-1.07,-6.73,-8.29,,5.1852756671,10,17,13,7
N.Y. Giants,Buffalo,3,1.22,2.33,1,2.98,2.28,2.56,5,0.3,2.54,,0.96,1.9,3.95,0.9,1.65,1.49,2,1.21,4.8,4.96,5,0.77,6,2.13,0.26,6.21,,3,1.02,2.26,,0.29,2.35,10.9,2.5,0.82,,2.13,4.99,-0.53,,2.3244469123,24,7,13,-17
N.Y. Jets,Tennessee,-1,-5.89,-8.8,-6,-1.29,-5.35,-6.31,-5,-16.3,-3.99,,-6.28,-7.7,-2.52,-3.32,-7.26,-1.37,-5,-5.55,-9.1,-2.22,-2,-5.44,-2,-7.05,-5.01,-7.8,,-1,-9.11,-2.96,,-6.39,-5.42,-31.2,-5.9,-6.69,,-4.09,-3.99,-5.16,,5.5978431147,17,24,13,7
Oakland,Denver,-3,-1.8,-2.64,-3,1.66,-1.36,-1.89,-1,-4.9,-0.72,,-1.22,-0.1,3.69,-3.74,1.23,-1.55,-5,-4.04,-0.85,-6.68,1,-2.24,-1,-1.56,-2.71,-1.22,,-3,0.63,-0.26,,-1.89,-0.54,-7.9,-0.1,-4.75,,-1.12,-0.18,-4.09,,2.3211651992,22,8,13,-14
Pittsburgh,Cincinnati,3,1.25,-1.78,1,7.67,0.73,1.21,5,2.3,0.67,,-0.92,0.1,-1.18,-0.25,0.06,0.82,1,4.73,2.15,1.31,4,2.23,2,1.05,1.45,-0.04,,3,-0.15,2.17,,0.95,0.54,-22.1,-0.9,-0.66,,2.32,2.59,-2.51,,4.7348070221,24,20,13,-4
San Diego,Kansas City,-7,-12.5,-9.82,-15,-8.54,-11.43,-13.99,-11,-16.1,-10.62,,-11.12,-13.9,-7.6,-10.1,-9.62,-7.93,-10,-14.99,-15.1,-19.92,-13,-14.84,-6,-11.65,-13.94,-13.59,,-7,-12.81,-7.26,,-11.98,-13.85,-36.7,-8.2,-15.02,,-7.43,-9.19,-14.11,,5.4138359283,28,24,13,-4
Seattle,Cleveland,6,6.13,2.18,7,1.63,6.17,7.28,6,-6,8.86,,7.04,4.1,10.55,6.79,6.4,5.6,7,13.19,15.9,11.41,5,7.63,7,7.2,5.51,3.57,,6,5.13,6.1,,6,7.61,5.1,4.7,7.66,,8.41,6.43,2.22,,2.8923140462,7,34,13,27
St. Louis,Minnesota,6,5,7.07,7,10.34,6.74,5.4,9,14.1,10.91,,6.08,7.5,9.75,4.4,8.48,3.83,6,6.3,0.9,10.67,6,6.5,6,5.8,4.32,10.31,,6,8.61,4.53,,4.98,7.65,37.2,8.9,4.75,,5.31,4.29,9.05,,6.1076837458,17,48,13,31
Washington,New Orleans,1.5,1.58,0.27,2,-1.56,1.59,1.69,3,-2.8,1.38,,2.46,1.3,3.15,2.03,2.45,2.33,-2,1.66,3,-1.96,2,2.28,4,0.5,2.66,-0.05,,1,1.73,1.95,,1.54,1.53,-25.8,-0.3,1.02,,0.12,3.07,-0.66,,5.2842371089,24,20,13,-4
Atlanta,Carolina,-1,-5.44,-4.96,-7,-6.51,-4.39,-6.54,0,12.1,-4.06,,-1.79,-1.5,-8.27,-3.43,0.27,-1.33,-5,-6.16,-6,-11.18,-1,-5.87,-4,-7.26,-4.57,-6.01,-6.8,-1,-1.02,-3.04,,-3.47,-6.65,5.3,-2.9,-8.45,-8,-15.72,-2.99,-6.25,,4.1905431937,14,20,14,6
Baltimore,Cincinnati,3.5,4.85,3.39,6,10.62,5.54,5.49,5,2.9,7.67,,3.98,6.1,3.75,6.62,4.66,5.3,-1,7.89,1.95,13.18,10,7.96,4,3.21,6.81,3.9,2.1,3,7.85,4.31,,5.35,5.33,-12.3,2.7,5.6,13,5.15,7.67,9.05,,4.1842095899,13,31,14,18
Buffalo,N.Y. Jets,3,3.08,4.11,3,0.09,2.72,4.42,1,-8.3,3.84,,3.3,2.3,7.43,3.54,2.17,3.38,-1,4.14,1.05,6.15,-1,4.09,1,3.21,2.94,-0.47,0.9,3,1.59,3.39,,4.5,2.16,-11.4,-1.1,3.68,5,4.88,1.52,6.8,,3.6597002933,6,17,14,11
Cleveland,St. Louis,-4.5,-4.05,1.09,-5,0.52,-4.67,-5.42,-8,2.9,-3.73,,-7.03,-7.1,-3.47,-4.92,-5.6,-2.19,-7,-8.15,-13.65,0.53,-7,-4.4,-3,-3.98,-4.87,-3.46,-7.2,-4,-7.15,-1.32,,-4.63,-5.13,-11.3,-5.2,-6.36,-2,-15.07,-3,-4.19,,2.8639351452,26,20,14,-6
Denver,Kansas City,2.5,-3.7,1.11,-3,1.26,-1.74,-3.34,-1,2.4,-2.21,,0.16,1.2,-4.79,0.6,-1.22,0.42,-1,-0.05,4.9,-4.92,0,-2.51,-1,-5.36,-1.66,-2.86,-4.1,1.5,-1.8,-1.2,,-2.14,-3.54,-11.2,-1.9,-3.62,-3,-7.87,0.39,0.72,,2.5936190102,27,45,14,18
Detroit,San Diego,3,3.35,7.57,4,-0.08,3.83,5.04,3,-1.5,3.99,,4.75,3.7,7.73,3.79,3.6,3.9,5,4.05,7.9,3.14,2,3.48,0,4.21,2.64,2.6,6.9,3,2.06,4.35,,2.95,4.58,5.7,3.2,4.65,3,8.23,1.52,3.47,,2.0165217046,14,7,14,-7
Green Bay,Chicago,7,6.93,9.63,7,11.73,7.12,6.87,8,-2.2,12.85,,3.71,2.7,8.96,7.54,4.92,5.71,4,10.32,14.1,12.32,8,9.53,6,5.8,8.32,11.65,4.9,7,5.65,5.45,,5.84,6.58,4.8,4,7.91,13,9.54,7.42,7.59,,3.1163728572,21,34,14,13
Jacksonville,Houston,6,1.33,4.01,2,7.18,3.12,0.18,5,11.8,5.54,,4.71,3.9,1.69,3.73,4.67,3.54,1,5.56,1.95,1.7,8,3.94,6,-1.43,4.41,3.6,-1.1,6,6.36,1.21,,3.19,1.9,3.5,2.9,0.63,3,-1.38,2.35,4.12,,2.7012524375,0,27,14,27
Minnesota,Seattle,1.5,-0.31,-2.33,-1,-0.98,-0.98,-0.73,-2,-20.9,2.85,,-1.31,-4.7,7.85,-0.96,-2.64,0.13,-2,-1.44,5,3.05,-4,-1.28,1,0.09,-1.03,-0.64,-2.8,1.5,-6.8,0.95,,-0.9,-0.07,-3.9,-3.6,-1.17,0,-0.67,3.35,-4.33,,4.4379634727,7,34,14,27
N.Y. Giants,Washington,3,2.08,-1.59,2,0.32,0.92,2.59,3,-9.2,1.51,,-0.37,-0.5,1.32,1.4,-1.23,1.74,-1,2.41,3.95,-3.02,0,2.18,3,2.5,1.55,2.88,2,3,-2.88,2.48,,1.17,0.88,-1.9,-0.5,2.31,-2,5.93,3.69,-3.55,,2.5108848203,20,7,14,-13
New England,Miami,3,4.89,2.96,5,4.21,4.92,6.42,5,0.5,6.91,,4.36,5.3,5.15,2.6,5.81,2.72,5,1.31,6,0.8,3,5.57,4,7.69,3.8,7.92,7.5,3,4.73,5.14,,4.68,6.76,15,5.4,6.15,1,9.79,5.58,1.67,,2.5276548271,0,12,14,12
New Orleans,Tampa Bay,2,2.19,-2.96,1,-6.54,1.4,3.94,0,9.2,2.65,,1.74,4.1,1.74,-1.4,4.37,0.42,4,-0.71,-0.05,-9.57,-2,0.91,1,4.94,-0.57,-0.94,4.5,1.5,2.32,3.24,,0.94,3.05,17.6,4.4,2.23,-5,7.73,0.65,-0.9,,4.2387225708,14,7,14,-7
Philadelphia,Dallas,5.5,4.74,1.99,4,9.34,5.79,5.58,11,16.4,5.1,,8.26,10,1.65,4,10.29,3.66,4,7.5,6.85,4.21,9,6.25,4,4.93,4.9,10.43,4.3,5.5,11.17,4.22,,5.48,6.6,15.6,6.8,5.18,2,7.93,7.14,1.1,,3.6628058462,10,36,14,26
Pittsburgh,Oakland,5.5,3.46,5.69,4,3.23,4.3,4.77,5,15.5,5.85,,4.34,6.6,7.78,3.12,5.25,3.3,4,7.39,5.2,2.65,2,4.36,4,4.72,2.67,4.35,5.2,5.5,4.02,4.54,,3.38,3.81,18.8,4.5,4.66,2,10.66,4.78,2.66,,3.4494263821,7,27,14,20
San Francisco,Arizona,10,8.98,17.66,10,19.38,12.67,9.56,14,17.9,20.98,,11.73,10,10.48,13.67,12.03,10.68,9,17.37,19.65,35.99,17,15.18,9,5.05,15.15,16.27,10.2,9.5,16.07,6.43,,11.44,12.96,17.9,8.1,11.47,28,8.98,9.66,16.68,,4.8035222068,14,50,14,36
Tennessee,Indianapolis,3.5,2.81,2.2,3,2.37,3.77,2.13,5,16.4,5.23,,4.95,4.9,2.83,3.3,5.91,3.14,2,3.52,2.05,9.82,6,2.74,3,2.69,2.9,6.74,1.6,3.5,6.99,2.7,,4.56,3.58,13,3.9,2.33,1,4.97,5.85,5.37,,3.192235742,29,27,14,-2
Arizona,Carolina,-6.5,-6.69,-6.33,-8,-8.33,-6.92,-10.03,-8,-15.5,-1.18,,-5.45,-7.7,-0.96,-7.16,-5.37,-4.33,-2,-8.52,-7,-3.55,-11,-9.91,-4,-7.63,-8.84,-9.39,,-6,-10.92,-4.02,,-7.19,-8.28,,-5.8,-10.58,-8,-9.77,-6.22,-8.75,,3.1474904774,20,17,15,-3
Chicago,Minnesota,-3,-1.6,-3.2,-2,1.98,0.45,-3.54,3,14.6,3.14,,2.45,3.7,1.74,-1.9,3.29,-0.1,2,-0.96,-3,2.86,0,-2.03,1,-1.07,-2.31,3.48,,-1,4.73,0.11,,-0.49,0.17,,3.5,-3.32,2,-0.65,-0.51,0.49,,3.544076964,10,13,15,3
Cincinnati,San Francisco,2.5,2.21,5.14,2,-1.31,2.3,2.15,0,11.2,3.81,,0.84,1.9,7.83,-1.32,2.72,0.36,3,0.3,-2,3.85,-1,1.24,3,5.49,-0.84,3.38,,3,1.25,3.17,,0.67,3.91,,4.1,2.71,4,6.16,0.84,1.75,,2.7157543926,38,41,15,3
Denver,Cleveland,10.5,9.83,8.91,9,7.62,10.41,10.57,13,15.5,11.78,,12.49,14.3,11.15,11.17,12.09,7.86,7,17.53,24,13.3,14,11.58,7,9.65,11.33,8.96,,10.5,13.2,7.05,,9.91,9.64,,8.9,13.11,10,19.95,7.54,10.33,,2.3569254415,20,23,15,3
Indianapolis,Atlanta,7.5,15.25,15.25,21,11.59,13.01,15.66,10,-1.1,8.54,,10.26,12,6.45,13.31,11.22,10.54,9,20.89,15.1,14.8,12,19.24,14,15.04,16.13,12.77,,7.5,10.56,10.39,,13.36,15.32,,10.5,19.9,15,21.93,12.24,9.43,,4.2872601399,7,38,15,31
Kansas City,Detroit,14,16.18,15.78,18,19.63,15.39,15.82,16,11.1,18.84,,12.44,13.8,17.64,14.54,12.72,10.94,11,18.72,12,17.32,17,19.4,15,16.11,16.42,18.65,,14,14.78,10.81,,14.29,16.78,,10.7,20.38,19,20.86,12.41,15.49,,2.9518657789,17,45,15,28
Miami,Philadelphia,2,2.4,-1.06,2,-1.59,0.36,0.66,-1,-3.5,0.93,,-1.14,-2.5,-1.05,1.97,0.93,2.51,-1,1.16,2.9,-5.8,1,3.67,2,1.06,3.16,-2.66,,2,-1.2,2.17,,2.28,-0.43,,-0.5,1.08,1,-1.7,-0.96,-5.17,,1.8571808446,34,27,15,-7
N.Y. Jets,Pittsburgh,3,5.84,2.46,5,0.26,4.27,5.03,3,-0.6,6.32,,1.65,1.3,5.36,4.13,4.63,3.57,3,2.79,2,3.22,6,6.12,4,6.7,5.09,4.77,,3,3.99,4.5,,4.32,5,,4.3,4.96,3,7.98,2.95,2.68,,1.7690426288,0,6,15,6
New England,Jacksonville,7,11.15,9.77,12,7.49,10.82,14.5,11,-0.2,13.12,,9.32,9.6,15.58,9.63,9.55,6.64,8,8.13,11,11.45,9,12.29,8,15.65,9.04,14.17,,7,6.84,9.86,,10.2,12.3,,10.2,17.49,10,18.7,12.29,5.77,,3.401964696,13,27,15,14
New Orleans,N.Y. Giants,7,5.1,0.66,7,0.86,6.07,4.72,6,17.5,6.35,,8.28,9.2,4.06,6.35,9.2,5.21,4,7.78,4,-5.91,8,6.55,4,5.66,4.58,5.94,,7,12.35,4.71,,5.31,6,,10.2,7.28,3,7.3,6.74,3.51,,3.2876499385,7,45,15,38
Oakland,Baltimore,-6.5,-4.76,-1.87,-6,-2.11,-5.16,-7.44,-4,-19.9,-0.81,,-7.12,-11.2,-0.31,-6.31,-7.9,-2.91,-2,-5.84,-4.1,2.51,-7,-6.55,0,-4.82,-5.6,-4.39,,-5.5,-11.4,-2.67,,-5.48,-6,,-7.8,-8.77,-3,-6.69,-3.02,-5.39,,4.0308092735,12,20,15,8
San Diego,Green Bay,-5,-3.55,-6.45,-5,-6.16,-4.4,-4.94,-5,-3,-3.74,,-5.62,-5,0.28,-5.73,-3.11,-3.11,-3,-6.46,-8,-7.85,-5,-5.06,-1,-2.17,-5.27,-8.05,,-5,-5.81,-1.53,,-4.05,-4.58,,-2.9,-6.61,-7,-3.91,-4.95,-5.36,,1.8728685093,38,21,15,-17
St. Louis,Seattle,6.5,5.46,9.56,8,7.53,7.5,5.85,10,5.4,11.87,,6.95,8.2,12.33,5.29,8.42,4.61,7,6.15,7,11.05,9,6.65,5,5.36,5.84,7.93,,7,8.78,4.34,,5.27,8.35,,7.7,7.1,13,8.51,2.4,9.83,,2.460189778,22,27,15,5
Tampa Bay,Houston,11,5.97,9.6,8,15.25,8.65,6.03,13,6.9,11.01,,8.68,7.6,5.35,12.97,8.08,8.73,4,14.6,5,12.41,16,10.47,10,2.85,9.86,10.66,,11,10.52,4.59,,7.99,6.58,,7.1,9.79,9,4.65,9.57,8.27,,3.081053735,3,16,15,13
Tennessee,Buffalo,6.5,7.31,8.04,7,9.24,7.8,7.31,7,9.5,10.85,,6.37,6.3,11.61,6.54,6.83,4.84,4,9.42,9.9,16.53,8,8.52,10,7.2,7.43,12.46,,6,8.4,5.65,,6.7,8.23,,5.9,8.98,10,8.83,11.59,5.44,,2.0505959124,26,28,15,2
Washington,Dallas,-1,0.91,1.77,0.25,4.98,1.87,0.37,5,9.4,2.34,,3.97,4.8,-1.53,1.62,5.63,2.25,1,2.41,2,-1.06,6,2.25,0,-1.1,2.65,1.05,,-1.5,7.39,0.93,,2.15,0.9,,1.4,-0.95,0,-4.56,1.04,0.32,,2.620109566,27,0,15,-27
Buffalo,Miami,1.5,1.48,0.78,1,2.52,1.32,0.56,1,6.9,2.79,,2.04,1.3,0.14,1.79,2.82,2.43,3,2.7,6.9,-1.32,0,1.88,0,0.48,2.35,-1.57,,1.5,2.86,1.42,,1.5,1.47,-5.3,0.5,0.65,1,0.79,1.42,1.97,,1.9089627984,20,3,16,-17
Carolina,Detroit,10,10.89,10.4,11,8.38,10.01,13.04,10,5.5,12.3,,7.61,8.4,12.25,9.53,8.42,6.91,7,10.62,4.87,8.59,9,11.59,11,13.86,8.32,10.54,,10,10.86,8.91,,8.39,10.87,8.5,8.7,13.85,11,18.65,8.55,7.11,,2.0593549096,14,20,16,6
Chicago,Washington,4,1.71,2.13,3,1.46,3.77,1.2,4,17.6,6.89,,6.23,7.2,5.85,4.05,5.26,3.8,6,5.72,8.97,0.74,5,3.13,2,-0.12,3.59,4.03,,4.5,6.15,1.8,,2.67,3.38,7.4,5.6,3.82,1,-0.08,3.63,2.57,,3.1971568548,24,27,16,3
Cleveland,Baltimore,-3,-1.92,0.4,-2,0.47,-2.28,-2.24,-2,-13.3,1.65,,-3.47,-3.8,1.67,-3.67,-3.28,-0.81,-4,-5.57,-4.13,1.91,-5,-3.05,-1,-2.66,-2.24,-4.57,,-3,-5.89,-0.48,,-2.94,-2.96,-14.4,-3.5,-4.08,1,-9.79,0.91,-3.94,,3.5830758635,35,0,16,-35
Dallas,N.Y. Giants,10.5,8.79,7.54,10,6.7,9.96,10.64,9,20.9,11.09,,11.76,15.5,8.78,10.97,12.43,7.83,8,12.5,8.13,3.47,13,10.59,6,9.77,8.87,7.47,,10.5,16.25,6.85,,8,11.01,20.8,14.6,13.02,7,16.12,7.78,6.24,,3.8215391375,3,19,16,16
Houston,Tennessee,-7,-5.1,-10.34,-7,-9.92,-6.41,-6.63,-8,-14,-4.22,,-7.38,-7.1,1.46,-8.3,-5.45,-4.39,-1,-8.39,1,-10.57,-11,-8.08,-7,-3.47,-7.57,-8.5,,-7,-8.14,-2.21,,-7.12,-6.24,-5.8,-4.6,-8.14,-8,-3.98,-6.48,-9.62,,3.0118912987,27,24,16,-3
Indianapolis,Denver,6,7.96,4.27,9,5.96,5.99,9.38,4,3.7,7.29,,4.22,4.4,8.05,3.54,7.18,3.67,3,6.25,0.07,-1.64,4,7.98,5,10.23,5.21,5.2,,7,6.95,6.61,,5.84,7.94,12.4,7.6,7.67,2,13.3,6.31,3.3,,2.3790040416,31,17,16,-14
Jacksonville,New Orleans,1.5,1.49,1.1,1,1.88,1.62,-0.9,2,9.6,3.91,,2.72,1.5,3.39,-0.61,4.31,0.67,3,2.48,5.17,0.76,0,1.83,2,0.04,2.91,1.09,,1.5,4.54,1.93,,1.53,1.06,9.7,3.3,-0.59,0,0.65,-1.42,3.7,,2.5575876745,19,20,16,1
Minnesota,Kansas City,-3,-4.31,1.93,-5,-0.78,-2.21,-4.79,-5,-3.7,1.67,,-3.06,-3.8,4.91,-1.64,-1.63,-0.7,1,-2.51,3.03,4.52,-3,-4.59,-2,-4.97,-4.07,-3.42,,-3,-3.61,-1.05,,-3.55,-3.44,-5,-2.3,-4.32,-1,-6.62,-1.56,1.3,,2.4104894338,20,45,16,25
N.Y. Jets,New England,-3,-4.22,-8.68,-5,-3.14,-4.11,-6.6,-4,-1.4,0.72,,-6.08,-7,0.2,-2.34,-5.05,0.14,-1,0.5,-2.97,8.88,-1,-3.9,-1,-8.06,-2.72,-6.85,,-3,-5.53,-2.89,,-4.89,-5.27,-10.6,-5,-7.23,-3,-8.03,-3.25,-5.48,,2.7948422117,21,16,16,-5
