Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
San Francisco,Indianapolis,-14.5,-12.73,-4.88,-12,-19.44,-14.32,-21.19,-17,-21,-14.88,,-7.38,-14.1,-12.05,-15.7,-18.87,-13.44,-12,-16.17,-12.67,-14,-14,-20,-14.5,,-13,-14.64,-13.3,-15.23,-8.19,-14,,-12.28,-12,-19.12,-12.66,-24,-13.8,,-22.53,-3,-9.54,-15,-13.9,-22,-2,-8,-24.5,4.6169649148,28,3,5,-25
St. Louis,Seattle,3,-0.25,-0.13,-1,-1.45,-2.63,-7.45,-2,-6,-3.54,,-0.05,-1.7,-0.43,-1.58,-7.02,-0.34,2,-9.01,-4.2,-15.3,-10.96,-1,2,,4,1.75,-2.71,4.35,0.98,2.5,,-4.15,-3,-9.21,-2.01,-12.2,0.7,,-12.47,-3,0.52,-4,-1.7,-2,-1,-1,-6.5,4.1981308297,37,31,5,-6
Baltimore,Cleveland,5.5,-5.24,0.16,0.25,2.14,-0.74,-6.33,9,-8.33,-1.05,,-1.8,2.8,3.09,-3.27,-9.49,-0.51,2,-5.01,-0.59,-12.89,-12.2,4,4,,10,-2.15,-9.06,2.83,1.79,4,,-3.65,4,-7.64,-5.07,-7.6,-1.5,,-11.1,7.66,2.75,-4,-0.17,2,1,2,11.5,5.3386376973,3,16,6,13
Buffalo,N.Y. Jets,3,0.15,6,1,3.09,2.01,-0.72,1,4.67,6.83,,1.94,3.1,6.4,4.91,0.78,4.06,1,1.3,3.19,-4.99,14,5,3,,5,-0.74,1.1,4.01,3.03,3,,-0.02,3,1.91,1.72,-1.8,3.3,,2.47,-3,2.63,2,2.37,6,-8,0.01,-4.5,2.2354259796,17,27,6,10
Chicago,Minnesota,3,10.87,10.97,3,5.46,6.32,8.82,-4,12,13.89,,3.85,3.3,10.46,11.1,11.49,8.7,4,8.58,7.69,14.01,9.42,0.01,3,,-1,6.59,15.93,2.36,6.11,1.5,,6.71,-1,16.5,6.6,6.5,4.4,,22.71,-5.22,0.42,7,6.35,1,9,1,-9.5,5.9207226459,3,28,6,25
Dallas,N.Y. Giants,3,7.57,3.92,4,3.75,3.64,4.08,8,2.83,9.37,,-0.62,3,12.3,1.32,5.59,1.14,1,5.2,1.38,0.11,14,6,3,,4,8.59,6.57,0.26,6.64,4,,3.78,-7,4.71,2.55,4.7,3.2,,7.96,0.05,1.87,0.01,3.76,2,-3,0.01,7.5,3.6850847354,13,16,6,3
Denver,New England,3.5,8.29,9.31,5,2.72,5.49,9.44,-2,9,6.22,,5.32,2.2,7.08,7.64,8.13,5.77,5,8.16,8.4,14,11.66,1,3.5,,-2,12.45,5.65,3.47,10.13,3,,8.33,1,8.37,7.46,11.8,8.2,,12.68,3,3.43,3,5.71,-1,7,2,-3.5,3.8007791203,20,28,6,8
Detroit,Carolina,1,5.2,-1.08,1,0.11,1.44,2.77,-1,2,6.13,,2.95,3.4,7.12,0.66,5.93,1.31,1,-8.48,1.86,-4.99,-14,-4,1,,-3,3.89,6.45,-2.7,3.14,0,,2.92,-3,8.12,2.27,1.6,1.1,,7.27,-6.92,1.42,0.01,1.37,1,3,-2,0.5,3.2547248338,21,20,6,-1
Indianapolis,St. Louis,13.5,20.23,18.6,15,20.67,16.55,19.36,17,21.67,13.04,,12,16.2,10.39,17.23,21.99,17.28,11,16.5,11.34,14,14,18,14,,11,21.7,19.77,15.24,21.42,12.5,,18.01,10,23.33,17.2,29.8,14.6,,26.54,3,12.47,12,17.1,23,7,8,20.5,4.9649446244,28,45,6,17
Kansas City,Washington,6,-0.33,-0.83,1,6.07,1.92,-3.5,6,-4.84,1.64,,1.23,3.3,-0.07,1.93,-4.39,2.37,2,2.1,1,6.01,-14,6,5,,7,-4.52,2.05,0.8,1.44,6,,-1.12,7,-0.77,-1.31,-4.1,0.6,,-0.12,-3,3.24,-1,1.78,5,3,3,9.5,3.3719526655,21,28,6,7
New Orleans,Atlanta,-5.5,-3.13,-4.55,-3,-6.47,-5.6,-8.26,-8,-17,-1.04,,-3.52,-5.9,6.14,-9.87,-5.4,-6.18,-2,-14,-2.99,-14.99,-14,-7,-5.5,,0.01,-0.49,-6.36,-1.87,1.01,-3.5,,-2.86,-4,-5.78,-5.38,-4,-6.5,,-14.02,-7.93,-6,-9,-5.84,-4,-9,-5,-12.5,4.3975077469,34,31,6,-3
Oakland,San Diego,-2.5,0.44,-5.49,-1,-7.34,-4.28,-4.04,-2,-7,1.84,,-1.3,-3.4,0.28,-3.93,-4.53,-1.62,-1,-11.33,-2.7,-15.89,-14,-8,-2.5,,-6,1.52,-1.87,-5.96,0.52,-2,,-1.04,-7,-4.28,-2.91,-1.8,-1.9,,-8.44,-3,-4.77,-5,-3.98,-6,-14,-6,-2.5,2.9173463294,27,14,6,-13
Pittsburgh,Jacksonville,3,1.79,3.11,4,9.27,6.74,1.12,8,8.34,5.57,,4.82,8,-1.57,10.77,4.63,8.36,4,13.01,4.96,14.91,-5.74,11,3.5,,8,-2.17,6.7,5.95,6.85,3,,0.41,4,7.58,4.12,-5.7,9.9,,9.61,-7.16,9.24,2,6.78,12,6,6,13.5,4.0812791388,23,17,6,-6
Seattle,Houston,9.5,18.31,17.3,10,8.73,12.53,17.76,13,8.83,11.61,,9.25,9.6,12.21,15.49,20.24,11.85,12,14,9.72,14,15.66,7,9.5,,2,23.06,15.14,8.55,16.23,8.5,,15.48,7,20.55,14.15,23.8,14.5,,19.18,3,6.82,11,12.11,6,8,9,16.5,5.2963504955,10,42,6,32
Tampa Bay,Miami,4.5,8.34,5.82,5,5.52,5.65,5.47,6,3.34,7.03,,5.27,7.2,8.92,6.8,7.5,5.34,6,0.2,3.77,5.01,-14,5,4.5,,5,7.3,9.7,3.81,8.42,4,,4.58,6,8.2,6.41,4.1,7.7,,6.04,3.61,5.67,2,5.6,5,1,5,5.5,1.6214576395,13,27,6,14
Tennessee,Cincinnati,-3,-9.17,-7.88,-4,-6.68,-6.28,-8.57,-2,-10.34,-7.07,,-3.15,-3.4,-2.49,-9.33,-12.73,-6.37,-3,-9.62,-8.38,-9.09,-14.01,-6,-3.5,,0.01,-7.72,-10.8,-7.26,-0.17,-3,,-6.27,-4,-11.31,-6.66,-11.9,-6.1,,-13.47,-7.32,-4.78,-10,-6.58,-9,3,-4,-6.5,3.563587955,31,23,6,-8
Arizona,Tennessee,3.5,-1.99,1.24,-1,-1.46,-0.32,-1.95,2,-6.16,7.13,,0.62,1.9,6.75,1.2,-3.54,1.19,2,-2.06,-1.34,-4.24,13,0.01,2.5,-3.55,4,-1.51,-2.45,-1.15,-0.19,3,,-0.06,-4,-2.73,-1.11,-0.2,0.6,,-0.77,-8.84,-0.37,-1,-0.77,1,-3,0.01,2.5,2.8395679006,10,20,7,10
Atlanta,N.Y. Jets,7.5,9.91,11.27,6,6.39,8.66,8.86,9,10.33,12.13,,7.12,8.8,9.19,11.37,9.18,8.29,7,10.96,10.38,16.3,8.57,8,7.5,10.16,3,9.11,10.92,8.34,11.75,7,,6.11,6,10.92,8.01,6.8,10.5,,11.29,3,7.22,7,8.86,9,1,3,10.5,2.162214834,14,27,7,13
Chicago,Baltimore,1,9.82,10.16,3,5.54,6.05,6.81,-3,8,14.53,,4.54,1.3,10.92,13.36,7.7,8.5,3,15.9,9.82,14,17,3,2,12.16,-3,4.85,15.58,2.58,3.32,1,,4.03,-3,11.3,5.28,4.3,8.1,,16.43,3,1.91,6,5.28,1,5,1,-6.5,5.206975251,6,10,7,4
Cincinnati,Pittsburgh,1.5,9.26,4.44,5,1.39,3.9,6.02,-1,1,3.8,,5.08,1,5.02,5.25,9.79,5.69,3,8.33,5.19,7.38,-2.33,2,2,6.66,-5,11.16,6.85,0.48,9.1,2.5,,4.77,-4,11.47,4.91,6,6.8,,5.98,3,3.69,0.01,4.77,2,-3,2,-4.5,3.8517071898,27,13,7,-14
Cleveland,Detroit,3,7.19,0.62,3,2.93,2.57,2.27,-2,-4.67,5.11,,-1.81,-2.3,11.22,-0.28,3.35,0.75,3,10.28,3.54,14,7.7,2,3,5.54,0.01,8.52,6.58,1.65,7.65,2,,3.57,-3,6.46,3.2,5.2,4.1,,5.33,3,1.36,2,3,-1,-15,4,-6.5,3.5448695159,13,10,7,-3
Houston,Indianapolis,-15,-17.62,-12.18,-13,-16.38,-16.16,-22.99,-17,-15.33,-19.43,,-14.48,-14.8,-14.54,-17.3,-23.9,-13.62,-14,-14,-14.48,-14,-14,-15,-15,-21.1,-5,-19.78,-16.24,-13.17,-21.43,-14.5,,-16.16,-14,-21.69,-16.43,-33.2,-12.5,,-21.18,-3,-9.47,-26,-15,-15,-18,-9,-22.5,5.1391877349,38,20,7,-18
Miami,Kansas City,1,-1.46,4.09,1,1.64,-0.13,-3.27,-3,-12.5,8.95,,-1.15,-3.1,10.8,1.61,-1.04,2.27,2,6.55,0.68,-6.08,14,-1,1,-0.28,-3,0.16,-3.31,4.36,-0.34,1.5,,-0.84,-11,1.22,0.32,-2.1,1.6,,1.02,3,0.59,1,0.16,1,-2,1,-9.5,4.4781296896,30,20,7,-10
Minnesota,Green Bay,-2,1.1,-2.83,0.25,-4.17,-2.91,-2.12,2,-21.5,0.36,,-3.68,-4.4,11.98,-9.45,-3.18,-7.09,1,-7.73,-7.18,-6.46,8.51,-3,-2,-5.41,1,7.98,-4.3,0.17,0.06,-1,,1.82,-4,-2,-0.74,5.7,0.8,,-10.88,3,-0.38,-15,-3,-6,-17,-1,6.5,5.9967934823,20,23,7,3
N.Y. Giants,Denver,2,-2,0.7,-3,-1.61,-1.01,-6.74,-2,-4,9.71,,2.26,-1,2.56,4.13,-0.97,3.99,1,0.86,1.34,-6.64,2.86,-2,1.5,-1.76,-3,-7.96,2.15,-3.74,-7.27,0,,-3.27,-3,4.09,-3.27,-9,1.4,,0.9,-3,1.43,0.01,-1,-1,-6,-1,-4.5,4.0688952015,23,24,7,1
Oakland,Buffalo,3,6.58,-0.21,1,1.45,2.66,1.45,3,7,5.17,,0.71,2.1,3.44,0.05,5.41,0.91,1,8.6,1.67,13.79,8.84,-1,3,7.18,-5,3.56,9.56,0.04,2.58,3,,3.94,1,8.82,0.77,2.5,5.2,,11.02,10.91,-0.88,2,2,-3,-8,-2,6.5,3.5258982063,17,38,7,21
Philadelphia,San Diego,3.5,2.89,-1.94,2,-1.61,-0.71,-0.5,5,-13.67,0.16,,-1.86,-1.8,6.61,1.02,-5.74,1.52,3,-8.59,1.26,-10.95,-16.84,-2,2.5,-3.3,5,5.79,-1.7,-0.58,1.47,4,,1.2,-4,-1.61,0.65,2.4,0.7,,-4.42,-9.21,0.57,-2,-0.5,-1,-5,1,1.5,3.9399023997,17,20,7,3
Seattle,Dallas,3,6.45,2.52,3,5.92,4.43,2.47,3,1.34,11.52,,3.25,3.7,10.78,5.02,3.18,4.91,3,7.12,3.54,11.74,11.12,2,3,3.12,4,4.97,7.84,3.87,1.62,3.5,,2.4,7,4.4,3.32,2.9,3.2,,4.36,3,3.04,2,3.54,4,3,3,3.5,2.4158524352,10,13,7,3
St. Louis,New Orleans,3,4.6,6.69,5,6.1,4.86,4.66,4,4.34,10.1,,2.85,1.9,9.43,6.87,4.34,6.98,3,8.85,5.92,7.38,-4.04,3,3,8.6,3,3.64,5.59,1.2,7.91,3,,4.21,1,7.09,6.04,3.1,8.6,,10.64,1.12,1.75,6,4.6,-2,2,4,1.5,2.5751706784,17,28,7,11
Washington,San Francisco,13,19.2,17.39,11,17.07,14.98,17.71,13,25.16,19.77,,8.11,13.8,14.39,11.05,19.39,9.44,11,14,15.93,14,14,16,13,23.37,10,20.16,21.48,15.89,18.47,11.5,,12.63,6,20.75,14.7,16.7,15.4,,26.62,3,9.33,11,14.7,19,4,9,17.5,5.1005648662,17,52,7,35
Carolina,Minnesota,7.5,10.58,7.11,9,9.44,9.81,9.39,8,13.5,11.78,,8.24,9.4,11.91,11.22,8.99,10.18,10,13.58,11.16,14,14,11,8,11.48,7,10.71,10.7,11.71,13.1,7,,6.83,3,12.11,9.32,7.5,10.1,,13.83,3,7.67,8,10,12,8,5,5.5,2.3198554255,13,38,8,25
Cincinnati,Green Bay,9,14.94,5.91,11,5.26,8.49,14.19,4,13,6.74,,6.33,8.9,8.87,5.74,9.96,5.44,10,11.28,7.81,15.42,-0.8,6,9,12.84,0.01,18.79,14.37,6.06,19.44,7.5,,10.85,4,14.04,10.78,15.9,8.8,,11.77,3,7.47,4,7.81,7,-12,6,6.5,4.6142135356,14,21,8,7
Dallas,Arizona,9,15.7,9.75,9,11.75,11.1,12.95,12,15.5,13.74,,5.16,7.5,13.75,8.83,13.09,6.91,7,14,12.61,14,14,11,9,18.42,4,15.38,16.8,12.66,15.5,7.5,,9.04,-1,18.13,11.59,11.5,12.6,,20.88,3,8.49,9,11.75,10,1,7,12.5,4.6060535006,13,34,8,21
Denver,Philadelphia,3.5,7.03,6.41,4,4.23,5.18,6.24,0.01,11,11.52,,4.19,3.4,9.16,2.48,7.1,2.53,5,10.92,4.06,15,14,4,3.5,5.57,-2,6.74,7.31,8.59,9.99,3,,5.18,-3,6.4,4.94,6.4,6.9,,7.35,3,6.1,0.01,5.18,3,-1,3,-0.5,3.2967891206,21,49,8,28
Detroit,Chicago,3,4.08,2.43,1,2.26,2.94,1.49,5,-3,10.5,,3.58,4.3,12.23,-2.57,3.27,-0.31,2,-1.13,1.96,6.57,14,1,3,0.08,5,4.06,4.05,4.35,1.42,3,,1.84,1,3.65,1.7,1.1,4,,-0.02,9.45,2.74,-3,2.74,6,3,0.01,10.5,3.0802722114,19,13,8,-6
Houston,Cleveland,2,-4.33,-3.06,-3,-3.13,-2.97,-5.28,-1,2.5,-5.36,,-3.5,-1,-3.03,-2.52,-8.02,-1.39,-2,-5.44,-6.56,-5.49,-12.06,0.01,0.5,-6.91,8,-1.76,-6.24,-2.5,-0.58,0,,-2.98,-3,-6.78,-4.35,-8.4,1.2,,-7.45,6.26,-1.46,-6,-3.03,-1,5,-4,-2.5,3.4091839452,16,19,8,3
N.Y. Giants,Washington,2.5,1.44,0.54,1,1.26,2.55,0.39,1,7,6.31,,4.04,2.3,8.93,2.5,3.01,2.5,2,6.24,1.98,14.45,10.24,1,2.5,1.16,1,0.11,2.4,2.4,0.74,3,,1.82,4,4.3,0.93,0.3,6,,2.95,4.62,4.69,-1,2.3,1,-10,4,-0.5,2.1980100718,0,36,8,36
New England,Buffalo,9,14.76,2.23,8,10.53,9.17,11.52,11,12.5,8.47,,4,9.1,9.7,3.5,12.36,3.29,7,15.74,8.36,14,11.97,9,9,13.87,6,14.2,15.35,8.53,14.49,7,,8.34,3,14.91,7.32,10.6,11.5,,14.67,3,9.05,6,9.1,10,-8,6,15.5,3.9128603907,16,21,8,5
New Orleans,Miami,2.5,1.1,4.44,-1,-3.28,-0.1,-3.81,2,-5,6.6,,0.45,2.1,9.62,-2.22,0.76,-1.38,2,-9.1,-5.47,-7.47,-2.24,-1,2,-6.05,6,1.13,0.92,0.37,0.73,2,,-0.2,6,-1.18,-1.84,-1.6,1.4,,-7.23,-2.3,0.89,-4,0.73,1,1,-2,1.5,3.8430597993,21,6,8,-15
Pittsburgh,Baltimore,11,15.43,11.88,9,13.28,12.47,15.13,9,20.5,10.96,,9.11,11.8,9.92,14.14,14.23,9.86,8,14,11.37,14,14.39,14,11,17.64,8,15.5,16.26,11.62,18.32,8.5,,10.41,7,17.62,11.11,14.5,15,,20.8,3,10.87,13,11.8,16,4,8,11.5,3.7277715756,19,20,8,1
San Diego,Kansas City,6,3.46,7.32,4,6.52,6.06,1.83,5,12,2.86,,3.5,6.7,-0.25,5.19,8.28,4.63,4,16.99,4.05,14,4.69,8,6,8.36,6,1.08,6.81,7.07,1.84,4.5,,2.39,3,9.28,2.53,0.01,7.8,,12.26,13.3,7.65,4,5.5,6,7,5,5.5,3.2047816466,20,28,8,8
San Francisco,Tampa Bay,-11,-6.25,-8.81,-9,-13.78,-10.32,-10.64,-10,-17.5,-3.62,,-9.78,-13.6,1.44,-12.25,-9.86,-9.91,-15,-14.32,-12.04,-14,-11.92,-15,-11,-13.18,-4,-3.7,-14.4,-10.89,-7.82,-10,,-2.84,-11,-8.3,-9.59,-3.2,-9.3,,-14.23,-4.37,-7.93,-15,-10,-19,-7,-9,-14.5,4.3267188598,10,15,8,5
St. Louis,Jacksonville,-3.5,-6.02,-2.12,-5,-4.11,-4.91,-8.42,-5,-12.5,-1.98,,-1.54,-3.6,-4.6,0.08,-8.17,0.76,-1,-7.45,-5.36,-7.66,-13.38,-4,-3.5,-9.9,1,-6.41,-6.33,-6.97,-9.38,-3,,-3.58,-3,-6.88,-4.76,-9.5,-1.5,,-8.98,-7.9,0.26,-10,-4.76,-7,-8,-2,-4.5,3.5089682965,21,24,8,3
Tennessee,Oakland,-1.5,-0.88,-1.24,-0.25,-0.02,-1.37,-4.63,-2,-4,2.93,,-0.7,-3.6,3.08,-0.19,-2.84,0.67,-1,-1.73,-2.55,-5.49,4.65,-2,-1.5,-4.18,2,-0.46,-1.47,0.79,0.56,-2,,-1.41,4,-2.46,-0.41,-4.1,-0.8,,-5.55,0.23,1.91,-5,-1,-5,-1,2,-8.5,2.3389937909,34,25,8,-9
Arizona,Seattle,-4,-7.25,-4.57,-6,-5.37,-5.95,-9.22,-7,-9.17,-4.12,,-4.4,-4.9,2.92,-6.84,-6.09,-4.51,-4,-9.85,-5.19,-10.39,-3.35,-5,-4,-9.57,1,-7.17,-7.98,-5.59,-7.11,-4.5,,-3.14,-7,-7.49,-6.05,-6.1,-3.7,,-8.6,-10.49,-2.96,-10,-6.05,-7,-2,-6,-9.5,2.7254151007,33,19,9,-14
Baltimore,Cincinnati,-3,-2.86,-3.45,-4,-1.87,-2.26,-5.74,2,-0.33,-3.92,,-2.94,0.3,-3,-7.2,-0.12,-3.45,-3,-2.44,-3.45,-2.43,-8.01,-2,-3,-5.34,6,-4.98,-1.7,-1.54,-3.98,-3,,-2.65,-7,-2.49,-3.61,-6.2,1,,-4.19,-1.44,0.44,-9,-2.86,1,1,-3,3.5,2.7504135739,21,9,9,-12
Cleveland,Tennessee,3,3.65,-1.82,3,4.09,2.85,1.7,2,-3.33,6.25,,2.26,2.3,1.31,3.13,2.9,2.89,1,7.74,4.95,4.07,6.06,3,3,4.96,2,0.71,5.48,1.85,3.98,3,,0.86,-1,4.55,3.38,-1.4,3,,7.31,5.51,3.33,2,3,6,-6,3,3.5,2.3675786409,14,20,9,6
Green Bay,Pittsburgh,-4,-6.77,-3.15,-8,-4.06,-5.32,-12.15,-4,-10.67,-3.09,,-3,-6.9,-5.17,-0.59,-5.79,0.32,-4,-2.37,-2.85,0.29,-8,-4,-4,-7.39,-2,-12.92,-4.89,-5.89,-12.03,-6,,-7.45,-11,-6.27,-6.11,-14.5,-2.5,,-4.44,-12.58,-4.19,-7,-4.9,-5,-1,-4,-9.5,3.7425568278,20,10,9,-10
Jacksonville,Houston,13.5,19.49,14.2,13,13.14,14.44,20.94,15,17.33,18.1,,10.33,12.5,10.01,12.27,19.32,9.91,12,14,13.05,14,14,13,13.5,21.5,5,20.28,19.21,15.52,23.35,11,,13.62,4,21.33,14.58,20.3,14.6,,23.19,3,10.43,12,14,13,6,11,15.5,5.0144270023,14,21,9,7
Kansas City,Oakland,4.5,7.86,5.89,6,7.38,5.26,5.41,6,-2.83,6.93,,2.17,2.5,6.53,3.45,4.83,3.36,4,7.77,5.34,2.85,-3.28,5,4.5,7.2,9,8.84,6.81,7.1,9.57,4.5,,5.18,4,7.42,6.08,6.7,5.2,,7.35,3,5.87,1,5.87,6,-7,5,6.5,2.3577990906,23,27,9,4
Miami,Atlanta,-3,-0.08,1,-1,1.55,-1.09,-3.09,-5,-3.17,2.45,,-2.16,-2.5,3.69,-0.76,-0.78,0.44,-3,8.27,0.67,10.39,14,-2,-3,-0.1,-3,-1.15,0.88,-2.46,-0.16,-2.5,,-1,-9,0.95,-1.21,-2.5,0.5,,2.02,9.84,-4.47,-3,-1.15,-2,-8,-2,-8.5,2.5340790796,17,10,9,-7
Minnesota,Detroit,-1,-2.07,-0.02,-0.25,-0.47,-1.64,-1.36,3,-6,1.81,,-4.97,-2.5,8.1,-3.92,-3.29,-2.42,-1,-2.87,-1.44,-6.75,6.57,1,-1,-4.98,5,3.95,-7.72,0.38,1.3,-1.5,,0.53,-3,-3.74,-2.57,2.7,2,,-6.63,13.42,1.21,-7,-2.07,-4,-13,2,1.5,3.590834453,14,27,9,13
N.Y. Jets,San Diego,-7,-8.19,-6.58,-6,-6.86,-7.19,-9.13,-3,-16.5,-5.84,,-6.23,-7.5,0.03,-6.87,-11.54,-3.67,-5,-11.56,-5.39,-12.08,-11.32,-6,-7,-13.87,0.01,-5.77,-11.71,-5.05,-8.52,-5,,-5.2,-10,-11.05,-6.77,-7.1,-4.8,,-15.45,-4.69,-4.31,-13,-6.77,-7,-3,-2,-7.5,3.8998252834,31,26,9,-5
New England,Indianapolis,-3.5,0.29,-6.1,-5,-4.29,-3.9,-4.76,-2,0.5,-8.32,,-7.17,-3,-4.03,-8.62,-8.04,-7.55,-5,-4.83,-0.26,7.11,-14,-2,-3.5,-4.45,3,-1.03,1.02,0.23,-6.35,-3,,-2.85,-3,-4.77,-5.14,-9.8,-0.5,,-3.66,3.66,1.29,-16,-3.6,-2,-24,1,-1.5,3.3580663566,40,21,9,-19
New Orleans,Chicago,-3,-3.71,-3.71,-4,-5.87,-4.71,-6.16,-3,-20.83,-2.15,,-6.33,-5.1,6.22,-9.83,-7.91,-5.6,-5,-7.53,-6.09,-10.21,-7.64,-4,-3,-9.89,7,1.57,-9.46,-1.35,-5.64,-2,,-1.47,1,-5.39,-6.48,-1.2,-4.5,,-11.67,9.93,-4.13,-10,-5.1,-3,-7,-4,-1.5,5.1960369071,20,17,9,-3
San Francisco,N.Y. Giants,-11,-8.72,-5.81,-9,-12.05,-10.69,-7.02,-9,-28.83,-8.15,,-9.65,-11.4,4.26,-11.29,-12.18,-9.86,-9,-13.31,-7.29,-14,2.39,-14,-11,-17.58,-2,-5.34,-16.95,-10.77,-10.46,-10,,-4.52,-18,-12.55,-10.1,-5.4,-10.1,,-20.63,-1.47,-7.1,-16,-10.1,-17,-10,-9,-13.5,6.0434165662,24,6,9,-18
Tampa Bay,Carolina,-1.5,4.12,1.38,3,3.17,1.45,0.31,-3,-11.5,7.65,,0.24,-2.4,4.58,4.96,1.09,4.3,1,6.38,2.76,3.25,-3.92,-1,-1,3.39,-2,3.21,5.04,0.11,2.85,1,,2.68,-4,4.21,2.31,2.2,2,,4.28,10.48,3.32,-1,2.11,1,-3,1,-5.5,3.5430726324,34,14,9,-20
Washington,Philadelphia,3,5.6,6.05,2,-0.68,2.57,3.08,-2,4.5,12.57,,2.84,0.9,9.91,2.93,3.24,2.88,3,7.99,3.22,4.35,10.13,0.01,3,3.38,-6,4.3,6.56,-0.58,2.02,-1,,3.29,-3,4.63,3.58,3.3,2.2,,5.87,3,0.09,1,2.88,1,6,-1,-4.5,3.5817241883,10,17,9,7
Atlanta,Green Bay,9.5,12.95,10.36,12,5,9.16,16.5,9,2.34,9.86,,7.68,11.2,14.74,6.46,9.84,5.54,8,6.65,5.78,0.32,3.32,7,9.5,11.18,4,19.49,9.4,9.34,20.16,9,,12.11,2,12.62,11.3,19.3,10.5,2.74,9.33,3,8.53,5,9.37,11,-3,7,13.5,4.7631631534,33,25,10,-8
Buffalo,Kansas City,2.5,-6.33,1.64,-5,-1.25,-2.88,-8.08,-3,-7.17,-2.16,,-2.2,-1.9,-1.65,-1.28,-5.61,-0.08,1,-5.4,-2.09,-4.46,-12.43,-2,1.5,-8.45,5,-6.18,-6.5,1.45,-4.84,2,,-3.9,-3,-6.33,-3.89,-6.8,-1.4,-4.26,-7.06,-10.92,2.97,-5,-3,1,1,1,-8.5,3.3855937679,3,14,10,11
Carolina,N.Y. Jets,9,10.02,9.15,10,7.36,10.28,10.97,10,18,10.86,,12.05,11.8,8.65,12.59,11.27,10.03,10,8.33,8.77,16.5,12.01,10,9,11.11,4,10.11,9.93,9.87,17.46,9,,7.18,10,10.86,11.6,8.8,12.1,10.64,13.13,3,8.32,10,10.02,12,7,6,10.5,2.615255369,3,30,10,27
Chicago,San Francisco,13.5,9.04,16.25,10,17.9,12.52,7.12,13,15.67,18.23,,10.16,12.9,14.84,16.93,11.32,13.6,11,14,14.34,14,14,15,13.5,15.17,7,4.69,16.74,14.24,13.9,12.5,,4.32,7,12.11,11.82,1.9,11.8,12.54,19.41,5.06,10.96,13,12.95,17,10,12,13.5,4.3118499884,9,17,10,8
Detroit,Arizona,4,3.93,6.68,3,8.47,5.1,0.56,6,2.17,9.5,,4.85,3.8,9.64,6.01,3.27,5.16,3,9.56,6.89,13.5,14,4,4,4.72,4,0.86,6.92,8.54,2.98,4,,0.7,4,6.03,5.34,-2.4,6.1,1.44,6.63,0.35,5.95,3,5,7,-2,4,7.5,2.7764771909,21,29,10,8
Indianapolis,Houston,18.5,23.71,20.26,21,21.07,20.76,24.73,24,19.84,17.91,,19.6,20.9,18.13,21.21,26.51,18.08,17,14,17.39,14,14,23,18.5,25.7,11,23.83,23.67,17.82,32.7,17.5,,18.03,16,27.71,20.76,30.4,16.4,20.69,28.13,3,15.38,19,20.83,24,19,15,26.5,4.744707,17,31,10,14
Jacksonville,Baltimore,6.5,13.95,10.94,8,7.43,9.15,16.13,7,5.5,9.62,,6.29,7.1,11.44,9.48,10.22,6.76,7,12.66,7.66,9.68,13.42,7,6.5,13.3,3,16.72,11.66,9.73,18.52,7,,11.13,7,12.71,10.64,18.2,9,5.1,14.47,3,4.89,7,8.5,6,9,6,2.5,4.0042692002,3,30,10,27
Miami,New England,-3,-1.22,-0.26,-1,-1.64,-0.67,-3.42,-3,-4,2.61,,2.25,-0.4,-2.48,5.49,-1.59,5.17,-1,7.86,2.79,0.14,14,0.01,-2.5,-0.03,-8,-2.48,-0.13,-3.79,-1.25,-3,,-1.03,-14,0.35,-0.66,-3.6,1.5,1.69,3.61,-2.21,-3.83,0.01,-0.53,-1,1,-1,-5.5,3.7533442579,23,16,10,-7
N.Y. Giants,Minnesota,9.5,18.49,16.02,15,14.55,14.53,19.51,6,20.34,22.46,,13.39,12,21.05,16.04,17.6,13.4,8,14,12.36,14,14,13,10.5,22.55,0.01,16.87,20.81,12.01,24.33,9.5,,13.48,9,22.06,16,17,14.8,12.2,27.4,3,8.97,13,14,14,10,10,2.5,5.7794941178,24,21,10,-3
Oakland,Denver,-3,-3.32,-4.39,-6,-3.07,-3.02,-8.35,-2,-9.33,0.51,,-2.48,-2.9,-0.67,-1.1,-3.55,-0.19,-3,-5.13,-0.25,-2.25,-1.54,-3,-3,-5.01,-3,-4.64,-1.92,-5.61,-6.01,-2,,-3.29,-1,-2.2,-5.39,-7.2,-1.5,-4.13,-3.26,-7.44,-4.05,-6,-3.17,-4,9,-4,-2.5,2.3594665882,31,17,10,-14
Philadelphia,Dallas,3,2.4,-3.75,1,4.71,0.63,0.05,3,-15,3.12,,-3.72,-1.1,7.23,-2.03,-1.26,-0.32,1,1.11,1.38,1.75,6.51,-1,3,-0.24,13,3.57,1.34,3.02,-0.72,2,,1.3,3,1.05,-0.56,1.3,2.5,-5.22,-0.13,8.88,3.78,-5,1.08,2,-13,4,2.5,4.4689094193,21,20,10,-1
