Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
Miami,N.Y. Giants,-10,-6.74,-14.21,-15,-8.99,-8.32,-5,-7.72,-7.81,-12.5,-10.23,-14.67,-7.43,-9.11,-10.9,-4.88,-12,-11.5,-6,-7.38,-17.26,-6,-10,-9.93,1,-11.92,-3.92,-9.21,-9.88,-10,-8,-8.3,-10.44,-10.6,-11.16,-3.91,-8.3,-7,-11.39,-18.38,-5.43,-7.95,-4.3,-8.3,-8.9,-5.8,-2,-7.89,-9.6,-3.74,-5.75,-24.6,-7.9,-3,,-8.8,-6.26,-11.04,-23.66,-9.7,4.1152910574,8,10,13
Minnesota,Philadelphia,-1,2.73,-1.38,1,2.91,1.55,2,0.9,4.11,2.7,6,2.88,4.97,-0.44,4.71,1.8,1,-0.58,0.5,11.58,18.53,0.01,0,2.78,-6.5,3.92,1.48,0.62,6,-1,0.1,3.49,1.96,2.8,2.23,-0.08,3,3,-1.57,20.1,1.23,1.99,3,2.23,-6.1,1.2,1,1.35,3,2.26,2.52,3.06,-7.1,2.87,,-3.8,-4.34,-0.29,15.3,2.3,3.4899158954,8,16,23
N.Y. Jets,Buffalo,3,0.62,3.26,-1,4.21,0.46,2,1.96,3.52,-7.5,-2.43,-2.43,-0.39,3.6,0.06,3.98,1,2.08,2,2.48,3.92,2,3,1.45,4,-2.22,3.09,0.61,-0.07,3,-0.5,-1.53,-2.24,-1.3,-1.27,3.84,-0.8,-1,-0.48,2.13,0.7,1.64,4.09,0.61,-2.2,1.1,4,-0.91,-3.3,3.16,2.47,-10.64,1.8,-0.52,,-1.5,-5.36,0.25,7.77,1.6,2.7152504172,8,3,13
New England,Washington,16,15.57,9.52,12,16.79,14.6,16,16.82,13.96,12,11.17,21.92,14.57,8.02,26.05,8.59,13,17.72,16,6,17.72,22,16,17.01,5,14.84,18.21,14.77,14.57,16,8,10.09,14.16,20.6,12.18,15.73,11.3,10,17.18,17.87,10.15,13.34,18,14.16,26.5,12.5,13,18.42,25.3,10.75,11.19,13.63,9.8,8.23,,9.8,20.06,18.05,25.58,22.6,5.2245428567,8,52,7
San Diego,Houston,9.5,9.05,6.06,8,9.61,6.73,10,9.48,3.55,10.8,4.94,8.36,2.92,5.2,5.28,5.06,7,4.16,7.5,-4.51,15.56,14,9.5,8.26,1.5,8.15,10.01,8.05,12.79,10,1.9,5.85,4.36,4.7,7.17,6.3,6.1,5,8.11,14.34,0.8,9.22,4.53,7,-3.1,6,9,8.12,12.8,4.93,6.66,8,5.4,2.12,,10,13.55,9.01,14.3,9.5,3.342741496,8,35,10
San Francisco,New Orleans,-2.5,-1.54,-1.55,-1,-5.43,-0.98,0.01,0.61,0.4,-2.1,-0.07,2.64,0.37,0.11,-7.85,2.63,-2,2.76,0.5,2.72,7.28,-2,-2.5,-3.4,1.5,-2.38,-0.57,1.69,-2.84,-3,-0.6,-1.63,-4.64,-6.8,-1.11,2.08,0.7,-2,-3.66,-7.95,-0.17,-1.35,-1.43,-1.11,0.6,-3.1,-3,-1.46,-0.9,2.57,-0.41,-5.88,-8.6,3.25,,-3.3,8.05,-5.21,-5.19,-1.7,2.7327264607,8,10,31
St. Louis,Cleveland,-3,-7.9,-5.01,-10,-6.12,-6.34,-1,-4.12,-2.25,-5.2,-7.47,1.19,-1.65,-8.48,-11.13,-5.39,-6,-13.93,-7,-13.94,-2.34,-1,-3,-10.19,0.01,-6.27,-9.41,-3.02,-14.52,-3,-7,-6.6,-11.64,-12.8,-8.66,0.02,-4.8,-4,-16.64,9.52,-4.15,-3.67,-4.37,-6.12,4.1,-8.7,0.01,-12.57,-12.8,-2.66,-1.63,-13.68,3.7,-3.43,,-3.5,-6.4,-16.36,8.76,-13.9,5.4038852149,8,20,27
Tampa Bay,Jacksonville,4,0.62,2.24,-0.25,-0.84,0.29,0.01,-1.44,2.13,0.5,0.79,-2.08,0.8,0.41,-0.46,2.21,1,-1.64,0.5,-3.52,-0.54,-2,3,1,2.5,-0.72,1.69,1.65,-0.95,4.5,0.7,0.01,-2.14,-1.7,0.52,-1.26,-0.1,4,-3.24,4.04,0.64,-1.58,-0.33,0.3,-3.6,-0.5,0.01,0.68,-2.8,2.62,2.83,-2.48,-3.5,1.63,,3.5,12.15,-2.26,10.88,0.3,2.4295539834,8,23,24
Tennessee,Oakland,7,12.31,9.13,10,10.69,10.26,11,8.35,2.92,16.2,8.72,18.57,1.51,7.72,12.71,6.29,9,13.37,11,19.82,12.77,11,7.5,16.03,4,14.33,10.51,10.88,18.53,9,3,9.94,12.06,12,10.87,7.78,8.9,2,10.6,19.2,2.6,8.47,9.5,10.51,16.7,8.4,8,14.92,10.5,6.1,9.23,11.6,5,4.8,,6.3,11.17,10.74,34.07,12.5,5.428707214,8,13,9
Atlanta,San Francisco,3,6.11,7.19,3,8.11,5.3,4,5.15,1.74,3.7,4.51,8.22,0.03,3.95,13.21,3.53,4,2.51,5.5,0.5,-2.07,5,3,10.46,-1.5,6.4,5.79,3.65,6.91,3,-1.5,5.81,8,9.3,4.16,2.21,4.1,4,8.17,-3.21,6.59,5.5,3.17,4.81,3.3,8.2,6,7.58,9.5,4.62,7.22,3.58,2.9,1.14,,4,8.79,9.54,-3.34,10.6,3.2062179346,9,20,16
Buffalo,Cincinnati,1,3.65,1.48,2,-1.04,2.73,2,2.29,2.15,3.7,4.3,4.52,4.34,-0.71,4.74,1.51,2,1.52,3.5,-1.16,5.79,3,1,4.18,-4.5,5.41,2,4.7,8.27,3,-0.9,5.41,3.8,3.3,4.91,-1.46,4.1,-5,1.61,6.18,6.09,3.63,7.5,3.15,0.4,3.6,0.01,0.99,9.2,2.95,5.17,7.03,2.2,3.36,,6.3,-2.99,1.96,6.63,3.8,2.7528772424,9,33,21
Cleveland,Seattle,1,3.01,-0.9,0.25,-0.97,1.57,0.01,-0.46,0.07,2.3,-3.34,-2.31,0.4,-3.34,4.01,-0.22,3,5.73,3.5,11.55,13.67,-2,1,3.08,0.01,1.13,4.76,0.8,4.59,1,-2.3,2.43,1.8,1.9,2.66,-2.23,2.5,5,1.37,-5.24,1.5,2.3,-0.86,1.59,3.4,1.9,1,1.82,3,0.88,0.38,2.34,-0.4,3.5,,-0.3,9.16,1.97,-2.43,2.9,2.1789611909,9,33,30
Detroit,Denver,3,4.22,2.91,4,-1.04,4.01,4,1.13,2.49,-0.8,7.59,-0.39,3.69,7.07,9.86,6.75,6,3.72,4.5,11.6,1.24,0.01,3,6.6,0.5,3.64,4.89,3.74,9.31,3.5,3.1,4.41,4.7,5.1,5.61,-3.78,5.2,6,1.77,2.51,10.26,1.73,-2.45,4.32,-4.8,3.5,1,2.19,4.5,5.77,5.31,4.58,2.6,4.53,,6.8,9.23,2.75,-5.4,6.2,3.3396879185,9,44,7
Indianapolis,New England,-5.5,2.41,-0.62,4,-2.92,-0.17,-1,-1.14,-2.82,6.1,1.61,3.91,-2.89,0.79,-4.39,0.9,-2,-5.24,-1,-1.34,-0.16,-3,-4.5,-0.21,1,5.62,-3.51,2.91,8.48,-4,-4,2.43,-0.8,-6.1,0.71,-1.18,2.4,-3,-7.62,1.88,-57.62,1.53,-1.55,-0.26,0.2,-1,1,-4.36,1.8,-0.3,2.92,1.42,7,0.5,,-3.3,2.76,-6.71,2.69,-5,3.4461990072,9,20,24
Kansas City,Green Bay,2.5,-1.88,-0.48,-3,-0.69,-2.32,1,1.13,-5.55,-10.5,-1.97,-1.04,-5.12,-5.41,-2.17,-0.47,-2,-3.43,-2,2.76,-16.18,2,1.5,-4.04,-2.5,-1.47,-2.38,1.37,-3.31,-1,-3.7,-2.9,-6.2,-4.8,-3.32,0.22,-0.1,-5,-7.04,-15.36,-8.18,0.28,2,-1.98,-10,-1.8,0.01,-4.97,3.7,-0.11,0.37,-6.35,-1.2,0.51,,-1.3,-8.38,-5.11,-7.08,-3.8,3.0499736578,9,22,33
Minnesota,San Diego,-7,-2.66,-2.75,-4,-6.72,-3.94,-5,-5.96,-3.99,-6.3,-2.11,-4.31,-4.78,-4.2,-3.04,-0.22,-4,-5.17,-2,-3.5,-17.51,-9,-6,-3.92,-5.5,-2.87,-2.47,-3.65,-5.63,-7,-3.8,-1.7,-3.8,-3.8,-4.76,-4.5,-4.6,-4,-7.61,-6.95,-2.5,-4.08,-0.5,-4,3.2,-4.8,-3,-5.13,-10.4,0.06,-1.9,-5.3,-0.5,-0.01,,-10.8,-5.83,-8.14,-22.51,-6.4,3.7375160381,9,35,17
N.Y. Jets,Washington,-3.5,-3.67,-1.57,-7,0.03,-3.6,-1,1.81,-4.33,-14.7,-6.02,1.51,-5.16,-3.39,-8.46,-0.28,-6,-5.02,-3,2,-5.66,4,-3.5,-7.45,-1.5,-8.34,0.03,-2,-7.54,-3,-3.2,-7.12,-8.3,-9.5,-6.83,2.95,-2.8,-3,-7.01,-6.62,-21.89,0.52,0.5,-3.3,-11.2,-5.1,0.01,-6.06,-1.8,0.2,-2.95,-16.93,5.9,-1.24,,-3.5,-7.91,-6.47,-5.66,-3.8,4.2088209722,9,20,23
New Orleans,Jacksonville,3.5,-4.85,-4.45,-5,-5.02,-2.89,2,-0.25,-6.05,-5.9,-1.45,-1.35,-6.69,-5.2,-4.24,-0.64,1,-5.73,-6,-11.93,-21.9,-1,2,-4.67,0.01,-4.6,-5.79,-3.75,-5.83,3.5,-3.7,-3.16,-6.4,-6,-3.45,-2.98,-1.8,1,-7.77,-13.8,-10.01,-1.06,-2.76,-3.41,-2.6,-3.7,0.01,-3.36,0.01,-0.01,-1.15,-7.57,0.8,-0.58,,10.3,-0.05,-6.51,-11.73,-5.1,2.8828274158,9,41,24
Oakland,Houston,3,1.5,5.16,1,-0.96,1.58,2,2.65,0.57,0.01,1.93,-0.06,-0.35,2.56,2.65,3.59,1,1.28,2,2.84,9.8,3,3,1.51,-1.5,-0.66,3.56,1.1,0.07,3,0.7,1.13,0,0.5,1.84,-2.2,1.4,2,0.9,6.76,-7.56,1.47,2.03,1.44,-5,2.6,1,0.55,7.3,3.63,0.32,-0.05,3.2,1.09,,7.8,-2.36,2.3,7.47,5.2,2.259069821,9,17,24
Philadelphia,Dallas,-3,-0.96,-1.38,-3,-4.33,-2.53,-2,-1.36,-3.8,-3.5,-5.02,-6.15,-4.98,-1.28,-3.81,1.05,-5,-4.7,-0.5,-8.41,-6.27,-1,-3,-1.89,0.01,-2.94,1.29,-2.79,-4.05,-3,-2.8,-2.75,-4.2,-5.5,-3.82,-2.76,-1.7,-3,-4.93,-13.96,-70.92,-0.39,-1.39,-2.53,-1.6,-2.3,0.01,-4.27,-1.9,0.37,0.5,-8.22,-0.2,-2.22,,-0.5,-0.73,-4.46,-13.08,-3.4,2.4840739232,9,17,38
Pittsburgh,Baltimore,9,12.34,9.47,8,14.48,11.32,7,6.77,11.34,18,8.54,14.94,6.61,12.13,13.27,9.02,7,16.86,14.5,20,20.11,8,9,16.63,1.5,9.2,17.39,8.16,13.23,7.5,6.7,8.97,13.7,12.9,10.22,4.04,6.9,8,17.12,32.29,10.13,7.43,13.5,10.75,12.4,11.9,6,18.37,10.5,8.88,7.33,7.24,9.2,4.6,,8.8,16.67,16.35,37.8,17.4,5.8104681757,9,38,7
Tampa Bay,Arizona,3.5,8.47,5.07,6,9.18,6.8,3,3.69,5.38,11.8,4.53,9.59,3.39,5.05,9.03,4.57,3,7.88,7.5,14.88,11.13,4,4,10.91,4,9.37,7.59,6.4,12.92,3.5,1.3,8.51,9.1,8.9,6.78,2.69,4.4,3,8.75,15.83,16.27,5.75,3.43,6.2,3.9,8,6,8.21,4.1,4.67,7.87,8.75,3.2,1.73,,4.3,14.67,9.29,15.7,10.4,3.0980676648,9,17,10
Tennessee,Carolina,4,7.76,6.48,7,2.46,6.82,4,5.13,2.19,12.9,5.29,10.77,0.62,7.61,7.99,5.74,6,11.34,7.5,6.93,-1.56,6,4.5,11.88,0.5,8.52,7.33,3.65,11.67,5,2.9,8.25,9.4,9.2,7.11,2.9,4.8,6,10.91,-2.75,16.07,5.01,3.79,6.97,14.6,8.8,4,11.2,6.1,5.77,7.06,7.07,-1.9,2.54,,3.3,8.7,10.26,-2.81,9.9,3.7535730339,9,20,7
Arizona,Detroit,2,-5.51,-4.46,-5,4.5,-2.27,2,1.24,4.46,-4.6,-4.32,-7.28,3.01,-1.42,-5.33,0.98,-2,-3.87,-4.5,-12.26,13.25,2,1.5,-4.51,1,-7.56,-3.63,2.28,-8.92,-1,-6.6,-5.04,-6.35,-6.6,-3.99,5.61,-4.3,2,-5.47,10.52,-22.43,0.55,3,-3.75,3.2,-3.9,2,0.31,-3.6,1.16,-1.9,-10.35,4.7,-0.36,,-5.8,-6.3,-5.28,16.14,-7.6,4.8048840278,10,31,21
Baltimore,Cincinnati,3,2.54,2.77,3,2.3,2.71,3,3.29,6.22,-2.2,3.26,-1.19,10.85,2.5,1.13,3.42,7,-0.83,1.5,-1.47,6.64,4,3,1.43,2.5,3.95,1.49,6.76,4.92,4.5,-2.4,2.86,0.55,-0.4,4.5,3.37,3,-5,-2.11,7.07,0.19,4.74,2.35,2.65,7.4,0.9,5,-1.41,1.8,4.17,4.78,4.09,11,2.21,,6,9.46,-1.43,7.24,-0.4,3.1804865832,10,7,21
Carolina,Atlanta,3.5,6.2,1.04,6,-1.19,4.9,8,6.01,5.87,7.2,5.51,2.25,6.37,5.77,6.97,5.17,3,4.97,7,1,-15.02,8,4,8.36,5.5,6.14,6.64,7.89,9.55,4.5,3.8,5.42,5.45,5.1,6.29,6.78,5.5,3,5.58,-14.91,3.36,5.56,4.05,5.5,2.4,6.7,5,6.7,9,4.92,6.64,6.57,1,3.23,,-3,-2.87,6.63,-14.12,7.3,3.7111139985,10,13,20
Green Bay,Minnesota,5,7.92,0.1,9,2.88,5.95,6,5.15,6.82,12.2,5.46,2.18,9.16,6.22,4.88,5.36,8,5.17,7.5,-3,0.83,5,5,8.78,6.5,9.96,6.07,8.08,13.3,6.5,5.1,8.18,6.25,5.5,10.12,5.25,5.5,4,5.85,6.36,11.62,6.22,4.98,5.82,11.3,5.3,6,5.52,3.4,5.5,7.03,11.72,1.7,5.08,,5.8,11.33,4.98,6.59,6,2.6160640128,10,34,0
Kansas City,Denver,3,5.11,8.78,4,8.8,5.9,5,9.43,6.3,-0.7,5.44,12.55,5.16,8.46,6.86,6.91,4,7.48,4.5,2,6.66,8,4,8.83,-2.5,4.54,6.01,8.11,7.06,4,4.9,3.4,3.55,4.7,7.18,3.93,6,6,8.58,-5.49,6.55,4.73,1.88,6,6.1,6.4,3,7.95,11.1,7.73,4.89,2.84,5.1,4.19,,3.8,8.03,9.97,9.57,6.3,2.7437112631,10,11,27
Miami,Buffalo,-2.5,-1.79,-4.5,-4,-0.99,-2.04,-2,-2.05,0.48,-5.9,-4.67,-7.44,-0.03,-1.39,-3,1.05,-5,-1.38,0.01,2.1,-3.09,-4,-2.5,-1.36,5.5,-6.42,0.5,-4.22,-3.39,-3,-6.7,-2.69,-4.35,-3.5,-4.46,-0.36,-3,-4,-2.32,-5.38,-9.52,-2.59,3.46,-2.41,9.4,-2.5,3,-1.93,-4.9,0.27,0.43,-14.14,4.4,-2.64,,-7.8,-0.8,-2.04,-5.42,-1.1,3.2406380365,10,10,13
N.Y. Giants,Dallas,-2,-1.98,-5.2,-2,-6.23,-2.54,-2,-0.48,-2.82,-3,-2.01,2.26,-0.41,-1,-5.37,0.43,1,-4.96,-1.5,-3,-4.42,-2,-2,-4.19,-3,-1.06,-2.8,-1.2,-3.04,-1,-4.8,-0.75,-3.35,-5.9,-2.52,-1.6,-0.3,2,-6.25,-5.3,-1.58,2.23,5.5,-2.2,-10.5,-5,-1,-5.4,-2.4,0.27,1.48,-2.59,-4.8,-0.21,,-2,-10.26,-6.45,-5.48,-5.1,2.6776206773,10,20,31
New Orleans,St. Louis,10,15.71,8.43,17,14.48,14.42,13,13.59,13.64,12.5,15.08,22.45,12.56,12.15,20.34,10.17,12,19.05,13.5,14.1,25.05,13,10.5,19.15,3.5,18.42,12.62,10.13,24.45,13,13.2,14.98,15.75,17.5,16.8,5.33,13.9,12,17.89,25.42,25.08,10.59,17,14,11.8,15.5,10,17.42,21.7,9.54,10.53,22.13,10.9,7.92,,14.8,15.46,19.27,27.52,20.2,4.8472875702,10,29,37
Oakland,Chicago,-3.5,-1.72,4.36,-2,-5.67,-0.8,-2,0.18,0.36,-7,0.07,1.03,-0.1,3.37,-1.89,3.79,-2,-1.03,0.5,-7,-14.41,0.01,-2.5,-1.07,-2,-4.33,0.9,-1.79,-3.78,-3,-1.9,-1.25,-1.05,-2.8,-1.01,-2.29,-0.2,3,-1.45,-17.15,-15.95,-1.88,2.84,-1.02,0.7,-1.4,-1,-0.73,3.1,3.72,-0.34,-6.85,-0.8,1.88,,-1,-3,-1.57,-16.85,-0.5,3.4314632254,10,6,17
Pittsburgh,Cleveland,10,8.69,9.89,12,16.03,11.58,10,11.92,12.85,12.2,10.22,16.31,6.35,14.21,10.54,12.62,7,15.2,12.5,16,18.84,18,10,13.24,6,5.98,14.02,10.06,12.96,9.5,8.3,6.55,9.95,9.8,8.85,9.05,8.3,7,13.81,20.86,6.93,10.84,9.21,11.45,19.8,12,11,13.92,17.3,10.73,8.69,4.01,16.5,2.78,,8.5,14.85,13.7,19.01,15.6,3.7963539657,10,31,28
San Diego,Indianapolis,-3.5,-6.73,-6.58,-8,-6.44,-7.42,-6,-5.24,-5.64,-14,-9.17,-12.52,-5.64,-5.64,-15.43,-2.62,-3,-11.37,-6,-14,-10.77,-6,-4,-8.05,-2,-6.38,-7.55,-5.02,-8.71,-3,-11.6,-4.2,-8.85,-12.2,-6.78,-2.16,-6.3,-6,-8.57,-8.01,-14.15,-3.72,0.5,-6.51,-24.4,-8.5,-3,-9.31,-15,-2.27,-3.19,-10.19,3.8,-3.51,,-4.5,-13.67,-9.21,-8.23,-9.9,4.5758940693,10,23,21
Seattle,San Francisco,9.5,9.53,10.66,10,15.82,10.66,9,10.64,11.78,10.9,12.22,13.47,9.88,14.61,10.76,9.55,8,5.39,10.5,4.47,9.16,13,9.5,14.19,1,7.27,11.64,10.92,13.33,10,13.5,8,12.45,11.4,11.32,7.06,7.8,7,15.24,5.14,0.9,8.54,14,10.71,-0.8,12.6,10,14.96,14.7,9.53,8.67,8.17,8.7,5.48,,14.8,8.27,15.24,7.5,15.2,3.4555511858,10,24,0
Tennessee,Jacksonville,5,5.65,8.51,4,4.94,4.85,4,5.34,6.55,5.9,5.79,1.39,5.96,6.71,5.46,5.2,5,6.49,5,4.26,4.75,4,5,7.48,1.5,4.75,6.49,3.29,7.91,4.5,4.3,4.56,6.05,4.9,6.05,2.03,3.5,-2,6.57,7.5,5.09,3.87,2.6,5.05,5.1,5.8,2,8.17,7.9,5.33,4.7,4.5,1.4,2.43,,5.5,9.11,6.75,9.26,6,2.193807882,10,13,28
Washington,Philadelphia,2.5,3.24,1.36,3,1.95,2.64,2,0.33,6.61,5.5,5.99,-0.26,8.63,0.9,2.15,2.45,3,3.35,0.5,3.66,-1.45,0.01,2.5,3.81,-1.5,5.95,0.81,2.11,8.15,3,0.5,4.88,3.55,2.2,5.38,-1.75,2.8,6,0.94,-2.38,5.9,2.82,-0.9,2.69,-5.6,3.1,1,2.72,4.6,2.65,3.97,6.67,2,3.32,,-0.3,12.26,1.11,-2.82,2.8,2.7613362238,10,25,33
Atlanta,Tampa Bay,-3,-4.35,0.17,,-1.98,-3.51,1,0.45,-2.67,-8.1,-2.95,-5.56,0.56,-6.05,-2.23,-0.66,-1,-6.6,-4,-9.22,-7.63,-1,-3,-4.22,-3.5,-2.39,-6.98,-1.54,-2,-3,-7.4,-1.21,-5.7,-5,-3.62,-0.57,-2.5,-4,-7.17,-6.98,-5.96,,2,-3.23,-7.1,-4.8,1,-6.97,-0.5,-0.52,-1.96,-3.49,0.3,0.11,,-1.9,-8.47,-6.81,-9.72,-5.1,2.7678341008,11,7,31
Baltimore,Cleveland,-2.5,-3.72,1.53,,4.16,-1.44,0.01,0.69,-1.43,-6.4,-2.77,3.87,-1.67,-2.11,-5.23,1.29,-1,-6.1,0.01,-9.95,-6.72,3,-2.5,-3.4,5,-1.72,-5.63,3.91,-4.02,-3,-3.3,-0.29,-4.7,-5,-1.55,5.74,-3.3,-7,-6.61,-6.92,-3.81,,0.11,-1.7,8.9,-3.5,5,-6.3,-7.5,1.3,2.04,-2.77,10.2,-0.71,,-5.4,-2.03,-7.18,-9.52,-6,4.5714416523,11,30,33
Buffalo,New England,-16,-19.67,-14.74,,-16.54,-16.34,-13,-14.33,-16.18,-18.2,-12.12,-20.63,-16.22,-13.3,-24.88,-7.47,-12,-23.32,-19.5,-22.2,-20.34,-17,-16,-19.76,-8,-18.88,-21.6,-9.41,-13.37,-14.5,-25.7,-9.63,-14.8,-22.3,-14.27,-12.47,-9.6,-16,-24.57,-24.42,-16.42,,-19.5,-16.2,-34.6,-14.5,-11,-22.2,-18,-9.72,-8.6,-22.82,-5.2,-4.55,,-12.8,-19.32,-24.64,-19.86,-23.9,6.0557996088,11,10,56
Cincinnati,Arizona,3,2.2,-0.13,,6.57,2.23,4,4.03,2.75,3.3,-0.56,0.19,2.98,0.09,0.5,1.64,2,2.98,4.5,3.35,2.23,5,3,3.85,3,-0.69,4.7,2.32,1.99,3.5,-2.6,2.33,2.2,0.8,1.45,4.38,1.4,2,3.57,4.19,-1.75,,1.78,2.32,-2.1,3.2,5,3.54,3.3,1.91,3.82,-1.11,-0.8,0.16,,2.2,4.96,3.11,2.07,3.1,1.870311993,11,27,35
Dallas,Washington,11,12.74,8.94,,12.09,12.24,14,14.63,8.62,9.8,12.64,18.02,7.77,11.11,16.79,8.89,9,12.21,11,17.6,5.19,16,11,14.39,4.5,11.44,14.08,10.66,16.05,11,11.8,9.12,10.4,12,11.69,10.51,10.9,7,13.19,6.85,8.65,,7.72,12,22.6,12,10,13.8,21.1,9.66,8.31,14.81,4,6.87,,12.5,16.42,14.65,6.3,17.9,4.039019985,11,28,23
Denver,Tennessee,1.5,-1.13,-2.52,,-4.02,-1.79,2,-2.9,-5.32,0.4,-2.39,-4.36,0.21,-8.82,-0.1,-3.03,1,-5.19,-3.5,-1.17,-8.26,-1,0.5,-3.14,0.01,-0.17,-2.25,-3.38,-0.42,3,-12.3,1.14,-2.7,-2.7,-2.09,-2.93,-1.5,2,-5.66,-0.01,-1.05,,-1.27,-1.45,-1.4,-0.8,1,-6.04,0.3,-2.83,-0.26,0.1,-3.1,-0.59,,-2,7.26,-4.64,-9.92,-1.1,2.5981404936,11,34,20
Detroit,N.Y. Giants,-2.5,-0.66,-4.4,,-2.13,0.22,2,-2.41,-0.19,-1.2,2.28,3.95,-1.88,-0.37,-0.76,1.68,-1,-3.88,2,3.87,6.13,-1,-2,1.38,1.5,-0.72,-0.67,0.89,0.28,1,-2.5,1.48,-0.2,-1.4,1.65,-5.49,2.3,-2,-2.68,9.01,-5.05,,1.5,0.04,-9.1,0.5,-1,-1.84,-0.6,1.82,3.62,-1.74,-2.3,1.66,,8,7.79,-1.53,10.94,3.4,3.0516681963,11,10,16
Green Bay,Carolina,9.5,14.73,3.56,,6.38,12.42,10,11.75,7.46,19,12.24,14.54,5.32,13.83,14.64,9.48,13,15.94,11.5,17,7.64,13,10,18.57,-0.5,14.47,15.91,7.2,22.11,10.5,12.8,12.5,14.4,13.6,14.85,3.13,11.4,7,18.95,10.68,16.21,,8.03,13,23,13.8,8,15.42,19.7,9.86,9.11,18.06,-3.8,5.17,,17.1,12.74,18.98,12.08,18.7,5.7733267664,11,31,17
Houston,New Orleans,1.5,4.15,1.54,,0.53,2.05,1,1.23,2.45,1.3,0.98,-2.73,4.36,1.84,3.19,2.96,-1,1.89,5.5,1.89,0.87,1,1.5,5.68,2.5,3.31,5.23,-0.62,2.11,-1,-0.2,4.06,3,2.3,2.26,3.9,0.2,4,3.93,4.07,1.46,,1.92,2.39,5.1,1.8,1,3.04,3.2,3.23,4.85,2.97,-0.8,2.32,,-8.9,3.65,2.7,1.27,3.6,1.8884753174,11,23,10
Indianapolis,Kansas City,15,14.53,15.22,,21.76,16.92,18,17.56,14.44,23.3,16.92,25.52,10.79,16.24,22.03,11.35,12,20.5,17,22.83,27.32,21,15,20.43,9,10.38,20.14,15.96,17.31,14.5,16.8,10.63,17.1,16.6,14.44,11.88,14,7,20.31,32.86,11.36,,21.5,16.7,24,15.7,13,22.87,29.1,11.85,11.24,12.81,14,7.99,,9.6,15.15,21.32,25.26,24.3,5.3082946942,11,13,10
Jacksonville,San Diego,3,0.24,4.57,,-0.06,1.68,4,-0.29,0.59,3.8,1.4,-3.79,2.42,1.5,1.94,2.95,1,0.18,1,-2.13,-11.89,0.01,3,0.6,0.5,1.54,-1.01,3.04,5.73,3,-1,2.29,0.8,-0.5,2.23,-1.31,2.6,7,-3.65,-11.69,0.05,,4,1.52,9.5,0.2,4,-0.43,1.2,2.61,3.99,2.12,4.1,2.29,,1.2,5.72,-3.34,-11.63,-1.1,3.2853150719,11,24,17
Minnesota,Oakland,4.5,8.86,7.6,,9.88,7.7,8,5.57,4.54,15.7,7.42,10.84,4.87,3.5,9.8,3.61,5,7.5,9,11.05,12.34,5,5,10.82,-2.5,9.56,8.18,7.9,14.21,6,1.6,7.49,8.2,7.4,7.54,4.7,6.2,5,8.17,15.86,11.99,,15,7.8,7.7,9,7,9.58,8.7,4.17,6.13,11.04,2.5,2.25,,2.6,12.89,8.88,12.43,10,3.3087459676,11,29,22
N.Y. Jets,Pittsburgh,-9.5,-10.86,-9.57,,-10.82,-10.75,-8,-8.37,-9.08,-17.5,-11.25,-12.24,-6.7,-15.46,-9.98,-7.74,-13,-10.73,-11,-14,-5.85,-10,-9.5,-12.02,-5.5,-11.61,-13.87,-9.48,-10.05,-9.5,-21.6,-6.09,-10.9,-11.5,-11.73,-5.17,-9.1,-7,-14.02,-1.34,-7.89,,-7.5,-10.84,-20.8,-10.1,-7,-15.18,-11.9,-7.49,-5.97,-16.51,-7.9,-3.64,,-10.3,-14.16,-13.63,-5.85,-13.2,3.4988829576,11,19,16
Philadelphia,Miami,10,13.19,9.59,,6.86,9.7,10,8.3,5.59,18.2,6.96,11.82,6.4,9.79,12.12,7.49,9,11.21,12.5,9.42,4.71,10,10,14.42,4.5,20.97,9.92,8.3,19.74,10.5,9.9,11.58,10.2,10.4,12.17,8.09,6.6,3,11.52,-0.19,21.92,,4.78,9.91,12.7,10,8,11.9,5.9,8.28,7.43,27.86,1.1,5.38,,1.3,14.9,11.62,6.18,9.9,4.0213255914,11,17,7
San Francisco,St. Louis,-3,4.21,0.62,,2.38,1.71,1,1.77,2.47,1.7,1.89,4.65,0.94,0.91,-0.66,2.62,1,5.81,8.5,3.4,10.04,-2,-2,3.99,4,4.17,4.29,3.86,0.44,-3,0.5,4.39,1.4,1.7,4.44,4.37,-1.2,-4,2.35,-0.14,5.93,,-2.19,1.8,-1.5,1,1,4.57,-4.7,3.56,2.97,5.05,-4.4,1.94,,-0.4,-1.13,0.96,-1.2,2.6,2.6949853839,11,9,13
