Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
New England,Buffalo,16.5,18.17,15.17,10,19.3,15.62,17,15.04,20.35,,9.55,13.7,18.17,6,24.13,18.91,16,6,16.5,6,6,18,17,,3.5,17.41,19.79,14.61,21.13,14,20.3,11.46,,,,9.79,14.6,11,15.81,-12.32,6,11.83,15.93,15.87,25.5,9.2,14,,23.3,14.73,9.09,18.56,9.9,9,,20,25.47,14.07,-12.33,25.8,6.9691141655,3,38,7
New Orleans,Tennessee,4.5,-4.25,-12.68,-0.25,-5.86,-5.41,4,-1.84,-2.28,,-3.34,-3.92,-6.99,-12.67,-13.4,-7.22,1,-8.9,-1.5,-1.56,12.75,0.01,2.5,,1.5,-2.52,-6.42,-2.83,-5.98,5,-11.1,-13.4,,,,-0.19,-3.1,2,-31.65,-4.09,-11.62,-2.36,-0.23,-3.66,-11.7,-7.4,0.01,,-16.2,-4.69,0.65,-11.44,5,0.44,,-6.2,-2.26,-3.39,-3.86,-18.5,7.1903498163,3,14,31
Oakland,Cleveland,3,-0.87,0.05,-0.25,-3.08,-0.24,0.01,2.38,0.81,,2,-1.62,-2.63,1.08,-1.31,3.37,1,-1.58,-1.5,-2.8,-1.58,2,2.5,,5,-3.53,1.8,-1.25,-12.04,3.5,-0.5,-6.99,,,,1.38,-1.4,6,-5.27,-21.41,-6,-1.51,1.26,0.01,0.9,-1.8,0.01,,2.3,3.68,2.8,-11.24,4.7,1.71,,3.8,-2.56,-2.53,-21.43,0.8,4.8857981358,3,26,24
Philadelphia,Detroit,5,2.46,-6.47,2,3.45,1.42,7,6.43,-0.17,,-5.46,2.1,-4.13,-12.01,-3.19,-4.84,2,15.35,3,15.27,15.35,6,5.5,,3,2.18,2.7,7.01,1.07,7,-9.2,-6.82,,,,7.42,-0.5,5,-15.49,-17.03,-5.85,4.89,1.99,2.14,3.2,-7.1,4,,3.2,-1.28,8.13,-16.84,10.3,1.4,,-4.3,10.83,5.25,-17.05,-2.4,6.3468215308,3,56,21
Pittsburgh,San Francisco,10,15.16,12.26,8,20.93,14.55,7,6.67,13.07,,5.83,15.88,11.49,15.35,17.74,17.07,8,17.47,12.5,15.9,8.28,16,10,,1.5,12.56,18.68,11.33,13.82,9,12.7,18.27,,,,3.56,9.5,10,51.27,18.62,6,12.12,9.11,13.62,19.3,10.3,13,,18.1,10.72,8.19,1.06,14.7,4.62,,13.5,20.91,13.73,18.6,26.8,8.258518625,3,37,16
Seattle,Cincinnati,3.5,4.46,3.16,3,-1.71,2.9,3,2.34,4.65,,5.47,-2.03,3.83,7.82,4.3,6.71,5,8.98,4,16.85,8.98,1,3.5,,-0.5,3.02,5.91,1.95,2.01,3,4.8,-5.3,,,,0.68,2.8,2,-20.34,-17.56,9.53,2.54,2.55,3.09,-0.6,0,2,,1.5,4.79,3.53,0.56,7.6,1.99,,6.5,6.61,-5.15,-17.58,12.4,5.9088678204,3,24,21
Tampa Bay,St. Louis,3.5,8.57,2.92,4,5.02,4.55,4,2.03,7.5,,6.5,5.63,7.12,11.33,8.43,7.33,3,13.13,5.5,6.2,13.13,2,3.5,,-3,8.27,8.86,0.81,7.98,3,13.5,-8.61,,,,-0.21,8.2,5,-7.81,19.27,6,3.52,-1.47,5.56,-1.4,0.8,7,,2,6.18,3.63,7.86,5.9,0.95,,1.5,-4.44,-1.62,19.25,17.3,5.4281248318,3,24,3
Washington,N.Y. Giants,3.5,9.07,3.84,5,4.25,8.48,7,1.98,8.45,,9.97,8.37,7.95,17.83,12.91,12.13,6,13.71,8,9.7,4.22,4,4.5,,0.5,9.44,8.8,3.64,12.72,3.5,21.7,10.67,,,,-2.61,7.9,7,6.71,16.54,7.18,3.95,3.27,8.18,5.2,4.7,5,,12.1,9.97,3.79,16.36,4.9,3.29,,13.8,16.17,1.74,16.52,15.4,4.3926783542,3,17,24
Arizona,Pittsburgh,-6,-7.43,-6.12,-5,-8.42,-8.92,-2,-1.88,-5.26,,-4.6,-10.58,-1.1,-13.02,-11.67,-10.19,-9,-14.11,-8.5,-18.7,-14.11,-7,-6,,-3.5,-7.82,-7.36,-6.2,-9.66,-5,-8.6,-8.71,-12.11,,,-1.42,-5.5,-5,-18.59,-45.22,3.4,-6.99,-5.88,-8.42,-10.4,-6,-7,,-9.8,-5.45,-3.12,-15.41,-14,-1.79,,-15,-18.76,-17.82,-45.97,-15.1,7.3935472616,4,21,14
Atlanta,Houston,-3,-5.28,-3.9,-3,-3.44,-7.19,-1,-3.31,-5.44,,-5.6,-9.98,-2.45,-15.78,-16.67,-7.37,-5,-6,-3.5,-6,-6,-2,-3,,-2,-7.3,-4.1,-6.19,-14.84,-3,-13.4,-14.28,-16.51,,,-2.73,-5.9,-5,-21.61,-18.54,-10.68,-3.28,-6.95,-5.6,-9.4,-7.9,0.01,,-12.2,-3.83,1.27,-23.81,2.6,-2.23,,-4,-4.81,-21.62,-18.61,-13.2,5.8708583598,4,26,16
Buffalo,N.Y. Jets,-3.5,0.95,-2.39,0.25,1.53,-0.78,-1,0.91,1.43,,0.93,3.8,4.12,-4.81,3.01,-4.83,-4,-10.65,2.5,-12.04,-10.65,2,-3,,0.01,0.51,1.4,3.71,-2.99,-2.5,-4.8,-1.12,0.59,,,1.49,1.3,-3,-6.88,-6.62,-6,0.04,-3.45,0.5,1,-0.3,0.01,,3,0.14,2.5,-5.72,4.7,1.59,,0.5,-13.51,-6.74,-6.98,3.3,2.9059161707,4,17,14
Carolina,Tampa Bay,3,5.9,-2.46,3,1.35,2.48,4,7.29,1.07,,1.72,7.69,5.95,-4.31,6.58,-0.92,5,-1.21,5.5,5.52,-1.21,4,3,,0.5,6.16,5.93,5.03,3.43,2.5,-5.4,3.46,0.39,,,7.8,1.4,3,-1.41,42.44,-7.06,2.49,0.13,3,4.6,-0.4,3,,3.5,1.4,5.03,0.33,-5,2.25,,-1.2,9.99,-0.47,42.04,1.3,7.0791871334,4,7,20
Cincinnati,New England,-8,-9.06,-8.32,-6,-16.15,-11.19,-6,-4.04,-7.55,,-4.23,-14.6,-4.02,-12.12,-19.31,-11.47,-9,-6,-9.5,-6,-6,-10,-8,,-2,-9.19,-10.51,-11.4,-12.78,-6,-18.4,-14.97,-15.81,,,-1.99,-6.8,-8,-30.05,-23.59,-6,-7.46,-8.4,-9.19,-20.9,-8,-6,,-20.3,-6.46,-3.16,-18.23,-3.2,-3.25,,-9.8,-23.63,-30.38,-23.28,-19.3,6.5176308212,4,13,34
Cleveland,Baltimore,-4.5,-0.41,-2.87,-3,-4.68,-3.01,-5,-5.18,-1.04,,-1.62,-5.88,3.19,-3.44,-3.25,-1.76,-6,-4.29,-0.5,5.52,-4.29,-11,-4.5,,-3,-0.69,-0.12,-8.16,-2.38,-4.5,1.6,-0.06,0.09,,,-6.18,-1,-3,-5.6,-16.08,-4.04,-3.84,-1.85,-2.87,-10.9,-1.2,-4,,-9.9,0.14,-1.99,-7.75,-7.8,0.08,,-2,-6.18,-6.88,-15.9,0.1,3.8588352465,4,27,13
