Week,Day,Date,,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,spread
8,Sun,November 1,box,W,CHI,,CLE,30,6,369,1,191,5,-12
8,Sun,November 1,box,W,CAR,@,ARI,34,21,355,0,320,6,10
8,Sun,November 1,box,W,PHI,,NYG,40,17,391,2,356,3,2.5
8,Sun,November 1,box,W,HOU,@,BUF,31,10,439,3,204,2,-3.5
8,Sun,November 1,box,W,SD,,OAK,24,16,346,2,180,1,-16
8,Mon,November 2,box,W,NO,,ATL,35,27,437,4,442,3,-11
9,Sun,November 8,box,W,TEN,@,SF,34,27,315,0,358,4,4
9,Sun,November 8,box,W,NE,,MIA,27,17,432,1,334,0,-10.5
9,Sun,November 8,box,W,JAX,,KC,24,21,426,1,301,0,-6.5
9,Sun,November 8,box,W,TB,,GB,38,28,279,1,404,3,9.5
9,Sun,November 8,box,W,SEA,,DET,32,20,397,2,300,5,-10
9,Sun,November 8,box,W,NO,,CAR,30,20,414,2,371,3,-13
9,Sun,November 8,box,W,DAL,@,PHI,20,16,358,1,297,2,3
9,Sun,November 8,box,W,IND,,HOU,20,17,378,2,382,3,-9
9,Sun,November 8,box,W,CIN,,BAL,17,7,369,1,215,2,3
9,Sun,November 8,box,W,ARI,@,CHI,41,21,438,1,417,1,3
9,Sun,November 8,box,W,ATL,,WAS,31,17,306,1,312,1,-10
9,Sun,November 8,box,W,SD,@,NYG,21,20,226,2,304,1,5
9,Mon,November 9,box,W,PIT,@,DEN,28,10,375,2,242,3,-3
10,Thu,November 12,box,W,SF,,CHI,10,6,216,1,350,5,0
10,Sun,November 15,box,W,JAX,@,NYJ,24,22,347,1,322,3,6.5
10,Sun,November 15,box,W,KC,@,OAK,16,10,318,3,272,2,2.5
10,Sun,November 15,box,W,MIA,,TB,25,23,374,2,301,2,-10
10,Sun,November 15,box,W,NO,@,STL,28,23,420,3,434,1,-14
10,Sun,November 15,box,W,SD,,PHI,31,23,331,0,462,1,-1
10,Sun,November 15,box,W,MIN,,DET,27,10,492,2,297,1,-17
10,Sun,November 15,box,W,WAS,,DEN,27,17,388,0,305,2,3.5
10,Sun,November 15,box,W,GB,,DAL,17,7,283,0,278,3,3
10,Sun,November 15,box,W,CAR,,ATL,28,19,380,0,400,2,1.5
10,Sun,November 15,box,W,TEN,,BUF,41,17,378,1,296,2,-7.5
10,Sun,November 15,box,W,CIN,@,PIT,18,12,218,0,226,1,7
10,Sun,November 15,box,W,IND,,NE,35,34,407,2,477,2,-2
10,Sun,November 15,box,W,ARI,,SEA,31,20,462,0,472,2,-8.5
10,Mon,November 16,box,W,BAL,@,CLE,16,0,274,0,160,2,-11
11,Thu,November 19,box,W,MIA,@,CAR,24,17,326,0,383,1,-3.5
11,Sun,November 22,box,W,SD,@,DEN,32,3,348,0,271,3,-6.0
11,Sun,November 22,box,W,GB,,SF,30,24,484,0,284,1,-6.0
11,Sun,November 22,box,W,KC,,PIT,27,24,282,1,516,3,11.5
11,Sun,November 22,box,W,MIN,,SEA,35,9,431,0,212,2,-10.5
11,Sun,November 22,box,W,NO,@,TB,38,7,370,0,219,4,-10.5
11,Sun,November 22,box,W,NE,,NYJ,31,14,410,1,226,5,-11.0
11,Sun,November 22,box,W,DAL,,WAS,7,6,305,2,324,1,-10.5
11,Sun,November 22,box,W,ARI,@,STL,21,13,444,2,314,1,-9.0
11,Sun,November 22,box,W,IND,@,BAL,17,15,375,3,354,2,-1.5
11,Sun,November 22,box,W,DET,,CLE,38,37,473,2,439,0,-3.0
11,Sun,November 22,box,W,OAK,,CIN,20,17,275,3,348,4,8.5
11,Sun,November 22,box,W,PHI,@,CHI,24,20,377,3,284,1,-3.5
11,Sun,November 22,box,W,JAX,,BUF,18,15,310,2,343,3,-8.5
11,Sun,November 22,box,W,NYG,,ATL,34,31,456,1,352,1,-7.0
11,Mon,November 23,box,W,TEN,@,HOU,20,17,344,1,340,0,3.5
12,Thu,November 26,box,W,GB,@,DET,34,12,422,2,272,5,-11.5
12,Thu,November 26,box,W,DEN,,NYG,26,6,373,1,267,3,4.5
12,Thu,November 26,box,W,DAL,,OAK,24,7,494,0,305,1,-13.5
12,Sun,November 29,box,W,BAL,,PIT,20,17,393,2,298,1,-7.5
12,Sun,November 29,box,W,PHI,,WAS,27,24,381,1,303,2,-10
12,Sun,November 29,box,W,SD,,KC,43,14,426,1,284,4,-13.5
12,Sun,November 29,box,W,SF,,JAX,20,3,284,0,357,2,-3
12,Sun,November 29,box,W,SEA,@,STL,27,17,265,1,364,2,-3.5
12,Sun,November 29,box,W,BUF,,MIA,31,14,336,1,325,4,3.5
12,Sun,November 29,box,W,TEN,,ARI,20,17,532,1,292,0,-3.5
12,Sun,November 29,box,W,ATL,,TB,20,17,297,1,318,1,-12.5
12,Sun,November 29,box,W,NYJ,,CAR,17,6,283,3,179,4,-3.5
12,Sun,November 29,box,W,MIN,,CHI,36,10,537,1,169,3,-10.5
12,Sun,November 29,box,W,CIN,,CLE,16,7,306,0,169,0,-12.5
12,Sun,November 29,box,W,IND,@,HOU,35,27,342,2,396,3,-3
12,Mon,November 30,box,W,NO,,NE,38,17,480,1,366,3,-2
13,Thu,December 3,box,W,NYJ,@,BUF,19,13,331,0,194,2,-3
13,Sun,December 6,box,W,DEN,@,KC,44,13,413,3,222,3,-6.5
13,Sun,December 6,box,W,JAX,,HOU,23,18,323,1,305,3,1.5
13,Sun,December 6,box,W,MIA,,NE,22,21,416,1,448,2,5.5
13,Sun,December 6,box,W,NO,@,WAS,33,30,463,1,455,4,-9
13,Sun,December 6,box,W,OAK,@,PIT,27,24,396,0,401,1,15
13,Sun,December 6,box,W,SEA,,SF,20,17,292,1,356,2,1
13,Sun,December 6,box,W,NYG,,DAL,31,24,337,2,424,1,1.5
13,Sun,December 6,box,W,ARI,,MIN,30,17,398,1,315,2,3.5
13,Sun,December 6,box,W,PHI,@,ATL,34,7,380,0,295,3,-5
13,Sun,December 6,box,W,CAR,,TB,16,6,309,2,469,5,-3.5
13,Sun,December 6,box,W,CHI,,STL,17,9,248,1,233,2,-9
