HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Cincinnati,Tennessee,-9.5,-16.01,-23.25,-25.48,-46.64,-25.4,-19.17,-7.22,-21.2,-9.41,-12.75,-7.96,-19.6,-11,-23.22,-26.71,-16,-16.89,-11.37,-14,-24.33,-11,-24.13,,,23,14,6
Detroit,Green Bay,3,0.12,2.06,-5.07,-52.73,-4.9,7.33,5.63,4.5,0.89,2.47,1.61,4,0.5,-3.62,-4.17,0.62,1.12,1.24,2,4.43,1,4.41,,,24,31,6
Jacksonville,Baltimore,2.5,-6.36,-8.88,-9.8,-18.74,-10.04,-6.44,-0.12,1,-8.58,-0.48,-4.46,-7.4,-3.8,-8.52,-14.95,-3.65,-5.55,-1.15,1,-6.11,-5,-9.7,,,15,10,6
Miami,Buffalo,1.5,1.79,1.28,0.91,20.87,1.17,4.46,5.01,1.6,11.3,7.74,10.81,5.2,10.2,0.61,22.64,6.52,5.71,6.46,1,10.3,4,0.94,,,13,22,6
Minnesota,Tampa Bay,1,0.97,6.33,-5.76,25.82,-7.02,8.15,11.87,4.7,3.66,3.17,-1.16,2.9,0.6,-5.45,-4.14,-0.7,1.44,1.15,0,5.28,2,5.19,,,23,30,6
N.Y. Jets,Pittsburgh,8,11.88,12.59,17.3,14.18,17.39,21.59,16.42,17.9,10.55,10.65,13.89,16.8,7.1,18.04,14.74,11.42,13.41,-0.09,11,18.36,10,17.8,,,20,3,6
New England,Indianapolis,-3.5,-2.32,-3.93,-5.86,-64.15,-5.69,-1.65,-4.93,-1.6,-6.17,-0.47,-1.12,3.1,-2.5,-4.55,-9.8,-1.71,-2.93,-2.43,-3,4.44,-5,-1.96,,,16,24,6
Philadelphia,Washington,-3,-0.37,0.96,3.17,48.63,2.82,1.86,1.07,-3.1,1.56,3.83,4.52,-0.3,7.2,1.15,14.8,3.83,2.22,3.67,-4,3.48,1,0.85,,,17,14,6
San Diego,Denver,-6.5,-9.97,-19.59,-20.34,-4.09,-20.61,-10.96,-3.06,1.2,-8.84,-6.2,-11.76,-8.7,-6.6,-19.32,-14.86,-11.15,-11.13,-7.08,-10,-10.1,-9,-20.04,,,21,7,6
San Francisco,Oakland,-4.5,-9.42,1.62,-19.09,-112.5,-19.03,-9.82,-1.82,-6.7,-8.46,-3.47,-9.33,-6.6,-5.3,-16.46,-7.15,-8.45,-8.44,-6.21,-8,-4.46,-9,2.78,,,34,28,6
