HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Denver,San Francisco,7,10.19,6.9,7.63,4.84,11,8.21,12.25,9.9,4.6,7.42,6.52,3.2,5.2,7.14,6.71,9,6.97,11.68,8,5.01,12,6.9,9.73,1.3,9,38,17
Detroit,Chicago,9.5,12.32,9.69,8.49,5.28,6,11.24,13.01,11.3,6.7,9.2,10.55,11.3,8.5,7.94,11.08,12,9.8,9.69,10,10.92,10,10.89,12.48,13.6,23,20,17
Green Bay,Tampa Bay,2.5,-2.09,-0.52,-2,-0.89,-1,1.68,2.24,-1.8,0.95,0.99,0.47,0.6,1.3,-1.55,-1.21,-1,-0.18,-0.72,0,1.17,-2,1.81,-1.06,2.2,14,17,17
Indianapolis,Minnesota,3.5,2.68,3.69,7.72,16.17,3,2,1.36,0.9,7.28,4.33,5.26,8.8,4.2,7,4.75,5,4.83,2.59,8,6.54,2,4.69,5.62,11.3,10,31,17
N.Y. Giants,Jacksonville,4,7.94,4.37,6.06,1.84,6,8.76,10.59,6.1,6.23,4.42,5.84,7.3,4.2,5.83,5.74,4,6.52,-0.55,3,7.04,7,5.07,6.95,10.3,25,28,17
New England,Miami,-4,-8.62,-4.43,-5.38,-13.11,-3,-4.62,-5.21,-8.7,-3.56,-3.8,-5.28,-5.2,-2.9,-4.36,-5.49,-6,-4.51,1.87,-2,-4.66,-7,-4.13,-6.08,-10.1,27,24,17
New Orleans,St. Louis,-3.5,1.47,4.12,1.58,-2.35,-4,1.6,2.35,-2.2,0.58,1.09,2.7,1.9,5.1,1.51,3.91,1,2.61,6.39,1,2.86,3,7.12,2.37,2.4,26,21,17
Oakland,Carolina,8.5,9.88,6.55,7.88,12.57,6,8.16,10.6,12.1,9.78,7.93,8.41,9.8,5,7.2,6.55,10,7.95,9.5,9,9.34,9,7.75,9.85,14.1,9,52,17
Philadelphia,Cincinnati,10.5,16.89,9.99,16.68,13.14,16,14.65,13.09,17.9,12.82,11.96,13.52,12.9,12.7,14.88,17.08,16,13.23,13.68,14,13.42,14,11.79,17.07,15.3,7,16,17
San Diego,Pittsburgh,-3,-10.32,-11.04,-8.39,-12.64,-5,-8.4,-8.6,-4.2,-7.86,-4.46,-5.66,-4.4,-5.6,-6.83,-6.8,-8,-6.27,-6.19,-5,-5.7,-11,-11.94,-7.3,-6.3,34,21,17
Seattle,Buffalo,3,-1.29,-3.52,-0.79,2.31,-5,-0.29,1.06,-0.5,7.57,2.84,6.85,13.5,2.1,-0.19,2.95,3,2.87,3.49,5,7.26,-1,-3.12,1.54,16.7,42,23,17
Tennessee,Dallas,13.5,15.67,14.89,12.22,11.18,10,12.31,16.94,17,13.86,10.71,10.96,11.8,9.2,10.77,12.07,12,12.23,12.88,11,11.62,14,16.29,11.79,12.1,0,31,17
Washington,Arizona,7,16.99,15.33,16.94,20,14,14.2,14.19,13.5,8.76,13.31,13.71,9.4,7.4,14.33,12.34,18,13,14.77,14,12.73,14,14.53,17.75,9.6,3,20,17
Baltimore,Denver,3,6.82,5.75,4.62,5.47,9.33,5.47,5.67,3.8,5.68,5,4.47,6.9,9.5,4.2,8.11,5.54,5.87,4.47,5,5.57,9,9,6.38,-0.5,3,21,18
Miami,Indianapolis,-2,3.29,2.18,0.04,0.31,0.33,3.92,4.44,5.5,1.71,2.3,-0.81,-4.2,2.2,0.43,4.13,3.74,1.79,2.84,-1,0.04,4,0.78,3.13,-4.5,17,23,18
New Orleans,St. Louis,-6,0.63,2.38,1.09,-3.21,-4.67,1.3,1.83,-3,-2.14,0.29,1.29,0.5,2.2,1.19,3.18,0.34,0.71,4.83,-1,0.31,2,2.93,1.53,-1,28,31,18
Philadelphia,Tampa Bay,-3,0.17,1.7,-1.08,-3.8,0,2.53,2.23,-3.2,0.63,0.48,0.11,-1.4,2.4,-0.64,2.91,-1.56,-0.04,0.06,-2,0.75,1,3.3,0.05,-5.5,3,21,18
Minnesota,New Orleans,8,6.37,0.03,0.99,1.65,9.33,4.75,7.89,8.4,0.84,5.01,2.34,-2.2,2.2,1.31,2.09,5.77,3.87,4.09,3,2.65,6,-0.1,5.1,-0.5,16,34,19
N.Y. Giants,Philadelphia,4,2.17,5.16,2.13,-2.97,4,2.66,5.61,5.8,0.09,2,0.84,1.6,3,2.18,1.47,1.37,2.5,2.75,2,1.35,2,6.41,2.55,1.5,10,20,19
Oakland,Miami,9,2.15,3.81,5.93,4.54,-0.33,2.27,2.33,2.3,7.51,3.92,4.58,9.3,3.2,5.51,4.46,7.27,4.51,4.88,8,6.78,1,3.24,4.48,13.5,0,27,19
Tennessee,Baltimore,6,4.3,2.38,2.77,5.17,-1,3.48,7.36,5.1,3.78,4.08,1.08,0.9,3.3,2.63,1.54,5,3.12,3.61,4,2.88,2,4.13,3.85,3.5,24,10,19
N.Y. Giants,Minnesota,-1.5,2.96,7.3,5.57,6.99,2.33,3.23,4.34,3.2,2.55,2.64,4.89,8.8,3.8,5.09,5.82,1,4.2,-1.62,6,5.45,5,8.73,3.79,6.5,0,41,20
Oakland,Baltimore,5.5,1.67,0.42,3.37,9.25,-4.33,2.79,3,4,4.18,3.3,1.13,3.6,6.5,3.4,0.71,6,2.14,4.09,3,2.41,-1,3.32,3.65,6,16,3,20
Baltimore,N.Y. Giants,3,4.68,2.1,4.47,5.53,5.33,0.94,0.25,1.8,3.68,3.74,5.7,5,2.7,3.78,3.65,3.56,3.81,2.61,6,6.32,3,2.1,4.36,8.5,7,34,21
