Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linematt,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhat,linewann,linestd,vscore,hscore,week,difference
Minnesota,Carolina,0,7.79,-3.95,2,0.94,1.91,12.72,0.01,44.5,-0.01,,6.5,-3.37,3.8,-3.46,9.8,-1.91,1,0.62,-3.15,-0.28,-6.39,-2,0,,-1,7.59,8.11,0.98,6.51,-2.5,,,,,17.15,5.3,-6,-5.56,-10.47,3.55,1.79,4.65,1,4,2.5,1,,10.5,,6.82,0.01,-2.6,1.01,,,,,9.0015065138,13,16,2,3
N.Y. Jets,New England,-6,-1.51,-1.52,-1,-5.33,-3.9,0.12,-6,19,-6.69,,2.65,-8.89,-8.72,-3.82,-0.34,-2.05,-4,-9.23,-6.16,-8.22,-5.1,-4,-6,,-2,-4.01,-0.15,-4.91,-1.9,-4.5,,,,,-6.5,-5.2,-3,-6.96,-3.8,3.21,-4.56,-1.15,-4,-1.4,-3.8,-4,,-5.5,,-2.97,-6.7,-4.5,-0.85,,,,,4.663265373,24,17,2,-7
Philadelphia,N.Y. Giants,3,8.12,-2.12,2,-0.44,1.23,1.56,2,1.5,0.18,,6.5,-0.8,0.44,-3.07,2.74,-1.94,1,-5.58,-4.92,-5.22,-1.49,-1,3,,14,9.62,6.65,-1.44,1.41,3.5,,,,,-10.9,3.9,5,-4.87,-2.04,0.36,-2.17,3.78,1,2.4,-0.5,-1,,2.8,,-0.99,-1.7,1.8,3.57,,,,,4.5390572513,30,24,2,-6
San Diego,Tennessee,11.5,17.27,13.18,9,16.99,14.16,24.12,13,27,16.71,,6.5,11.3,13.3,11.36,19.85,10.12,13,13.97,15.67,11.23,26,19,12,,13,16.67,18.7,13.14,19.64,11,,,,,13.5,13.5,5,21.12,17.04,6.66,12.6,15.24,13.5,19.7,14.9,15,,20.3,,16.85,16.5,3.3,5.01,,,,,5.315805612,7,40,2,33
San Francisco,St. Louis,-3,-7.12,0.38,-0.25,-1.83,-3.06,-13.8,-2,-25.5,-4.1,,-2,-7.7,-6.37,-1.62,-3.83,-1.09,-1,7.17,0.32,7.58,13.46,-4,-3,,-5,-8.42,-6.23,1.72,-3.91,-3,,,,,4.15,-1.3,-5,-2.37,2.61,-3.8,-1.77,-5.6,-2.5,-8.8,-5.2,-1,,-4.4,,-3.99,1.2,-2.5,0.3,,,,,5.1347351345,13,20,2,7
Seattle,Arizona,7,11.84,12.41,7,17.36,10.28,8.52,9,-15.5,11.12,,2.25,7.91,11.66,12.02,12.76,10.73,6,13.69,14.6,8.98,10.89,14,7.5,,5,13.16,10.92,15.79,16.39,6.5,,,,,13,7.2,8,18.37,25.86,15.92,9.8,3.73,9.87,5.3,11.1,9,,15,,9.87,19.9,7.1,5.53,,,,,5.871043728,10,21,2,11
Arizona,St. Louis,4.5,2.43,6.55,2,4.93,3.43,7.68,5,0.55,4.97,,2.25,1.89,8.16,1.06,2.09,2.04,4,6,3.5,12.63,-6,4,4.5,,0.01,3.41,1.36,3.79,4.34,4.5,,,,,3.9,3.6,3,10.97,7,6,1.63,1.41,3.07,-6.4,2.8,3,,3.9,,-0.5,9.9,0.3,3.07,,,,,2.9068642715,16,14,3,-2
Buffalo,N.Y. Jets,5.5,6.9,3.87,3,6.62,5.23,5.04,6,16.75,8.21,,1.91,5.43,8.38,7.33,11.72,5.13,3,3.54,3.15,4.85,13.1,5,5.5,,5,4.75,9.31,4.22,7.27,5.5,,,,,5,6.5,2,8.64,-1.5,-6,3.87,4.68,5,-1,7.6,3,,10.9,,4.91,4.4,1.2,3.13,,,,,3.3628040884,28,20,3,-8
Cleveland,Baltimore,-7,-9.69,-3.34,-2,-5.46,-8.79,-14.84,-6,-21.06,-12.85,,-6.25,-9.81,-8.56,-17.48,-14.21,-15.78,-8,-4.71,1.72,-5.96,-6.6,-8,-7,,-4,-8.46,-12.09,-4.47,-9.64,-6,,,,,-15.4,-9.3,-17,-22.4,-18.5,-6,-4.08,-17.23,-8.46,-13.1,-9,-5,,-12.9,,-5.95,-13.4,-1.3,0.36,,,,,5.8620801124,15,14,3,-1
Detroit,Green Bay,6.5,4.01,-0.79,2,1.15,3.57,6.71,5,17.57,5.63,,2.25,4.06,4.56,1.14,11.08,-0.75,5,2.32,2.69,9.68,6,2,6,,-1,2.81,5.49,2.84,5.08,6,,,,,11.3,3.8,3,9.31,5.5,-6,-0.04,4.25,3.8,6.8,5.3,3,,7.8,,3.13,10.4,-7.5,4.3,,,,,4.2959476926,31,24,3,-7
Houston,Washington,-3.5,-2.2,3.49,-1,-6.43,-2.17,-0.18,-4,-2.63,-1.71,,2.25,-5.01,0.02,2,-7.39,1.2,-6,1.98,-5.04,4.55,-13.13,-9,-3.5,,4,-3.89,-1.06,-9.07,-1.78,-3.5,,,,,-18.9,4.6,-6,3.27,1.5,4.71,-1.78,-2.82,-1.78,-9.5,-6.7,0.01,,-7.8,,-2.99,2.2,-5.5,1.69,,,,,4.8915217223,31,15,3,-16
Indianapolis,Jacksonville,7,6.3,-3.56,3,8.04,3.24,-2.96,8,-10.68,1.89,,2.25,4.87,2.34,0.52,4.01,1.94,3,6.38,4.86,3.63,2.16,5,6,,9,8.9,5.35,3.68,-1.11,7,,,,,1.5,-1.2,4,-0.23,5.5,-0.67,6.07,-2.61,3.63,3.7,6,3,,0.9,,2.89,0.02,2.3,4.51,,,,,3.8891264387,14,21,3,7
Miami,Tennessee,11,7.63,4.87,5,8.33,7.6,5.29,12,17.5,8.19,,2.25,8.91,7.42,5.35,12.09,7.44,9,9.73,11.74,11.46,6,12,10.5,,4,5.98,9.07,13.56,9.3,11,,,,,10,6.7,6,5.64,8.5,-6,7.62,-6.72,7.63,10.7,11.1,9,,17.7,,5.77,3.2,-0.2,4.17,,,,,3.8439645495,10,13,3,3
Minnesota,Chicago,-3.5,-0.65,0.56,2,1.86,-2.87,-7.33,-2,-29.5,-6.51,,-0.53,-3.59,3.21,-6.86,-3.43,-11.14,-1,-5,1.81,-11.33,2.28,-2,-3.5,,7,4.32,-7.19,5.05,-3.59,-3,,,,,5,2.6,-9,-31.32,-17.5,6,2.63,-11.1,-1.7,-8.7,-1.5,0.01,,-1.7,,0.98,0.3,3.7,1.21,,,,,8.3116134417,19,16,3,-3
New England,Denver,7,11.38,11.57,4,3.24,6.62,15.43,5,10.68,9,,9.03,1.25,12.32,10.39,8.46,5.91,5,6,-0.38,6,6,1,7,,8,14.44,10.43,3.27,6.81,6,,,,,7.6,4.8,6,18.68,8,-6,4.88,3.95,6,7.1,5,5,,6.6,,1.92,14.7,0.3,3.57,,,,,4.4394539257,17,7,3,-10
New Orleans,Atlanta,-3.5,-0.92,-2.05,-1,-8.05,-3.46,-3.57,-1,-8.75,-5.61,,1.87,-9.62,-3.66,-5.05,-5.2,-6.17,-3,2.69,-4.59,-6.37,6,-2,-3.5,,0.01,0.04,-1.88,-3.16,-5.8,-3,,,,,-6.5,-6.4,-7,1.93,-7,-6.35,-4.95,-7.05,-3.57,-2.4,-5.3,-4,,-3.4,,-3.85,2.2,-1.4,1.29,,,,,2.9263085956,3,23,3,20
Pittsburgh,Cincinnati,1,3.18,2.9,3,0.57,1.28,-0.9,3,-4.82,-1.39,,-0.26,1.27,-0.42,-5.31,0.09,-2.25,4,-6,3.73,-6,-6,11,1,,11,4.98,1.26,9.15,4.88,3,,,,,5.1,-3.8,-6,1.02,-1,6,4.91,-3.74,1.2,-1.4,4.8,-2,,10.6,,-0.99,-0.06,1.2,2.44,,,,,4.3783326497,28,20,3,-8
San Francisco,Philadelphia,-6,-2.62,4.73,-1,-6.15,-2.29,5.19,-2,8.13,-1.16,,0.23,-8.64,1.32,0.09,2.2,0.91,-1,-3.96,-2.07,-10.2,6,-3,-5.5,,-13,-2.01,-3.25,1.49,0.47,-6,,,,,10.5,-3.5,-7,0.81,-3.5,-9.56,-1.68,-4.52,-2,-5.8,-2.8,-2,,0.9,,-0.5,4.5,-5.9,1,,,,,4.4914465054,38,24,3,-14
Seattle,N.Y. Giants,3.5,3.42,1.49,5,5.51,4.6,8.04,4,7.43,0.61,,6.5,1.71,5.99,11.19,5.21,8.88,5,-3.17,4.79,-5.02,-0.35,10,3.5,,5,6.9,0.85,10.83,10.42,3.5,,,,,8.2,3.2,3,7.64,2.5,-6,4.35,0.81,4.79,0.2,6.9,3,,12,,5.98,13.7,1.8,4.06,,,,,3.1770116229,30,42,3,12
Tampa Bay,Carolina,-3,0.7,-1.8,1,-6.62,-2.4,-0.33,-3,-6.07,-4.15,,2.25,-3.88,-1.86,-1.33,-3.03,-7.49,-1,-9.71,-3.73,-10.64,-6,-7,-3,,-2,1.48,-0.24,-4.17,-0.49,-3,,,,,-6.3,-5.2,7,6.64,-12,6,-2.13,-4.32,-2.13,-0.6,-5.2,-4,,-7.2,,-2.02,-6.6,-2.7,1.4,,,,,3.5077311735,26,24,3,-2
Atlanta,Arizona,7,10.71,6.53,5,10.88,6.06,5.37,5,-9.34,2.63,,5.39,9.57,2.77,7.01,8.05,4.69,5,-4.06,10.96,7.21,-1.1,5,7,,9,10.49,10.94,7.36,10.75,7,,0.14,,,-4.1,3.6,9,-0.43,7.89,0.73,6.46,5.4,5.4,11.7,9.1,5,,0.7,4,6.93,4.3,2,3.95,,,,,4.5158295394,10,32,4,22
Baltimore,San Diego,-2.5,0.87,4.46,2,-1.47,-1.26,-1.21,2,-7.58,-2.66,,4.37,-1.73,-0.78,1.98,-2.43,-5.19,-2,-13.18,2.95,-10.97,-5,-4,-2.5,,-1,2.75,-4.54,2.08,-0.09,-2,,1.74,,,1.65,1.4,-4,-5.25,-2.47,-6.49,1.13,-9.86,-1.21,1.3,-2.2,-2,,-2.5,-3,-4.93,4.9,6.7,2.32,,,,,3.2138204037,13,16,4,3
Buffalo,Minnesota,0,2.03,-1.57,-0.25,5.14,-0.96,-6.01,0.01,-4.1,-2.99,,0.28,0.38,-4.43,2,1.04,2.49,-1,-6.75,1.47,3.34,-4.22,2,0,,8,-1.58,5.65,-1.56,-1.94,0,,-12.46,,,-8.3,-2.2,-4,-14.38,-5.72,-2.1,-0.31,-1.01,-0.25,0.9,-2.7,-2,,0.4,3,-3.03,-9.5,-8.9,2.29,,,,,4.6111755465,12,17,4,5
Carolina,New Orleans,7,-0.06,-11.74,-0.25,4.12,-2.16,-15.59,4,-17.09,-8.93,,-8.32,4.89,-6.31,-9.46,-7.92,-4.51,3,-11.45,3.21,-6.5,-6.48,8,6,,7,-2.39,2.15,5.82,-3.72,7,,-18.66,,,8.35,2.6,5,-19.56,-17.63,0.56,6.92,-1.69,-0.25,-8.1,4.4,6,,4.3,-5,3.86,-15.3,-8.2,2.53,,,,,8.0710309131,18,21,4,3
Chicago,Seattle,3,5.75,9.03,1,2.79,4.32,3.29,2,7.96,8.19,,2.25,2.59,4.72,8.37,8.86,10.59,6,3.14,6.16,-7.81,-6,0.01,3,,0.01,3.53,7.24,1.98,7.28,3,,4.14,,,1,0.3,-4,11.41,13.03,-6.16,3.7,3.71,3.7,13.4,4.3,1,,4.3,8,3.03,7.7,8.5,2.88,,,,,3.7452457058,6,37,4,31
Cincinnati,New England,6,6.93,-2.37,6,2.01,7.21,12.05,6,24.89,10.12,,6.9,3.31,8.01,11.69,16.14,8.09,4,11.05,9.04,6,11.39,4,6,,-6,4.6,9.42,2.43,11.42,4.5,,19.64,,,9.1,7.5,8,21.87,5.03,9.25,5.47,8.38,6.93,5.4,9.5,6,,8.9,10,7.7,0.03,-1.1,4.7,,,,,6.0787989624,38,13,4,-25
Houston,Miami,-3.5,-1.98,-1.89,-0.25,-4.76,-2.04,1.2,-4,-1,-3.24,,2,-7.06,-5.75,-0.08,-5.85,0,-6,5.3,1.51,4.37,-5.94,-7,-3.5,,6,-3.4,-1.03,-7.88,-0.07,-5,,3.64,,,-9.15,-0.3,3,4.36,2.25,3.87,-2.86,-2.26,-2,-8.8,-4.3,-3,,-9.1,-2,-2.97,-5.6,-9.9,1.74,,,,,4.0962857644,15,17,4,2
Kansas City,San Francisco,7,10.1,5.48,7,21.46,6.86,4.04,9,7.55,-0.33,,0.13,9.08,-2.83,-3.35,7.06,-2.32,6,3.92,9.85,13,4.01,20,7,,14,8.96,11.5,12.7,8.38,7,,1.14,,,-0.1,3.7,2,2.67,5.47,2.43,10.1,2.44,7,2.4,14.8,8,,17.3,0.25,6.93,-0.04,12.3,2.92,,,,,6.1955576187,0,41,4,41
N.Y. Jets,Indianapolis,-9,-5.54,-1.53,-4,-7.98,-6.41,-13.38,-6,-3.78,-10.98,,-1.26,-12.95,-12.48,-1.36,-3.84,-0.26,-4,-12.66,-4.09,-11.81,-6,-5,-8.5,,-2,-9.23,-3.24,-4.39,-7.4,-8,,-18.96,,,-8.15,-2.6,-5,-19.96,-5.97,-12.88,-3.57,-6.3,-5,-7.6,-9.5,-3,,-0.7,-1,-7.07,-12.8,-3.8,0.62,,,,,4.910836705,31,28,4,-3
Oakland,Cleveland,-3,0.04,-6.01,3,-1.02,-2.52,-5.89,3,-12.58,-5.71,,2.13,0.89,-3.03,-3.87,-7.6,-6.13,-3,-7.63,1.83,-10.3,-10.39,1,-3,,5,3.19,-3.43,-0.51,-1.36,-2.5,,-15.36,,,-7.45,1.2,-7,-15.29,-4.97,6.24,1.34,-6.89,-1.36,2.6,-2.8,2,,-3.7,-7,2.89,3.6,-5.1,1.72,,,,,5.1515270274,24,21,4,-3
Philadelphia,Green Bay,11,9.16,-0.46,8,5.51,8.2,7.42,8,27.1,9.84,,12.52,7.61,6.48,13.43,11.16,11.02,9,6,12.35,6,-6,7,10.5,,9,5.76,13.23,5.53,8.22,11,,1.64,,,12.35,11.1,7,3.46,-13.53,12,5.64,8.88,7.61,17.6,8.1,7,,12.5,12,6.42,-1.9,5.1,5.79,,,,,4.7441187316,9,31,4,22
St. Louis,Detroit,6,12.8,10.59,7,9.18,8.24,12.39,8,23.19,11.5,,8.84,3.18,12.38,13.38,13.3,8.81,10,6,3.4,6,6,8,6,,5,12.32,14.08,8.78,11.55,6.5,,-0.66,,,12.3,7.9,2,1.83,27.22,13.39,5.81,6.7,8.4,11.8,8.7,7,,12.6,11,6.78,23.5,8.4,4.23,,,,,4.4384347305,34,41,4,7
Tennessee,Dallas,-9.5,-6.56,-4.83,-5,-4.33,-8.75,-16.42,-9,-16.67,-12.5,,-4.13,-12.54,-10.91,-11.48,-10.41,-7.08,-8,-6,-8.54,-9.73,0.49,-7,-9.5,,1,-7.02,-6.8,-5.89,-9.96,-9,,-25.36,,,-9.6,-8.2,-7,-26.75,-0.22,-6.21,-6.07,-10.83,-8,-16.6,-11,-8,,-7.4,-8,-5.78,-7.1,1.7,0.14,,,,,5.938919274,45,14,4,-31
Washington,Jacksonville,-3,-5.03,-7.47,-1,-1.49,-3.72,-10.01,2,-7.32,-8.91,,-5.22,-2.37,-10.15,-1.57,-5.74,0.94,-5,-11.73,-4.65,-6,-10.47,1,-3,,0.01,-4.65,-5.43,-0.09,-6.06,-3,,-10.66,,,-3.2,-4.9,-2,-10.03,-0.97,-6.34,0.07,-5.77,-4,-3.3,-3,-4,,-1.2,1,-2.89,-9.7,6.5,0.7,,,,,3.9140409841,30,36,4,6
