Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linematt,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhat,linewann,linestd,vscore,hscore,week,difference
Detroit,Atlanta,-5.5,-8.29,-5.68,,-5.6,-7.1,-9.18,-5,-15.58,-10.49,-7.3,-7.85,-7.67,-14.02,-4.04,-4.51,-2.1,-6,-10.21,-3.3,-9.88,-3.52,-7,-5.5,-7.99,,-9.83,-6.91,-2.94,-12.43,-5.5,-5.05,-7.45,-7.3,-9.72,-8.25,-5.1,-7,-10.12,-8.99,-4.12,-5.71,-6.87,-7,-6.7,-8.7,-5,-7.98,-4.6,-13,-3.99,-14.5,-3.2,-3.21,,,-11,,3.0962152144,14,30,9,16
Jacksonville,Tennessee,9.5,12.56,12.87,,15.57,12.39,12.36,12,-9.13,13.91,17.9,11.11,14.41,14.31,12.94,9.93,9.85,9,11.84,9.93,12.88,11.84,16,10,15.21,,9.88,16.16,13.09,15.8,10,8.48,9.95,10.4,11.69,16.05,7.4,11,17.5,21.96,1.5,9.16,7.4,12,19.5,14.5,11,11.57,10.9,10,14.68,12.5,16.4,9.39,,,9,,4.5158327667,7,37,9,30
N.Y. Giants,Houston,13,18.23,11.57,,15.5,15.9,19.38,16,16.41,19.24,13.9,17.26,20.25,17.79,12.9,18.16,10.63,12,18.79,11.38,18.96,18.79,17,13,19.86,,17.34,19.3,13.86,22.33,13,12.34,18.05,17.4,15.91,24.7,11.6,13,19.58,32.36,4.68,12.64,10.72,17,22.6,16.8,12,14.46,17.2,17,17.99,20.2,9.6,9.47,,,13,,3.6795156367,10,14,9,4
New England,Indianapolis,3,0.67,-4.34,,0.52,3.43,0.52,5,22.11,0.53,7.1,3.66,5.16,-2.63,6.87,6.26,6.87,1,6,2.38,6,-11.51,10,3,4.5,,-3.69,1.63,2.97,-0.85,2,1.32,3.25,3.4,1.26,4.3,7.2,5,4.94,-10.8,-13.44,6.78,-0.98,3.4,2.2,2.6,4,1.61,16.4,7,-3,-17.1,2.6,2.08,,,6,,4.8586290933,27,20,9,-7
Pittsburgh,Denver,3,-3.08,-0.21,,1.68,-1.46,-10.71,0.01,7.19,-4.41,3.5,-0.26,-2.8,-4.53,-0.68,-3.48,0.56,-1,-1.65,1.19,-1.6,8.2,5,2,-2.39,,-9.95,2.4,0.88,-13.86,2.5,-5.02,-4.25,-4.1,-4.3,8.65,-1.5,3,-0.38,11.08,-3.25,1.58,-1.52,-1,5.3,0,0.01,-5.91,4.8,3,-4.07,-10.2,3.1,0.78,,,-8,,4.6473176989,31,20,9,-11
San Diego,Cleveland,13,10.8,11.63,,16.66,13.52,10.75,13,5.67,17.35,15.2,12.94,16.71,16.06,15.01,13.52,12.05,12,18.4,11.38,18.73,18.4,19,13,18.12,,7.36,15.94,12.93,14.03,12.5,7.38,13.45,13.9,12.22,16.65,8.3,15,18.38,19.53,1.47,12.38,10.22,13,7.8,15.7,11,12.79,16.3,18,12.47,8.9,11.6,9.46,,,10,,3.3065083354,25,32,9,7
San Francisco,Minnesota,-4.5,-5.87,-1.8,,-4.5,-6.53,-7.09,-8,-10.28,-11.2,-6.7,-4.52,-7.61,-10.87,-4.4,-6,-2.81,-3,-8.31,-4.87,-8.3,-12.28,-9,-4.5,-8.56,,-5.61,-7.02,-5.06,-5.38,-6,-2.45,-4.75,-6.7,-5.38,-8.6,-4.2,-7,-10.09,-5.54,-1.73,-5.23,-8.47,-6.7,-11.9,-10.6,-7,-3.8,-10.9,-10,-3.96,-6.4,-6.4,-2.19,,,-7,,2.7416341281,3,9,9,6
Seattle,Oakland,7.5,10.7,8.79,,10.1,8.06,11.3,7,-26.59,7.94,7.8,6.8,13.48,10.18,6.86,5.01,5.21,6,6.87,9.49,6.92,14.88,7,7.5,9.51,,12.03,9.52,12.52,12.96,6.5,7.91,6.55,7.6,7.08,16.05,3.9,10,6.44,7.93,3.14,8.06,4.44,7.12,6.4,11,7,9.63,0.8,3,7.12,0.14,13,6.75,,,7,,6.3051182913,0,16,9,16
St. Louis,Kansas City,2.5,0.45,6.43,,2.42,0.89,0.12,0.01,-5.62,5.6,4.8,1.08,2.7,3.73,2.73,1.97,2.9,1,-1.12,2.89,-0.52,9.12,-6,2.5,1.9,,2.47,-1.66,-0.74,-1.66,2.5,2.24,1.05,1,1.59,-0.35,-1.2,2,-0.37,12.58,0.34,0.41,0.92,1,9.7,-4.7,-1,2.22,-2,-5,-1.03,9.2,-1.8,1.67,,,-6,,3.1412533735,31,17,9,-14
Tampa Bay,New Orleans,-1,-1.63,-2.86,,1.75,-2.6,-3.54,2,5.83,-6.5,-6.6,-3.86,3.14,-11.14,-5.54,1.02,-2.83,-3,-4.01,-2.36,-4.25,10.69,-1,-1,-3.68,,-2.64,-0.77,-0.11,-4.23,-2,-1.12,-2.85,-2.4,-2.58,-1.1,2.1,-3,-4.22,7.39,-0.58,3.2,-4.6,-2.64,-11.8,0.5,1,-5.5,4.2,-8,-0.5,-4.7,-2.1,-0.6,,,-14,,3.7269456801,31,14,9,-17
Washington,Dallas,-3,-3.97,-3.34,,-1.48,-4.78,-3.62,-4,-21.57,-12.54,-5,-5.2,0.15,-12.08,-5.05,-5.01,-3.42,-4,-7.45,-1.43,-7.56,-5.42,-3,-3,-6.05,,-1.67,-8.04,-1.42,-5.24,-3,-0.85,-4.85,-4.8,-4.18,-7.5,-5.2,-7,-8.57,-4.46,-0.73,-2.44,-6.24,-4.8,-6.4,-3.7,-4,-3.56,-11.2,-7,-3.14,-4.5,-1.3,-1.58,,,-7,,3.9447190843,19,22,9,3
Arizona,Dallas,-6.5,-7.9,-5.64,-9,-5.07,-7.55,-7.71,-7,-10.3,-4.5,-2.9,-5.21,-7.34,-2.84,-6.62,-10.99,-4.67,-7,-12.07,-4.6,-12.91,-13.23,-9,-6.5,-14.69,0.5,-6.47,-10.51,-6.25,-9.6,-6.5,-3.95,-10.57,-11,-9.11,-5.5,-5.9,-10,-15.9,-7.56,-3.58,-5.48,-6.2,-7,-21.6,-9.6,-6,-6.32,-10.5,-3,-4.12,-4.5,2.3,-4.59,,-1.1,-7.42,-18.46,4.1766390928,27,10,10,-17
Atlanta,Cleveland,8,7.62,7.97,7,5.83,6.39,7.22,6,-2.52,5.66,4.7,5.8,11.42,8.13,6.89,2.45,5.43,8,3.93,5.35,4.12,12.05,5,8,5.91,6,7.73,7.51,7.32,9.79,7.5,5.74,4.53,3.6,6.73,9.7,4.1,9,4.54,8.83,7.23,6.71,4.54,6,6.9,6.4,6,8.76,0.8,6,5.53,10.7,7.6,7.22,,4.6,15.56,3.52,2.3830759873,17,13,10,-4
Carolina,Tampa Bay,9.5,6.57,4.46,6,5.19,6.22,5.34,7,-0.84,0.7,5.8,4.5,4.26,0.68,7.34,6.51,6.05,7,6.45,5.31,7.02,-2.91,12,8,7.86,3.5,6.51,6.71,6.04,7.95,9,5.14,5.43,5.5,6.36,8.1,3.9,12,6.29,-0.85,6.44,7.46,6.94,6.29,7.2,9.8,7,7.36,6.1,7,6.08,1.2,4.8,6.34,,4.4,13.79,7.04,2.403003444,10,24,10,14
Cincinnati,San Diego,-1,-0.68,-4.15,-2,-7.24,-2.77,-1.69,0.01,5.47,-6.27,-2,-2.92,-3.33,-5.22,-4.09,-2.84,-3.12,-4,-6.72,-0.46,-7.21,-16.31,-6,-1,-4.42,1,0.44,-2.39,-3.7,-3.92,-1.5,0.68,-2.17,-4.1,-3.47,0.4,-1.1,2,-6.19,-3.94,0.49,0.85,-4.18,-2.98,2.2,-2.7,0.01,-2.2,-4,2,-2.98,-4.5,-2.1,-1.06,,-2.4,-6.42,-5.93,2.6458707228,49,41,10,-8
Detroit,San Francisco,6.5,3.87,7.12,4,10.41,5.93,2.26,7,18.4,10.46,5.6,1.93,10.04,8.43,6.43,6.56,5.86,4,4.67,6.09,5.14,12.27,7,6.5,6.95,5,1.82,7.84,6.85,0.46,6,2.41,3.83,4.2,4.28,-0.4,2.1,7,7.5,15.26,-0.28,5.1,5.64,5.86,7.8,7.4,5,2.22,10,7,2.98,7.9,10.2,3.48,,2.2,11.02,9.27,3.387314622,19,13,10,-6
Indianapolis,Buffalo,12,14.73,13.71,17,14.92,13.79,19.12,15,15.52,10.69,8,12.7,14.93,10.57,11.09,16.63,8.86,13,15.4,8.44,15.58,10.01,15,12,17.97,7,22.56,12.97,13.91,24.31,11,12.6,12.93,14.2,17.19,13,11.5,14,15.79,7.27,23.25,11.4,7.46,13.91,15,15.5,12,15.78,15.4,13,17.32,27.1,8.5,13.24,,12.6,9.58,17.68,3.5169298854,16,17,10,1
Jacksonville,Houston,10,12.35,13.66,10,16.48,12.96,12.87,12,10.77,13.2,11.3,15.28,18.67,14.15,14.36,10.15,10.95,12,12.58,9.33,13.36,12.58,17,10.5,15.09,7,10.25,15.13,13.91,16.8,10.5,8.24,11.23,10.6,12.3,24.7,7.8,14,16.14,36.17,9.61,9.85,8.51,12.87,16.6,13.8,11,13,12.7,12,15.6,14.9,17.6,9.88,,13.8,13.46,15.33,3.3302060359,13,10,10,-3
Miami,Kansas City,1.5,-5.34,-0.21,-4,-1.57,-1.97,-6.91,0.01,13.36,-1,-0.6,-5.51,-1.62,-1.75,-0.7,0.2,0.3,-3,-2.71,0.14,-2.74,-16.3,-3,0.5,-1.37,-1.5,-5.99,-4.88,-5.21,-6.07,-2,-2.17,-1.67,-1.9,-3.2,-1.5,-2.6,-4,-1.93,-7.13,-11.95,-0.22,-0.75,-1.75,2,-2.3,0.01,-4.75,0.9,4,-4.08,-11.4,5.6,-2.82,,-2.1,-8.26,1,3.511198056,10,13,10,3
Minnesota,Green Bay,5,7.35,3.36,6,8.83,6.38,8.9,6,-1.82,0.67,4.8,6.53,5.96,1.79,5.5,5.19,4.47,4,10.98,5.16,10.67,7.75,7,5,7.94,6,7.58,7.12,8.63,7.84,5,6.13,6.53,5.4,6.22,13.5,5.6,8,7.08,4.83,10.93,6.69,4.2,6.18,10.7,8,7,6.33,5.7,6,6.18,7.2,8.3,4.72,,3.3,8.89,6.2,2.4947670203,23,17,10,-6
N.Y. Giants,Chicago,1,2.7,3.68,2,1.87,2.13,4.42,5,25.54,3.13,-2.8,-1.75,-0.93,6.03,-2.12,8.96,-1.91,1,-0.15,1.15,-0.48,1.31,3,1,2.96,-0.5,5.85,-3.7,0.62,6.93,2.5,3.54,4.53,3.7,2.34,-0.7,4.5,4,-0.8,-4.19,6.03,5.02,-7.2,2.7,-3.3,4.9,3,1.71,6.2,6,2.98,6.3,6.7,-0.69,,-0.5,9.23,2.54,4.7056659944,38,20,10,-18
New England,N.Y. Jets,10,10.51,9.96,11,13.86,11.92,11.8,14,22.99,9.72,9.5,10.59,13.54,7.34,12.28,13.25,10.05,8,14.81,8,14.98,3.65,18,10,14.77,3,10.53,10.71,13.53,14.14,10.5,8.7,11.43,10.5,11.8,14.9,11.8,11,16.03,7.44,12.58,12.37,10.08,11.79,16.4,13.9,11,11.33,19.8,12,10.3,12.4,14.3,9.47,,9.6,11.79,16.56,3.4387290686,17,14,10,-3
Oakland,Denver,-8.5,-10.98,-9.51,-7,-11.27,-8.72,-13.09,-6,-9.39,-5.45,-6.3,-6.81,-10.01,-5.31,-9.42,-10.53,-3.99,-8,-12.69,-4.7,-12.87,-12.67,-9,-8.5,-12.44,-4.5,-12.09,-10.35,-8.72,-12.52,-9,-6.97,-10.97,-11.5,-9.48,-9,-6.3,-11,-13.25,-15.99,-15.98,-7.26,-4.41,-9,-8.1,-11.1,-6,-10.46,-8.5,-11,-10.24,-17.1,-4.1,-4.47,,-5.6,-6.18,-13.64,2.6698954031,17,13,10,-4
Philadelphia,Washington,7.5,6.01,5.99,6,3.32,6.04,5.05,5,-3.51,5.64,6.6,8.71,6.55,5.6,8.98,5.47,7.62,5,7.56,5.6,7.05,14.65,5,7.5,7.59,4,4.3,7.87,4.08,4.73,7,4.66,9.03,6,5.57,2.3,2.7,8,8.84,6.39,3.94,4.67,7.23,5.99,6.7,5.5,6,6.62,5.6,4,3.23,2.9,4.7,7.94,,2.2,11.13,7.56,2.2064572115,3,27,10,24
Pittsburgh,New Orleans,6,-2.49,0.56,-2,8.91,0.53,-6.3,2,-12.95,-0.18,0.1,-4.13,2.31,-0.63,-0.1,-1.3,0.61,1,-0.32,0.53,0.04,10.47,8,5,-0.96,0.5,-6.73,1.13,4.69,-5.71,5.5,-2.19,-2.27,-1.9,-3.53,10.8,-0.8,2,0.93,6.02,-7.5,6.93,3.39,0.5,4.1,8.1,6,-4.38,1.6,-4,2.05,-8.2,8.3,-1.09,,2.6,-1.39,1.27,4.719332057,31,38,10,7
Seattle,St. Louis,3,5.6,4.91,6,10.47,5.23,6.09,7,25.53,5.2,3.9,7.82,9.32,5.36,3.3,6.13,3.23,5,4.42,4,4.05,11.18,10,3.5,5.21,1,5.83,5.49,8.84,7.36,4,4.65,5.03,4.2,6.5,14.2,6,5,4.06,5.51,6.39,8.02,2.09,5.36,-8.6,8.7,7,5.23,9.5,4,6.47,8.9,8.8,5.93,,1.7,-4.21,4.36,4.4680371379,22,24,10,2
Tennessee,Baltimore,-7,-9.82,-6.98,-9,-8.32,-8.59,-11.7,-8,-18.13,-11.31,-7.1,-12.31,-10.94,-8.99,-10.31,-4.75,-6.61,-6,-12.39,-6.06,-12.78,-12.39,-12,-7,-10.57,-5.5,-8.92,-10.98,-5.53,-9.04,-7.5,-5.11,-8.07,-8.3,-8.87,-12.3,-5.5,-8,-14.56,-22.26,-8.64,-5.66,-7.53,-8.87,-15.2,-7.9,-6,-9.51,-10.5,-10,-5.96,-18.8,-0.2,-5.54,,-4.1,-9.4,-11.35,3.2515393746,27,26,10,-1
Arizona,Detroit,2,-0.37,1.73,-0.25,2.78,0.55,-0.76,3,30.86,1.77,2,0.88,2.91,3.4,0.27,-1.35,1.02,1,2.33,0.04,1.77,3.36,2,2,0.64,3,-1.37,0.28,-0.21,-1.96,1,0.39,-2.01,-1.1,0.58,9.5,-2.4,-2,-0.35,-2.33,1.37,1.57,-0.09,0.58,-4.2,-0.3,3,0.55,-2.3,-3,2.97,1,8.5,2.18,,3.3,-6.94,-0.67,5.3311619836,10,17,11,7
Baltimore,Atlanta,4,10.4,11.46,8,11.12,8.34,10.36,9,7.11,4.4,7.4,8.07,6.07,3.69,8.7,11.11,6.31,6,10.42,5.77,3.01,16.84,11,5,12.47,2,12.21,8.93,8.99,14.1,3.5,7.26,9.09,8.7,10.6,9.45,7.8,7,10.43,18.06,8.15,6.15,4.69,8.07,7.1,8.3,7,9.19,10.5,11,7.44,10.3,10.5,8.06,,6.1,7.21,11.67,2.453487598,10,24,11,14
Carolina,St. Louis,7,5.19,-0.1,5,6.22,4.76,5.83,6,6.92,1.36,4.1,4.94,6,0.81,3.29,5.09,2.98,5,4.49,3.45,6.55,1.65,9,6.5,5.3,2.5,5.11,5.28,7.61,7.62,6,4.15,3.79,3.1,7.45,6.55,4.6,4,5.1,1.93,4.1,8.44,4.48,5.09,-5.8,3.5,7,4.5,4.8,3,5.31,3.4,7.5,5.44,,3.6,8.32,5.11,2.5562398093,0,15,11,15
Cleveland,Pittsburgh,-3.5,2.4,-2.88,1,-7.1,-0.68,2.97,0.01,-10.03,1.06,2.5,0.25,-7.38,0.39,-0.88,3.1,0.76,-1,-0.76,1.8,-2.39,3.03,-6,-3,1.22,-3,5.23,-0.18,-3.65,4.64,-4.5,3.13,0.19,0.9,1.98,-8.95,0.4,-4,-2.62,4.72,3.28,-1.45,-1.59,0.19,-10.6,2.2,-1,1.67,0.4,1,2.86,8.6,-1.3,2.02,,3.3,-7.44,-1.42,3.8196272568,24,20,11,-4
Dallas,Indianapolis,-1.5,-3.96,-5.95,-6,-0.87,-1,-6.97,1,5.33,-0.14,3.5,-1.75,-2.49,-5.17,4.21,0.54,3.83,-3,2.81,2.03,4.23,0.95,3,-1.5,1.09,-0.5,-17.91,4.33,-3.2,-7.45,2.5,-3.51,-1.31,-1.7,-3.66,-0.45,-2.4,5,2.47,1.32,-8.12,2.44,0.15,-0.5,2.5,-0.2,2,-4.24,2.3,-7,-5.72,-22.4,2.7,-1.13,,0.1,-4.21,3.33,4.4638887452,14,21,11,7
Denver,San Diego,2.5,1.66,-0.94,3,-0.61,0.81,3.05,3,-2.18,-1.48,1.6,-2.88,-3.39,-1.09,0.86,1.57,2.01,1,-3.11,1.23,-5.81,-11.86,1,2.5,-0.52,0.01,6.88,-2.92,2.97,7.53,3,4.28,-0.11,-1,1.12,-2.2,2.7,1,-3.34,-3.77,7.76,4.39,0.23,1,6.9,1.5,1,3.48,0.7,1,4.99,6.9,6.2,1.24,,-0.3,-3.52,-2.17,2.7722828511,35,27,11,-8
Green Bay,New England,-6,-7.21,-9.03,-6,-12.44,-6.1,-5.78,-3,-24.18,-6.78,-3.7,-7.63,-12.09,-9.26,-5.95,-3.31,-2.87,-4,-13.08,-1.06,-6.46,-13.08,-8,-6,-7.33,-5,-7.45,-7.07,-8.46,-7.25,-6,-2.81,-7.21,-6.2,-4.4,-13.8,-4.5,-2,-9.59,-29.86,-7.36,-6.8,-6.5,-6.2,-11.8,-3,-5,-4.41,-6.1,1,-5.94,-13.3,0.8,-2.33,,1.4,-5.4,-8.91,4.322195505,35,0,11,-35
Houston,Buffalo,2.5,-0.11,3.83,1,-0.5,1.18,0.74,5,-28.34,1.59,0.7,-1.48,-4.92,-0.33,1.49,3.71,1.68,4,1.37,1.35,-7.78,0.62,1,2.5,2.46,1.5,1.2,-1.46,0.76,4.18,2,2.03,-1.31,-0.3,4.3,-8.05,3.8,2,1.24,4.85,2.54,2.43,-2.47,1.49,-2.5,1.1,2,2.01,4.4,3,-2.83,-1.2,1.8,1.72,,7,8.05,2.79,5.2005346426,24,21,11,-3
Jacksonville,N.Y. Giants,3.5,0.38,-1.29,2,4.15,2.58,0.91,1,-13.96,3.4,5.5,3.06,-0.52,0.66,6.11,3.16,5.28,1,1.77,2.74,4.87,2.88,6,3.5,3.78,1.5,-3.05,4.7,1.72,-1.33,3,0.74,0.69,0.4,1.44,4.2,-0.04,-4,3.99,4.4,-3.87,2.29,2.54,2.29,-0.1,2.4,2,1.54,7.2,10,2.87,-1.6,9.8,2.49,,2.5,9.52,4.81,3.8421547517,10,26,11,16
Kansas City,Oakland,10,11.96,15.22,9,16.23,9.88,9.13,8,20.35,7.91,8.1,7.64,6.22,8.77,11.68,9.67,8.09,9,10.49,9.07,14.58,10.49,13,10,11.63,5,10.9,13.06,14.4,15.25,10.5,7,8.69,8,11.16,12.1,6,9,10.49,20.11,8.6,9.31,6.36,9.31,4.4,7.3,8,10.55,11.3,11,7.92,14.4,13.1,9.53,,10.8,11.83,10.67,3.1696356001,13,17,11,4
Miami,Minnesota,3.5,-0.27,1.62,1,3.87,2.81,1.59,5,-30.82,1.03,1.8,0.98,3.43,-1.28,1.91,7,2.46,3,3.14,2.16,-3.45,-12.96,5,3.5,3.97,-2,0.09,-0.64,0.94,4.74,5,1.89,1.09,1.9,2.72,-2.25,5.1,3,2.71,-11.85,-1.8,4.08,3.22,2.72,2.8,3.5,2,0.76,12.3,5,2.92,-5.3,4.2,2.18,,5.2,8.05,5.75,5.7217228954,20,24,11,4
N.Y. Jets,Chicago,-7,-8.19,0.44,-6,-5.13,-6.62,-5.57,-7,-19.84,-4.42,-6,-8.46,-11.3,-5.5,-9.58,-3.35,-6.8,-5,-10.54,-3.07,-17.68,-0.59,-8,-7,-7.75,-2.5,-3.1,-17.16,-7.13,-7.32,-6.5,-1.71,-4.61,-5.9,-5.57,-13.2,-4.1,-5,-12.91,-2.57,-3.78,-3.98,-12,-5.9,-12.4,-0.5,-4,-5.35,-5.4,-14,-6.87,-1.9,6.9,-3.21,,-2.1,-2.86,-10.86,4.6811098379,10,0,11,-10
New Orleans,Cincinnati,3.5,6.78,1.41,5,-6.13,3.14,5.13,4,-6.37,-0.74,3.9,3.01,-2.44,-0.25,5.5,4.86,4.86,5,3.91,4.39,4.63,-8.22,3,3.5,5.57,-0.5,6.69,6.89,1.32,8.13,4,4.31,2.69,2.7,4.92,-0.55,2.8,6,3.46,-10.42,4.94,1.52,4.74,4,6,3.7,-1,6.22,4.9,4,0.99,2,3.3,4.75,,5.3,-6.08,4.51,3.2206245201,31,16,11,-15
Philadelphia,Tennessee,13,11.66,14.72,12,12.4,12.23,9.82,12,8.79,11.14,11.1,13.39,13.03,12.05,15.81,8.64,12.26,11,16.01,11.24,16.77,16.01,14,13,14.49,6.5,8.72,15.16,9.21,12.34,13,7.34,11.79,9.2,11.1,10.85,5.2,11,17.23,25.7,4.81,10.01,10.17,11.79,20.9,7.3,10,13.58,13.8,21,7.25,7.3,10.8,11.53,,9.2,18.41,15.92,3.3002410868,31,13,11,-18
San Francisco,Seattle,-3,-3.78,1.23,-3,-6.64,-2.59,-1.62,-3,-18.2,-0.14,-1.3,-3.68,-9.74,1.49,-2.66,1.98,-1.24,-1,-4.11,-2.29,-5.55,1.81,-7,-3,-2.75,-5,-3.66,-5.77,-3.57,-2.63,-5.5,0.09,-1.21,-1.7,-1.56,-4.7,0.6,1,-4.45,6.68,-4.12,-2.75,-3.3,-2.75,-2.6,0.5,-4,-2,-0.1,1,-3.11,0.7,1,-3.04,,1.3,-4.97,-3.71,3.5025177604,14,20,11,6
Tampa Bay,Washington,3,0.65,1.1,-1,-0.79,-0.02,0.54,0.01,-9.34,0.07,1.1,1.1,0.08,1.75,-0.63,-1.62,0.55,1,-3.5,0.87,2.21,3.73,-1,2,-1.85,1,1.01,0.28,0.9,-1.73,3,1.43,-1.81,-2.6,1.1,-2.55,1.6,5,-2.17,-2.05,0.88,2.03,-1.68,0.54,-6,-0.8,2,0.51,1.1,-3,-2.9,1,6.7,1.31,,0.9,-2.95,-3.2,2.5822875183,17,20,11,3
Atlanta,New Orleans,3,-0.33,2.41,,2.7,1.44,0.66,2,11.25,-0.57,2.1,0.14,5.86,1.47,0.71,1.64,1.19,1,-1.25,1.34,0.88,-1.07,1,2.5,0.23,1.5,-0.41,-0.26,1.71,-0.47,3,1.35,-1.29,-1,0.26,4.6,-0.2,2,-1.2,0.33,-0.26,4.26,0.38,1.05,-4.3,0.8,3,0.52,1.1,6,2.02,-1.4,5.3,1.82,,0.7,13.6,-1.4,2.5322914524,31,13,12,-18
Baltimore,Pittsburgh,2.5,11.02,11.19,,4.67,6.69,11.29,5,0.93,4.58,7.4,8.29,3.8,5.96,8.1,6.5,6.49,5,7.15,5.73,6.82,10.14,2,3.5,9.46,3,15.07,7.28,5.89,15.97,3,7.89,7.81,7.2,9.83,2,4.2,7,6.67,13.54,10.33,4.07,2.92,6.74,-3.2,4.9,4,10.41,3.1,7,7.97,15.6,5.7,8.97,,8.2,6.58,7.11,3.5832074983,0,27,12,27
Buffalo,Jacksonville,-3,-4.07,-5.18,,-2.43,-3.81,-2.57,-2,-22.57,-3.1,-2,-4.86,-8.51,-3.29,-6.22,0.48,-2.7,-4,-5.35,-0.07,-9.81,8.33,-6,-3,-3.98,-5.5,-0.9,-8.95,-3.61,-4.08,-3,0.14,-1.59,-2.9,-3.43,-7.6,-1.4,-4,-8.48,7.13,-1.23,-0.08,-2.91,-3.52,-8,1.1,-2,-3.21,-0.7,-6,-5.01,2.2,0.6,-1.44,,-1.4,-5.41,-6.27,3.9790985926,24,27,12,3
Cleveland,Cincinnati,-3,-2.84,-4.49,,-7.23,-2.51,-2.23,-4,-6.54,-4.11,0.7,-3.81,-4.98,-6.42,-0.98,-0.93,0.66,-1,-2.84,1.57,-3.28,-9.71,-3,-3,-1.73,-5,-2.95,-2.8,-1.47,-2.92,-3,0.15,-3.59,-2.6,-1.58,-5.8,-2.2,-4,-3.09,-12.94,-2.25,-1.73,-0.15,-2.82,-3.3,0,-2,-1.9,-2.6,-4,-3.17,-5.7,1.4,0.71,,-1.8,-3.38,-2.52,2.1333775465,30,0,12,-30
Dallas,Tampa Bay,11,14.07,14.34,,13.74,13.03,11.6,12,8.21,10.04,10.3,12.43,8.26,7.22,15.03,15.3,11.28,12,17.25,9.15,20.55,17.25,16,11,17.58,2.5,10.08,20.11,11.49,16.51,12,7.67,13.11,12.1,11.39,16.8,8.1,12,17.15,17.39,6.67,9.77,10.26,12.1,18.7,8.5,10,11.19,19,24,13.38,8.6,12.1,10.58,,14.2,14.54,18.02,4.0724691827,10,38,12,28
Detroit,Miami,-2.5,-5.17,-4.01,,-3.46,-2.51,-3.35,-2,1.72,-4.51,1.8,-1.17,3.25,-4.24,0.71,-3.51,1.48,-2,-4.15,0.64,-7.45,-2.19,-4,-2.5,-3.94,1,-5.49,-5.08,-1.3,-4.28,-3,-0.64,-3.19,-4,-4.44,-2.9,-4.1,-4,-5.32,-6.88,-1.44,-2.35,-1.18,-3.41,-9.2,-0.4,-1,-1.43,-6.1,-10,-3.02,-6.5,0.7,0.02,,3.1,7.72,-6.46,2.8477989789,27,10,12,-17
Indianapolis,Philadelphia,9.5,12.17,4.51,,7.36,8.6,11.83,11,17.17,9.58,3.4,4.08,8.78,10.89,2.82,10.41,2.81,9,5.27,4.25,6.28,1.11,10,9.5,10.14,1,22.29,6.87,10.93,18.51,11.5,8.53,5.71,6.7,10.71,12.9,8,9,5.84,0.76,14.72,8.78,4.58,8.78,7.1,4.8,7,9.8,12,11,10.73,16.2,9.7,7.86,,11.4,13.7,6.92,4.1917019071,21,45,12,24
Kansas City,Denver,1,-1.91,3.71,,2.63,-0.48,-2.38,1,-1.93,-2.32,1,0.04,-4.61,-2.5,0.57,-1.04,1.42,1,-3.25,1,-4.17,-2.31,1,1,-2.22,-0.5,-4.28,-0.48,1.84,-4.74,-1,-0.59,-3.59,-3.1,0.2,1.1,-0.9,3,-3.54,1.92,-3.35,-0.66,-0.69,-0.54,-3.6,0.3,0.01,-0.47,2,3,-2.93,-1.2,6.2,1.13,,3.2,7.65,-4.02,2.4479601264,10,19,12,9
Minnesota,Arizona,6.5,9.68,6.08,,14.27,7.23,8.39,6,11.19,3.41,4.7,4.26,3.7,4.58,7.04,8.13,5.54,4,5.21,9.16,6.46,9.38,9,6.5,10.55,2,11.15,8.73,11.63,8.66,6,6.57,8.71,7,9.73,6.3,2.2,5,8.97,20.26,4,8.48,5.58,7.07,14.4,5.8,8,7.79,7.7,5,5.84,11.6,9.2,5.8,,7.1,8.08,8.72,2.888154466,26,31,12,5
N.Y. Jets,Houston,6,10.17,7.95,,6.07,5.63,8.18,5,33.7,3.1,4.8,7.67,-0.91,6.13,4.78,3.65,4.31,5,5.26,5.18,6,8.08,5,6,6.93,4.5,11.21,9.22,5.14,10.54,5.5,5.64,6.01,5.1,6.29,11.8,0.7,3,4.83,11.64,6.79,4.72,3.61,5.16,4.8,4.1,5,7.08,1.8,11,5.71,9.3,7.8,6.05,,8.5,8.06,5.11,5.1099932103,11,26,12,15
New England,Chicago,3,-2.45,-0.53,,2.42,0.56,1.13,1,-3.92,-3.47,0.3,-1.49,-1.82,-3.89,0.98,2.34,1.41,1,0.36,0.51,-6.27,-7.65,4,2.5,2.41,-0.5,-1.55,-4.09,0.7,-2.06,3,1.54,2.11,0.4,-0.33,0.5,0.1,4,0.88,-9.36,-2.05,4.74,-3.6,0.79,5.7,2.8,2,0.55,4.9,4,-4.84,-6.5,3.6,1.29,,-0.6,8.35,1.78,2.6005359438,13,17,12,4
