Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Carolina,Arizona,5.5,5.12,-0.72,,9.38,4.44,3,6.3,6.85,10,3.85,8.21,7,2.71,1.13,2.7,3,1.76,,2.26,27.7,3,5.5,,2,5.16,5.1,4.6,7.45,4.5,3,3.8,2.03,3.5,6.16,3.65,3.6,6,6.24,27.33,0.88,,4.59,4.59,-4,2.6,5,4.37,7.7,4.8,1.44,1.89,13.3,5.4,8.5,3,6.57,28.18,4.9,4.9,3.5,1,5,,3.04,4.67,3.18,4.8831778409,8,27,23
Dallas,Tampa Bay,1.5,0.87,0.98,,5.24,-0.1,1,2.18,2.17,4,-0.65,-2.56,1.31,0.74,-1.27,0.96,1,-1.57,,-0.75,4.35,0.01,1.5,,3,0.83,0.9,1.66,-3.23,1,-1,-0.33,1.43,-2.2,-3.36,7.89,-3.1,-4,-3.17,7.24,0.74,,2.55,0.36,-0.5,2.1,2,-5.42,-5.1,-1.31,1.53,-6.65,3.3,0.7,2.6,-5,-2,7.24,-1.8,4.5,3.3,-1.5,-0.3,,-0.18,1,4.07,2.9888453283,8,13,9
Detroit,Washington,-7,-11.24,-10.37,,-9.08,-9.62,-7,-14.58,-12.39,-3,-7.89,-10.53,-10.95,-7.73,-16.65,-5.49,-10,-14.72,,-14.32,-18.04,-9,-7,,-3,-15.77,-8.43,-11.84,-6.99,-7,-5,-8.62,-11.97,-12.6,-11.51,-12.26,-9.3,-5,-14.07,-26.89,-7,,-10.02,-9.3,-25.7,-5.8,-5,-15.46,-9.3,-3.51,-7.42,-24.13,-3.7,-7.2,-6.7,-15,-10.17,-28.93,-15.2,-7.2,-6.9,-5.5,-14.2,,-22.2,-18.39,-8.9,5.3009718498,8,17,25
Houston,Cincinnati,9,7.96,7.46,,3.66,6.16,5,5.9,4.25,3,6.94,7.61,9.83,4.87,4.72,4.13,8,4.84,,4.3,6.89,8,9,,2,11.17,6.27,7.81,11.81,10.5,-7,7.6,5.83,4.4,8.32,4.67,6.5,-4,6.07,-2.51,7,,10.9,6.17,5,4.7,6,4.23,10.2,4.67,9.61,14.39,9,6.5,14.2,10,7.19,-3.96,4.5,2.9,5.9,8,5,,11.04,8.47,5.44,3.2814940886,8,35,6
Jacksonville,Cleveland,7,8.16,5.22,,6.11,5.34,4,3.21,5.9,3,3.66,6.01,7.51,4.55,2.49,3.85,5,5.72,,5.58,0.77,4,7,,3,10.63,5.88,4.46,7.46,6,-5,6.44,6.73,3.5,6.82,6.41,3,3,4.7,12.13,10.4,,7.71,5.25,1.7,3.6,8,5.68,1,4.47,9.67,7.48,10.4,10,9.2,7,4.61,13.4,2,3.5,5.7,5,8.7,,6.92,5.07,5.27,2.7805067106,8,17,23
Miami,Buffalo,0,-4.14,3.45,,-3.78,0.15,-3,5.01,-0.41,3,-4.44,2.15,-4.27,0.54,8.3,1.5,-2,8.04,,8,-3.3,-3,0,,-0.5,-8.23,-1.24,-1.14,-3.05,-2,1,-2.66,5.13,-2.2,-4.04,0.81,-1.5,3,1.17,-32.46,-7.79,,-0.6,-0.46,8.8,-2.2,2,1.19,-0.1,0.4,-4.4,-12.03,2.2,-2,1.8,2,1.93,-28.86,-0.5,2.9,-1.8,-0.5,-1.9,,-6.47,-0.73,-0.15,5.8996131471,8,25,16
N.Y. Jets,Kansas City,14,9.91,12.9,,15.63,12.34,11,15.37,16.52,4,9.77,9.75,10.8,13.55,12.74,12.3,11,17.73,,18.85,20.55,16,14,,7.5,7.47,15.31,11.73,12.69,10.5,6,6.43,15.43,11.7,10.28,12.59,10.1,11,17.44,20.35,9.34,,25.28,11.82,17.4,5.4,9,15.46,16.3,7.6,12.62,2.22,16.7,9,17.5,14,18.25,20.27,17.7,11.4,11.3,10.5,17.3,,8.44,11.91,9,3.5192412547,8,28,24
New England,St. Louis,8,8,8.61,,17.72,10.13,12,18.16,13.93,3,8.18,10.08,8.51,10.73,17.47,10.69,9,16.98,,17.57,2.64,18,8,,10,6.13,12.58,14.25,8.73,7.5,4,5.09,14.63,7.2,8.37,21.38,6.7,8,13.65,-2.14,7.5,,18.8,10,8.7,4.1,12,13.01,7.4,6.44,9.16,0.18,15.7,10.4,7.6,7,13.21,9.43,17,3,10,10.5,-1,,7.37,12.76,7.19,4.1466171856,8,23,16
New Orleans,San Diego,-3,3.67,2.64,,-0.55,0.89,1,0.14,5.2,7,1.6,-6.15,6.08,3.15,-1.5,3.39,-1,2.11,,2.01,7.14,-3,-2,,1,3.44,3.86,0.01,-1.01,-3,-2,3.4,2.43,0.4,2.84,-3.07,-2.7,-6,3.27,31.17,1.56,,-1.49,1.25,4,0.7,4,0.39,0.3,1.61,0.31,0.02,2.1,-1.5,-7.5,4,1.91,28.53,1.5,3.1,-2,-1,7.2,,0.13,0.13,5.29,5.3399356937,8,37,32
Philadelphia,Atlanta,9,6.22,7.85,,11.19,7.55,9,11.5,9.65,4,4.86,7.19,3.3,6.3,5.08,5.27,5,7.04,,7.27,0.18,13,9,,6,1.45,11.76,4.03,5.12,7.5,3,3.08,7.83,4.6,1.36,13.69,5.5,4,9.9,3.28,1.49,,16.69,7.11,11.8,2.9,8,8.48,8.8,6.74,5.24,-4.25,14.8,7,14.2,13,9.9,12.41,8.2,6.5,9.7,4,15.3,,6.46,8.98,5.03,3.4852390795,8,27,14
Pittsburgh,N.Y. Giants,2.5,7.67,5.59,,1.33,5.63,6,2.45,11.16,3,3.69,5.87,9.18,-0.27,8.25,-0.67,2,6.99,,7.85,8.99,5,3,,-0.5,7.83,7.52,3.28,9.52,2.5,3,3.99,8.33,7.2,4.59,3.24,6.3,4,5.98,-5.07,7.14,,11.33,5.73,4.1,4.4,4,4.53,11.7,7.09,3.57,4.78,2.4,2.4,0.5,10,10.94,-5.05,9.4,5.5,7.5,3,4.6,,1.44,1.95,7.64,3.4968799907,8,14,21
San Francisco,Seattle,5.5,6.46,6.82,,3.65,4.87,2,3.33,7.14,3,2.12,2.18,5.42,6.48,6.13,5.85,4,8.76,,9.52,16.76,2,5.5,,-1.5,4.94,7.55,5,4.04,6,2,3.42,7.33,3.1,3.96,0.74,2.8,7,7.49,5.93,5.06,,6.39,4.97,-1,0.9,1,6.55,1.1,3.48,6.8,-0.46,9.5,3.9,12.5,8,7.24,6.12,7.2,7.6,1.3,7,7.9,,3,3.16,2.46,2.6459976008,8,13,34
Tennessee,Indianapolis,4,13.4,5.44,,2.68,8.62,5,6.83,14.39,4,14.36,7.46,10.41,9.77,7.88,8.15,8,8.12,,8.55,3.33,4,5,,1,15.2,12.16,8.06,11.89,3,3,10.19,11.63,11.7,10.18,6.32,8.8,6,12.26,11.97,7,,7.89,8.87,3.1,6.3,6,10.54,11.7,12.94,11.96,14.88,3.5,6.2,9.5,9,12.5,21.48,13.3,4.5,9.6,1,4,,11.02,8.93,9.64,4.1842645674,8,31,21
Buffalo,N.Y. Jets,5,9.8,6.11,6,7.18,5.29,4,-0.31,8.3,4,4.44,2.51,10.71,4.09,4.61,4.05,4,7.99,,7.72,18.35,3,5,7.56,2,10.03,9.9,4.25,8.13,5.5,-1,,6.94,5.5,5.48,3.51,4.5,4,,,8.17,,4.14,4.88,3.7,7.1,4,5.29,3.5,4.88,4.87,,5.5,7.5,3.5,4,6.75,,8.9,3.8,5.3,5,4.5,,8.04,6.4,0.02,2.4977992059,9,17,26
Chicago,Detroit,12.5,19.07,18.95,20,16.93,16.75,13,21.23,23.38,6,15.82,19.25,18.78,14.51,18.09,13.48,13,25.13,,25.43,12.98,18,12.5,23.26,4,21.09,20.21,17.38,23.65,12.5,17,,21.64,19.5,18.72,19.55,13.7,11,,,7,,12.56,17.69,25.3,13.4,9,23.79,18.2,12.02,12.02,,12.1,12.8,10.7,13,24.9,,24.3,12.3,12.6,19.5,16.2,,23.78,23.72,8.97,4.8039951297,9,27,23
Cincinnati,Jacksonville,-7.5,-5.61,-8.02,-8,-8.44,-5.68,-6,-6.56,-2.61,3,-6.06,-11.02,-4.27,-4.58,-6.66,-3.09,-7,-7.42,,-6.71,-22.34,-9,-7.5,-6.6,-0.5,-7.35,-4.34,-7.7,-4.57,-8,-10,,-4.26,-6.2,-6.66,-4.32,-5.9,-2,,,-7,,-7.61,-6.43,-7.7,-0.3,-4,-7.5,-12,-2.28,-4.91,,1.7,-6.9,-9.2,-8,-6.26,,-7.7,0.7,-5.7,-9.5,-5.2,,-8.85,-8.2,-4.48,2.8129125588,9,21,19
Cleveland,Baltimore,1.5,2.48,-2.38,0.25,6.76,2.09,5,5.24,4.82,1,-3.79,3.7,5.7,-0.85,1.7,0.79,1,1.32,,1.6,9.94,6,1.5,2.35,1,3.62,1.3,5.08,0.31,2.5,-1,,-0.16,0,2.68,2.17,4.5,3,,,0.25,,-0.37,1.7,1,4.8,1,0.92,5,1.21,0.15,,12.6,1.7,6.7,4,3.18,,0.9,1.4,3.4,-10.5,-4.4,,9.59,6.74,2.12,2.9765636414,9,27,37
Denver,Miami,4,3.14,-3.59,3,-0.81,0.6,2,-1.01,4.85,3,1.6,-0.27,5.41,1.34,-4.17,1.83,1,-2.22,,-1.35,-11.53,4,3.5,-0.34,3,5.39,0.56,3.45,0.23,3.5,-3,,0.94,-1.6,1.37,2.8,-2.1,3,,,2.05,,3.19,1.22,-7.7,2,3,-3.56,-6.9,1.68,2.66,,10.8,5.9,-4.2,-8,-4.8,,-2.8,1.1,2.8,-2.5,-4.5,,3.31,4.17,3.59,3.6540565412,9,17,26
Indianapolis,New England,6.5,6.08,-5.81,1,0.58,3.94,0.01,5.33,6.07,3,-4.25,3.39,5.07,-0.39,5.14,0.52,1,10.84,,10.38,13.35,0.01,6.5,6.78,1.5,3.04,9.33,-0.74,5.06,6.5,2,,5.54,5.3,1.06,2.97,1.6,-3,,,2.52,,3.19,3.58,10.8,3.5,1,5.98,4.5,3.81,3.66,,0.3,3.2,7.5,8,10.03,,8.3,7.5,2.6,3,13.7,,0.6,4.74,5.16,3.5964925925,9,18,15
Kansas City,Tampa Bay,-8.5,-10.35,-8.34,-9,-11.05,-10.71,-9,-13.55,-8.55,2,-8.87,-12.34,-3.27,-9.93,-10.96,-6.65,-8,-17.81,,-17.47,-16.84,-14,-8.5,-15.59,-5.5,-7.81,-14.34,-9.24,-7.68,-9,-17,,-11.36,-13.6,-10.64,-10.78,-6.8,-4,,,-9.76,,-21.8,-9.81,-24.3,-4.3,-9,-16.84,-10.7,-7.91,-9.24,,-3.5,-8.2,-3.1,-14,-17.48,,-17.5,-7.5,-9.7,-16,-20.6,,-11.98,-14.13,-5.8,4.2593625352,9,27,30
Minnesota,Houston,4.5,8.49,5.37,5,9.71,5.57,8,4.98,11.48,3,1.72,2.47,9.06,2.63,5.27,2.54,3,6.69,,7.24,8.77,1,4.5,5.62,4,7.97,9.17,5.69,7.15,4,1,,7.34,5.9,5.8,7.15,3.4,4,,,7.1,,4.13,5.49,7.5,6.1,3,7.08,-0.2,4.8,4.63,,12.5,6,3,5,7.4,,7.4,6.2,4.1,10.5,8.5,,2.31,5.3,4.06,2.8435234124,9,28,21
N.Y. Giants,Dallas,8.5,7.32,3.25,7,2.02,6.24,7,5.26,6.68,6,5.02,6.56,7.5,8.26,4.81,7.64,7,4.45,,3.46,3.23,9,8,5.97,0.5,8.86,6.28,4.04,10.17,7.5,7,,4.84,4.2,6.37,0.57,6.3,8,,,3.68,,19.14,6.35,-1.4,5.8,4,7.23,9.9,4.04,2.84,,5,6,7.1,5,8.5,,6.9,3.4,4.8,12,10,,7.36,6.32,2.6,2.5847919538,9,35,14
Oakland,Atlanta,-3,-4.58,0.97,-5,-6.9,-3.47,1,-1.29,-1.02,-1,-4.09,0.18,1.63,-3.5,-5.12,-2.1,-3,-9.5,,-9.64,-26.75,-2,-3,-8.43,1,-4.36,-5.33,-3.92,-4.18,-3,-9,,-2.56,-6.9,-6.54,-0.31,-2.2,-3,,,-6.49,,-4.04,-3.29,-15.8,-1.3,-2,-7.94,-4.8,-2.05,-3.07,,6.5,0.2,-6.2,3,-10.72,,-8.6,-2.7,-1,-8,-1.3,,-6.6,-4.08,0.4,3.8346697463,9,0,24
Seattle,Philadelphia,-7,-6.81,-8.3,-7,-4.87,-6.43,-1,-9.25,-5.95,1,-6.54,-3.88,-0.28,-5.36,-7.87,-3.94,-6,-9.11,,-10.35,1.87,-5,-7,-10.09,-0.5,-5.37,-8.98,-5.22,-7.4,-6.5,-10,,-5.96,-8.2,-5.97,-7.52,-3.6,-1,,,-8.61,,-8.14,-5.97,-21.8,-0.7,-4,-10.94,-5.2,-5.53,-4.71,,4.1,-4.7,-9.5,-14,-9.86,,-11.6,-6.5,-0.9,-13,-14.9,,-4.58,-7.7,-3.33,4.2429493617,9,7,26
St. Louis,Arizona,-3,-4.69,-2.01,-6,-4.43,-5.2,-2,-10.34,-5.89,-3,-4.72,-6.29,0.8,-6.67,-5.6,-5.95,-5,-10.97,,-11.26,1.96,-5,-3,-9.58,-6.5,-0.7,-11.23,-4.85,-5.58,-3,-11,,-5.76,-6.4,-3.42,-12.33,-1,-4,,,-2.46,,-3.55,-4.93,-17.4,1.5,-3,-11.56,-2.4,-4.09,-3.81,,1,-2.3,-3.8,2,-9.41,,-14.3,-1.7,-4,-7.5,-10,,-1.65,-6.89,-2.47,4.1997749278,9,13,34
Tennessee,Green Bay,4.5,12.57,2.47,11,2.9,7.71,5,8.65,10.82,3,6.92,9.41,9.79,8.64,8.55,8.94,7,9.69,,9.78,0.5,4,5,9.78,2.5,15.71,9.74,7.2,12.95,4.5,8,,10.94,9.8,9.05,5.57,6.5,4,,,7,,5.79,8.58,4.9,9.1,6,8.61,7.4,12.09,4.41,,4.8,6.5,7.1,10,9.45,,9.6,2.4,7.6,1,-0.6,,11.64,9.53,7.5,3.0676807847,9,19,16
Washington,Pittsburgh,2,2.77,4.66,1,-1.98,0.51,0.01,0.98,2.48,-1,-0.54,-1.97,3.98,0.11,1.54,1.4,1,-4.96,,-4.79,-14.41,-4,2,0.27,2.5,5.5,0.91,2.68,-0.82,2.5,-8,,2.04,0.4,2.34,1.17,2.9,-4,,,-2.88,,-5.58,0.66,-0.7,5.4,0.01,-1.15,-1.3,-2.63,1.38,,5.7,1.8,0.3,6,-1.14,,-0.4,1.9,1.6,6.5,-0.5,,4.98,2.85,0.95,2.3531515342,9,6,23
Arizona,San Francisco,9.5,14.73,10.29,15,17.87,13.09,13,15.38,16.2,3,15.19,13.4,10.89,10.32,18.51,9.81,11,17.42,,17.66,18.94,17,10,17.42,7,16.5,14,15.82,18.45,11,2,10.04,14.83,15.6,13.45,11.66,15.7,7,,,7,,5.01,13.45,24.6,13.5,8,14.76,24.9,11.12,8.43,,13.4,10.3,8.6,13,17.96,,17.8,6.9,12,10,14.1,,13.1,14.24,11.46,4.1254542929,10,29,24
Atlanta,New Orleans,1,6.03,6.18,5,0.33,3.24,1,-0.73,6.05,10,2.83,-1.18,8.28,3.51,6.3,3.25,4,6.09,,6.52,21.44,0.01,1.5,5.85,0.01,7.15,4.93,1.44,7.18,0,0.1,4.05,3.23,5.5,4.85,-1.33,4.2,3,,,7.69,,-7.82,4,4,6.9,2,3.65,5.1,4.45,0.64,,-0.6,3.5,-2.1,5,7.53,,7.6,4.1,0.3,-0.5,-5.2,,2.89,1.08,4.28,2.6933347271,10,34,20
Chicago,Tennessee,-3,-3.07,1.3,-5,-1.96,-2,-1,-1.37,-1.64,-3,-2.02,-4.49,-2.93,-1.19,-2.89,-1.54,-2,-0.5,,0.24,-8.76,-1,-3,-0.22,-1,-7.1,0.25,-1.97,-4.27,-3,-10,-2.53,-1.77,-1.3,-2,-0.57,-2.4,6,,,-7,,-1.86,-1.86,-0.5,0.01,0.01,-0.19,-4.8,-2.26,-2.73,,1.3,-0.1,-5.1,-8,0.17,,-0.6,2,-1.1,-5.5,-2.3,,-6.57,-3.97,-4.09,2.1768680839,10,14,21
Cleveland,Denver,3,7.57,2.71,4,9.39,6.36,9,12.58,5.94,-4,3.1,7.11,-0.89,3.44,11.48,3.84,2,9.96,,9.88,16.45,6,3.5,9.61,0.01,6.55,8.89,8.36,9.09,3,2,4.94,7.03,9.1,6.35,5.25,11.1,5,,,8.13,,-0.11,6.9,14.5,9.5,2,7.38,17.2,6.84,3.98,,6.2,0.5,6.9,9,12.46,,13.2,2.5,7,-3,-1.3,,6.63,9.6,5.71,4.0677729628,10,30,34
Detroit,Jacksonville,-6.5,-4.52,-4.85,-8,-5.87,-4.32,-5,-10.31,-8.22,-3,-1.53,-4.89,-7.5,-2.79,-3.05,-2.33,-6,-6.5,,-6.24,-10.54,-8,-6.5,-5.44,-2,-9.02,-3,-6.02,-1.33,-7,-7,-3.51,-5.57,-4.6,-3.29,-11.5,-0.9,3,,,-7,,-5.27,-4.85,-7.9,-1.7,-4,-6.83,-0.8,-1.43,0.38,,-1.1,-5.7,-9.2,-7,-3.95,,-3.3,1.7,-5.7,-7,-1,,-14.1,-12.21,-4.59,3.0970506167,10,14,38
Houston,Baltimore,1,-4.62,0.24,-3,7.28,-1.75,-3,0.48,-1.9,3,-5.51,0.99,1.19,-1.23,-6.86,-0.12,-1,-3.34,,-2.95,6.17,2,0.5,-3.32,2,-5.59,-3.72,2.05,-5.69,2,-7,-1.25,-5.27,-4.8,-1.29,-0.22,-3.4,5,,,-9.9,,-9.52,-2.52,-4.3,-2.7,2,-3.22,-4.3,-1.56,-1.63,,12.1,1,-2.6,-4,-2.48,,-6.3,0.4,-0.1,-3.5,-2.7,,1.37,0.92,-1.98,3.9309234296,10,13,41
Miami,Seattle,8,10.2,9.47,9,5.18,7.93,4,9.16,7.89,3,7.18,4.95,5.42,8.1,9.36,6.89,8,10.78,,11.36,-0.27,3,8,11.55,5,10.69,9.74,4.45,9.74,9,4,7.15,9.33,9.8,8.34,5.72,6.2,8,,,11.54,,9.28,8.1,10.4,9,5,12.48,6.9,7.19,6.37,,6.8,10,4.8,14,12.61,,10.5,8.7,4.8,10.5,9.3,,6.93,8.04,6.89,2.3004617306,10,21,19
Minnesota,Green Bay,2.5,2.45,-1.12,1,-0.95,0.69,2,-0.97,0.54,6,-2.28,-1.92,3.63,0.23,-2.24,0.63,1,-0.35,,-0.07,-9.7,-2,2,-0.16,2.5,3.63,1.08,-0.66,0.58,3,-8,2.96,0.53,1,1.87,-1.18,-1.4,-2,,,3.67,,13.61,0.58,-1.1,2.5,3,0.2,-4.7,0.55,1.3,,6.3,2.1,4.7,5,-0.26,,-1.1,0.8,0.6,3.5,-0.8,,2.84,0.93,0.25,2.1522047499,10,28,27
N.Y. Jets,St. Louis,9,8.11,12.31,11,12.73,9.82,9,12.66,11.07,6,9.04,12.22,8.74,11.95,9.1,11.68,10,13.64,,14.1,18,10,9,13.03,2.5,7.1,11.27,8.06,11.05,7,15,6.04,11.03,10.2,9.18,15.38,6.8,11,,,3.33,,14.29,10.2,4.3,8.8,9,13.53,9.7,7.75,4.95,,11.4,6.4,5.4,14,13.06,,12.8,6.7,10.3,12,15.5,,3.45,8.06,8.17,2.7582256178,10,47,3
New England,Buffalo,3.5,2.11,3.54,4,7.52,3.89,9,9.43,2.86,3,3.77,6.81,4.39,3.55,4.34,3.52,3,2.21,,2.06,1.68,13,3.5,2.74,0.01,1.95,2.25,8.84,5.38,4.5,-3,2.69,1.93,3,3.25,8.91,7.4,8,,,-2.81,,3.41,3.25,-1.1,5.5,6,2.35,11.2,2.81,2.81,,11.1,2.6,1,3,5.29,,4.3,0.3,6.4,0.5,-5.4,,8.01,8.72,4.91,3.2552934715,10,20,10
Oakland,Carolina,-9.5,-11.9,-8.63,-10,-16.89,-9.67,-7,-11.4,-7.72,-10,-11.74,-12.97,-4.16,-8.68,-10.6,-5.84,-9,-15.85,,-15.96,-19.1,-12,-9.5,-14.52,-4.5,-9.83,-15.29,-10.09,-7.29,-7.5,-14,-5.4,-10.07,-10,-12.18,-5.85,-9,2,,,-10.7,,-7.99,-10,-23.1,-5,-6,-16.32,-16.5,-8.45,-7.82,,1.2,-6.1,-6.7,-12,-17.19,,-18,-5.8,-7.6,-14,-14.1,,-12.37,-11.89,-3.94,5.0390146625,10,6,17
Philadelphia,N.Y. Giants,3,-0.46,-2.31,-1,-0.41,1.98,1,2.28,6.16,3,1.95,-0.19,3.58,1.64,3.05,1.62,1,5.12,,6.56,15.48,2,3,3.21,0.01,-3.24,3.41,-0.69,-2.25,3,1,0.63,3.63,2.3,0.26,5.18,3.9,5,,,-0.48,,1.92,2,2,2.9,3,3.37,3.8,2.84,0.31,,5.8,1.5,-5.1,-3,3.74,,2.3,7.6,3,-2,5.9,,-1.25,0.52,2.62,2.2420792514,10,31,36
Pittsburgh,Indianapolis,4.5,9.75,10.77,7,3.75,8.14,7,5.22,6.68,3,11.03,6.65,6.46,9.36,8.93,7.53,6,13.28,,13.67,7.89,7,5.5,11.39,-0.5,9.72,9.79,5.52,11.65,3,9,6.31,9.93,9.2,8.83,3.73,6.6,7,,,7,,4.91,8.1,7.8,8.1,7,9.74,9.9,11.57,6.11,,2.6,5.4,-0.2,13,11.62,,12.9,7.4,9.4,5.5,6.9,,4.79,5.01,8.29,2.7215073493,10,20,24
San Diego,Kansas City,14.5,10.46,12.43,13,20.46,13.25,13,18.03,17.23,6,9.64,16.78,11.37,11.6,9.92,11.18,12,15.71,,16.14,20.05,20,14.5,14.77,11.5,8.67,12.26,14.19,12.55,14,20,7.22,12.03,11.7,11.07,18.6,10.1,6,,,10.2,,26.97,12.55,8.6,9.4,11,16.25,11.4,9.3,8.16,,18,11.9,23.6,13,15.95,,14.4,14,13.8,17.5,17.7,,13.64,15.83,5.49,3.5319563652,10,20,19
Atlanta,Denver,6.5,9.46,10.06,8,10.17,8.04,7,9.32,10.73,11,8.64,10.29,6.6,7.33,10.36,6.62,7,10.58,,10.9,23.56,7,6.5,11.07,0.01,7.68,11.47,8.37,,4,2,5.57,8.52,9.6,8.72,2.45,11.3,8,,,9.65,12.25,18.49,8.2,11.9,8.3,4,10.4,,8.09,5.71,,3.1,3.5,3.1,10,12.69,,14.9,7.5,5.8,7.5,5.2,,4.19,5.75,6.21,3.0156357246,11,20,24
Buffalo,Cleveland,5.5,2.87,8.56,4,2.63,2.4,2,-5.64,3.35,7,3.34,1.33,6.92,4.94,-0.1,4.4,4,0.13,,0.69,4.06,1,4.5,2.95,3.5,4.92,0.69,1.18,,4,-3,3.22,2.42,1.6,3.18,0.12,1.2,7,,,0.13,-0.7,7.1,2.61,-8,3.6,5,2.29,,2.09,1.85,,5,5.8,8.3,-2,-1.06,,-1.1,4.7,3.3,0.5,3.6,,0.5,-2.57,-0.48,3.1546798104,11,27,29
Carolina,Detroit,14,21.84,15.27,19,16.72,16.39,16,21.66,20.53,11,17.25,12.17,17.66,15.19,17.07,13.01,15,20.28,,20.77,22.9,17,14,22.08,5.5,26.28,19.8,17.66,,14,12,14.93,18.72,18.8,19.7,16.8,14.8,10,,,7,18.91,14.11,16.76,16.8,14.2,11,22.92,,13.87,13.09,,14.9,13,10.5,21,21.21,,21.3,13.1,14.7,21,16.9,,25.21,23.44,10.92,4.0886363324,11,31,22
Cincinnati,Philadelphia,-9,-9.12,-12.43,-10,-12.32,-9.39,-7,-12.55,-12.5,-7,-13.31,-7.1,-4.89,-9.08,-10.97,-7.34,-9,-13.41,,-13.2,-14.34,-12,-9,-10.33,-2,-6.72,-12.81,-10.2,,-9.5,-6,-4.11,-10.28,-9,-8.6,-8.52,-9.9,-7,,,-7.5,-14.4,-12.13,-9.36,-15.5,-3.8,-6,-12.64,,-7.28,-7.5,,-1.9,-8,-12.1,-10,-13.44,,-14.4,-9.6,-8.7,-15,-16.4,,-5.32,-8.93,0.72,3.3606383947,11,13,13
Green Bay,Chicago,3.5,0.6,-0.53,1,0.78,2.57,6,4.1,0.28,-7,1.42,6.87,0.05,2.18,4.2,2.24,2,1.14,,1.07,-13.4,6,3.5,1.9,2,-0.27,1.5,3.06,,4,-3,1.33,1.22,1.6,0.54,4,5.4,-3,,,-1.21,5.25,5.34,2.21,0.5,4.6,4,0.77,,2.35,2.35,,5.2,4.8,3.5,0.01,2.4,,3.6,6.2,4.5,3.5,3.9,,2.49,3.3,1.9,2.1990556415,11,37,3
Indianapolis,Houston,7.5,10.39,5.6,11,12.97,8.51,12,8.54,10.67,7,6.53,9.35,5.8,5.3,10.02,4.89,6,9.94,,9.92,21.51,11,7.5,10.98,5,11.74,9.11,8.34,,9.5,6,7.23,8.02,9.3,9.49,9.64,9.7,13,,,10.67,11.61,3.89,9.06,5.2,9.5,6,10.92,,6.79,8.45,,8.4,7.4,7.1,9,10.74,,10.8,6.3,8.5,8,5,,10.64,9.59,10.15,2.352012655,11,33,27
Jacksonville,Tennessee,-3,-10.98,-4.93,-9,-4.14,-5.33,-1,-4.38,-7.63,0.01,-7.82,0.13,-8.34,-3.65,-8.28,-2.6,-5,-8.74,,-8.51,-18.79,1,-3,-7.83,-0.5,-14.99,-8.31,-5.16,,-3,-1,-6.29,-8.08,-8.5,-8.7,-2.59,-4.8,-4,,,-7,-6.55,-2.56,-5.67,-10.3,-5.5,1,-7.8,,-7.14,-9.48,,4.6,-0.4,-1.8,-6,-8.7,,-9,-2.9,-0.7,-4,-5.2,,-9.78,-7.08,-5.84,4.0966472252,11,14,24
Kansas City,New Orleans,-5.5,-4.89,-2.42,-6,-6.13,-4.71,-6,-10.47,-5.1,7,-3.5,-7.16,-1.53,-3.95,-1.35,-3.52,-5,-5.64,,-6.2,-2.73,-6,-5.5,-5.27,-7,-4.71,-5.07,-6.03,,-4,-5,-1.69,-2.58,-2.9,-4.27,-6.47,-3.5,3,,,-6.26,-3.43,-17.07,-5,-10.7,1.4,-5,-5.43,,-1.81,-0.08,,-4.6,-2.3,-9.8,-6,-4.84,,-2.9,-5.3,-5,-9.5,-10.6,,-8.3,-9.39,-1.37,2.7780769299,11,20,30
Miami,Oakland,10,11.49,7.48,11,7.14,10.05,9,11.6,12.63,10,10.68,8.58,6.92,11.51,10.62,9.86,10,13.81,,13.53,1.32,11,10,13.96,4,10.75,13.53,7.78,,10.5,3,7.96,10.72,11,11.86,8.22,9.9,6,,,7.3,11.91,10.42,10.46,10.5,10.8,10,15.44,,9.29,9.53,,8.9,10,8,10,15.42,,12.5,10.9,10,14.5,11.4,,15.37,13.48,7.91,2.2993509132,11,17,15
N.Y. Giants,Baltimore,7,6.51,1.62,6,8.43,5.09,5,8.5,3.75,7,2.95,5.06,5.99,4.62,1.12,4.81,6,3.77,,3.51,9.11,6,7,5.05,4,7.22,5.74,6.99,,6,-3,5.06,2.02,3.6,6.37,6.23,1.4,4,,,6.77,3.2,9.19,5.18,0.6,4.2,8,5.68,,3.37,5.78,,8.7,6.7,7.9,8,3.29,,5.3,6,6.8,5.5,10.1,,10.86,9.68,5.88,2.0836835112,11,30,10
