Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Detroit,Green Bay,-3,-4.54,-5.71,-2,-5.1,-4.12,-5,-11.77,-6.87,-3,-2,0.78,-8.23,-7.23,-7.31,-4.65,-8,11.72,0.1,13.29,15.92,-11,-3,,1.5,-5.27,-3.89,-8.03,-3.27,-3,-15,,,,,-10.21,-1.7,-6,,,7,,7.11,-4.78,-18.1,-10.5,0.01,-15,-16.7,0.13,-2.36,,-4.2,-6.2,-1.3,-8,-10.92,,4.8,-4.9,-0.5,-7.5,-7.9,-1.5,,,,5.0654910817,2,25,48
Jacksonville,Buffalo,4.5,5.54,15.81,5,10.9,5.35,7,10.88,4.4,8,-2,3.09,4.79,13.16,10.55,9.58,6,0.77,9.3,5.32,15.97,11,4.5,,4.5,6.93,4.08,11.52,1.68,5.5,-3,,,,,11.22,-0.04,4,,,2.87,,4.98,5.15,-2.6,-0.3,7,3.83,6,6.2,2.85,,13.3,5.3,1.4,4,13.35,,-6.2,9.1,4.5,5.5,1.4,7.5,,,,5.0410837029,2,16,20
Kansas City,Oakland,3,11.31,4.92,5,10.64,4.71,4,6.01,2.5,11,2.25,0.36,0.52,2.28,-0.76,2.55,5,0.07,-8.8,5,-7.38,7,3,,-1.5,9.58,13.24,4.56,1.82,3,1,,,,,5.28,6.4,8,,,3.53,,3.41,4.74,11,14.1,5,8.54,10.6,3.39,14.16,,5.5,6.2,3.9,5,5.93,,6.4,3.4,3,6,3.5,3.5,,,,4.2099811796,2,8,23
Minnesota,Indianapolis,-1.5,-1.73,-2.35,-2,0.01,0.37,5,-2.63,1.71,-4,2.25,3.06,0.59,-2.23,-2.03,-0.75,-1,4.06,-11.1,8,-37.63,-1,-1.5,,0.01,-4.24,0.19,-0.6,1.82,-2,-6,,,,,-5.03,5.1,3,,,2.99,,0.1,0.01,-2,13.7,2,-4.2,5.6,-0.33,-1.82,,-5.3,-2.02,-4.3,2,-0.93,,6,-0.2,2.5,1.5,-2.9,2,,,,3.8911122752,2,15,18
N.Y. Jets,New England,1,-8.68,-9.41,-5,-15.63,-4.27,-4,-13.24,0.97,-3,2.25,4.22,1.17,-11.42,-15.01,-8.82,-4,9.41,-5.5,8,6.3,-10,0.5,,-2,-10.73,-7.58,-12.42,-3.58,3,-6,,,,,-14.84,2.1,-3,,,7,,5.07,-4.43,-12.6,-10.5,-2,-7.81,-8.5,-1.29,-4.36,,-10.2,-0.4,-4.8,-7,-16.52,,8.9,-7.5,2,-4,-1.5,1.5,,,,6.1779460779,2,10,19
Seattle,San Francisco,6.5,11.45,10.87,6,18.18,7.73,8,10.2,6.65,10,2.25,5.39,7.85,15.29,11.73,10.68,9,-0.84,3.5,2,29.85,10,6.5,,8,12.48,10.39,11.1,9.74,9.5,10,,,,,12.4,4.6,3,,,6.4,,-0.72,7.93,1.1,14.6,9,13.26,7.4,6.2,12.19,,4,6.11,5.1,6,16.01,,11,9.6,6.5,11,2.2,6.5,,,,3.8909539293,2,30,33
St. Louis,N.Y. Giants,-8.5,-9.46,-6.8,-4,-20.35,-8.56,-7,-11.96,-9.2,-5,-2,-7.25,-7.99,-5.53,-15.19,-3.34,-12,-7.19,14.3,-7,11.52,-13,-8.5,,-1,-9,-10.25,-11.94,-9.02,-6,-12,,,,,-8.76,-7.3,-12,,,0.55,,-8.73,-8.87,-16.1,-11.8,-6,-17.78,-23.3,-2.63,-13.95,,-6.7,-7.1,-12.2,-13,-13.13,,-13.8,-3.4,-2.5,-10,-13.1,-1.5,,,,5.047555291,2,13,41
Tampa Bay,Atlanta,7,4.73,10.67,3,10.44,5.89,10,9.68,3.19,2,-2,4.88,2.37,13.51,6.42,9.61,7,5.52,3.5,7.68,1.53,12,7,,7,4.5,4.95,5.51,4.63,8,6,,,,,8.38,3.8,3,,,-0.53,,2.53,5.13,4.8,7.3,7,1.89,5.3,4.13,3.5,,-0.3,4.8,6.7,9,16.1,,3.6,8.6,8.5,10.5,2.6,10.5,,,,3.4723690435,2,24,9
Washington,New Orleans,1,5.82,6.57,2,2.92,1.15,0.01,5.56,-4.8,8,-2,-3.09,-5.71,4.63,8.16,4.08,1,-11.06,4.8,-11,-20.57,2,1,,1.5,5.25,6.4,4.81,1.77,-2,1,,,,,4.93,-1.2,2,,,6.84,,0.19,1.25,-1,12.6,0.01,-2.26,8.5,0.61,6.56,,-5.2,-2.2,-3.4,-5,8.1,,-2.7,6,2,0.01,0.1,2.5,,,,4.4195305181,2,29,24
Atlanta,Kansas City,6,2.75,9.91,2,,5.4,5,2.6,9.74,4,6.5,2.9,9.36,13.32,5.54,9.93,7,10.22,12,9.33,7,3,6,,1.5,3.04,2.47,5.24,3.96,5.5,5,,,,,2.55,6.8,7,,,8.26,,5.13,5,-0.3,17.1,8,6.53,5.7,2.51,3.1,,-0.1,1.3,3.4,8,-1.3,,15.3,4.7,2.2,3.5,6.7,1,11.55,7.08,-2.46,4.2751668772,3,38,14
