HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
Cleveland,New England,-12,-13.05,4.48,-0.23,-11.2,-24,-6.62,-20.4,-14.06,-5.87,-9,-14.06,-14,-19.96,-8.64,-16.08,-14,,,,19,7,4
Dallas,Arizona,7,15.75,5.91,1.48,11.5,14,15.43,15.75,21.78,19.73,26.43,11.93,12.24,13.67,16.01,21.72,12,,,,7,35,4
Denver,N.Y. Jets,5.5,0.89,4.23,-1.09,1.5,-1,-0.87,-1.15,-3.17,42.65,12.29,1.5,0,3.17,-1.68,1.41,0,,,,21,13,4
Miami,Buffalo,4.5,6.59,6.46,0.32,4.5,13,0.95,0.44,1.89,6.51,24.14,7.95,5.6,6.31,5,2.92,6,,,,23,18,4
Minnesota,Tampa Bay,7,6.57,5.52,-0.08,0.2,0,8.24,5.16,0.75,-64.7,19.14,5.49,0.09,10.45,3.29,9.36,1,,,,14,21,4
N.Y. Giants,Philadelphia,9.5,10.42,6.64,0.14,6.8,12,10.75,9.33,8.62,6.01,25.29,9.06,2.11,8.78,2.29,17.12,6,,,,15,16,4
Pittsburgh,Jacksonville,-3,-3.76,4.9,-0.15,2.2,0,1.9,-7.32,-5.18,-78.94,3.29,-2.37,-5.4,-1.36,-13.73,-3.42,0,,,,17,3,4
San Diego,Kansas City,1,-0.41,5.18,-0.27,3.8,4,0.68,1.48,6.36,32.38,-5.43,5.95,-4.97,-3.56,1.1,-1.33,4,,,,14,21,4
San Francisco,Tennessee,1.5,1.15,5.34,-0.07,-2.6,-6,3.3,4.11,-4.85,-40.02,1.71,6.31,-1.66,4.76,-10.5,6.18,-2,,,,22,24,4
Seattle,Oakland,3.5,5.18,3.81,0.44,2.9,0,3.82,2.13,9.67,64.21,7.29,2.68,4.37,3.88,12.94,2.97,7,,,,21,22,4
Washington,Carolina,8.5,11.47,5.65,0.53,3,9,10.01,11.42,21.15,-25.3,18.14,12.44,4.91,3.76,16.94,11.15,5,,,,36,38,4
Arizona,N.Y. Giants,3,-1.17,1.17,-3.56,1.3,0,-2.21,-4.18,-1.05,-101,0,-0.09,-0.91,-0.64,-1.6,0.58,-3,,,,3,14,5
Buffalo,Pittsburgh,6.5,6.93,4.22,0.1,6.5,2,3.31,3.26,5.08,-56,14,7.97,2.56,10.38,5.57,13.84,7,,,,21,24,5
Cleveland,Cincinnati,-3,-2.11,3.35,0.27,-1.5,-3,-4.15,-4.18,-8.25,-64,2,3.77,0,-1.44,-5.35,-2.85,-1,,,,18,17,5
Detroit,San Diego,3.5,5.32,3.63,0.5,0,-4,-0.53,4.48,1.65,-97.99,5,3.68,10.8,7.33,7.16,4.67,2,,,,20,10,5
Green Bay,Tampa Bay,6,8.92,4.54,0.64,2.7,3,5.56,9.96,15.59,-78.99,10,10.92,8.02,5.52,15.3,11.01,3,,,,23,26,5
Indianapolis,Miami,-2,6.81,9.82,0.9,2.5,4,5.95,11.25,15.22,-20.99,14,10.26,10.99,-0.9,12.16,13.7,-2,,,,34,31,5
Kansas City,New England,2.5,3.73,5.7,0.22,2.9,5,0.22,0.61,11.13,-24.99,6,-2.61,-7.02,2.74,12.36,6.33,3,,,,14,16,5
Minnesota,Chicago,13,2.89,6.13,-1.65,3.8,6,-2.84,0.8,0.55,-83.99,-2,2.24,-1.12,16.39,1.1,2.38,0,,,,24,22,5
N.Y. Jets,Jacksonville,-3,-6.01,7.22,-0.42,-5,-11,-4.65,-9.65,-14.68,-90,-14,-5.55,-8.04,2.53,-13.47,-6.88,9,,,,16,6,5
New Orleans,Atlanta,,6.9,6.07,,10.2,12,5.1,15.41,9.38,-77,10,7.95,0.71,0.6,8.27,14.26,7,,,,20,17,5
Oakland,Denver,7,12.56,9.98,0.56,10.1,15,8.25,22.99,22.79,-93.99,22,14.78,4.43,1.21,22.23,17.21,5,,,,16,13,5
