Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Washington,New Orleans,-1,-1.67,-1.93,-4,-2,-1.54,-2.2,3,1.4,-2.63,0.1,0.82,2.4,-5.73,-3.94,0.68,-1.15,-4,-9.38,-0.82,-11.67,-1.43,6,1,,-1,-2.84,-0.81,-0.54,,-1.5,1.16,,,,,,,,,,,43,27,6
Arizona,Dallas,3.5,5.62,6.25,5,8,7.36,6.5,3,6.6,11.46,7.28,6.86,8.4,10.17,11.26,10.36,6.99,4,8,6.3,7.5,10.41,8,3,12.65,3,4.36,7.04,,9.7,3,9.99,6.59,6.4,9.05,7.73,8.2,7.8,,,,,6,9,7
Atlanta,Carolina,3.5,1.39,-2.6,2,4,2.48,4.87,6,2.3,3.68,2.18,2.74,5.9,1.38,0.63,3.2,1.89,-1,4.78,0.57,4.33,6.78,6,3,2.09,5,0.82,1.9,,0.2,3.5,2.62,2.01,2.77,1.4,1.11,1.7,5.7,,,,,0,30,7
Baltimore,Jacksonville,1.5,-0.04,2.43,0.25,1,0.99,0.84,3,2.8,0.43,3.34,1.68,1,2.25,-4,4.26,-0.67,-3,2.28,1.34,-3.5,-1.7,1,1,2.2,2,0.02,-0.12,,-0.7,2,-1.07,1.77,2.11,2.46,2.12,1.5,0.9,,,,,10,17,7
Cleveland,Houston,9,5.5,7.3,8,11,7.91,5.02,10,6.8,3.83,10.12,6.24,5.8,2.85,12.12,11.22,8,5,13.41,6.62,15.67,1.88,14,9,10.62,12,3.07,7.95,,12.6,9.5,4.51,3.68,3.01,9.78,5.97,2.6,9.3,,,,,17,34,7
Detroit,Chicago,-3,-1.61,-2.51,-2,-4,-1.24,-1.35,-3,-4.2,2.56,0.9,2.02,-1.4,-1.57,-1.63,1.64,-0.35,-4,-8.68,-6.04,-7,8.51,-8,-2,0.68,-2,-1.22,-2.21,,-3.6,-3,16.4,1.28,4.75,-0.07,-1.22,0.5,-3.2,,,,,20,23,7
Green Bay,Washington,7.5,7.92,11.21,11,12,9.7,10.84,10,10.5,11.9,8.75,10.01,11.8,4.54,11.23,12.8,8.57,0,9.78,12.79,3.67,-17.91,10,6,12.99,8,10.06,6.95,,17.5,8.5,10.97,7.31,10.39,8.04,9.68,12,13.3,,,,,9,30,7
Kansas City,Denver,-2.5,-1.05,-3.61,-1,3,0.31,-1.78,-1,-0.6,6.56,3.12,1.09,0.2,2.35,0.42,2.94,2,-2,0.99,3.77,-2.83,1.88,3,-1,1.82,-1,-1.55,-0.58,,-3.1,-3,2.84,-0.09,-0.85,-0.13,1.73,-2.2,1.6,,,,,37,34,7
Miami,Buffalo,4,11.45,10.88,15,16,13.51,15.76,12,13.7,9.95,11.57,9.06,11.5,13.38,11.27,14.83,9.48,8,18.31,14.54,21,16.95,13,7,18.29,8,11.77,11.3,,30.5,4,13.08,10.92,14.17,14.36,12.93,15.4,11.8,,,,,23,10,7
N.Y. Jets,Minnesota,3,3.74,-3.1,5,-1,3.12,6,6,7.8,8.77,3.55,0.68,0,11.72,-4.11,5.79,-3.15,-2,-2.72,-3.25,-3.33,-6.37,3,4,4.47,2,6.74,-0.38,,3.6,3,4.4,4.66,5.86,2.57,6.86,9.4,1.9,,,,,7,20,7
