Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Detroit,N.Y. Jets,-3,-1.6,-6.01,-3,-3,-2.37,-1.16,-3,-3.5,-1.72,-1.16,-1.98,-5.7,0.21,-1.27,-4.57,0.08,-1,-3.63,-4.82,-5,-1.33,-5,0,-0.62,-2,-1.12,-2.54,-3.31,-0.9,-3,-6.12,1.28,1.11,-1.29,-2.33,1.1,-4.4,-1,-6,-0.04,,31,14,11
Houston,Jacksonville,-6,-7.14,-8.07,-9,-19,-7.51,-6.1,-6,-6.2,-5.58,-6.92,-3.88,-9.5,-6.63,-11.97,-9.13,-5.54,-4,-14.12,-9.46,-6,-14.96,-13,-5,-9.26,-6,-5.17,-9.64,-5.39,-5.1,-6.5,-9.15,-2.21,-3.56,-7.46,-6.16,-3.4,-5.4,-6.13,-10,-0.1,,24,21,11
Indianapolis,Dallas,6.5,7.48,8.37,7,9,7.85,10.01,8,7.7,9.61,7.78,4,8.6,10.78,9.3,7.22,5.41,4,8.66,8.7,8,3.04,8,7,10.68,6,7.95,7.02,6.62,6.2,6.5,6.85,6.51,9.05,6.45,10.09,9.4,6.6,7.92,7,0.11,,3,20,11
Kansas City,Buffalo,3.5,4.7,3.05,7,15,6.6,6.5,6,7.5,6.05,8.12,5.62,10.4,4.91,4.75,8.84,4,1,13.39,8.68,10,7.11,13,4,11.07,4,2.67,6.87,7.19,1.8,3,10.79,4.51,5.97,6.19,6.27,4,5.8,1.61,3,0.07,,16,17,11
Miami,Baltimore,4.5,5.39,7.46,4,5,5.71,6.42,7,4.7,4.25,3.73,3.27,2,10.05,6.35,2.8,4.25,3,9.59,5.17,12,23.39,5,5,7.55,4,5.42,5.38,5.68,3.5,3.5,6.53,5.08,8.98,8.8,3.76,7.2,3.4,4.96,5,0.11,,7,26,11
Minnesota,Green Bay,-7,-13.06,-8.11,-19,-14,-13.46,-15.16,-12,-15.5,-13.13,-8.39,-11.51,-15.5,-15.75,-9.79,-14.92,-5.75,0,-15.54,-12.45,-16,-12.42,-10,-5,-14.97,-7,-16.14,-11.06,-10.87,-12.9,-6.5,-15.44,-7.72,-14.54,-24.99,-13.2,-17,-14.9,-14.01,-33,-0.29,,21,31,11
N.Y. Giants,Washington,3.5,3.15,6.25,2,4,3.55,4.04,3,4.8,4.88,2.87,5.16,7,3.65,5.96,4.03,3.58,3,2.9,1.57,4,-1.07,4,5,4.93,5,2.07,4.42,2.51,2.3,4,5.55,2.8,3.55,-1.69,2.34,2.7,3.5,3.89,-1,-0.05,,17,19,11
Oakland,New England,4,2.72,4.18,1,2,3.58,5.08,4,3.3,4.32,5.41,8.08,8.4,0.77,3.26,4.7,3.1,3,3.16,3.94,11,-5.01,3,6,4.54,3,1.69,4.32,0.72,1.8,4,4.67,2.97,5.02,-1.93,3.84,2.7,4.2,2.06,-1,-0.05,,20,27,11
Philadelphia,Arizona,11,8.93,5.71,8,14,10,8.84,14,10.8,10.37,10.94,11.05,12.2,8.36,13.14,10.13,7.94,0,15.38,9.75,15,14.61,14,9,12.37,13,7.15,11.05,10.35,5.9,11.5,10.94,6.33,10.26,10.53,10.54,7.5,9.4,8.51,6,0.01,,14,38,11
San Diego,San Francisco,-2.5,-1.56,-8.87,-3,-1,-2.28,-1.55,-2,-3.6,-2.64,-0.35,0.31,-3.8,-4.01,-0.36,-2.37,0.65,-2,-4.19,-5.88,-1,-6.71,-4,-1,-1.1,-1,-2.71,-0.99,1.68,-0.8,-1,-1.8,0.38,-1.28,-2.24,-2.76,-2.4,-4,-1.58,-8,-0.03,,17,20,11
Seattle,Denver,-5,-5.71,-5.29,-8,-3,-4.75,-6.33,-3,-3.9,-2.5,-1.37,-3.56,4,-6.43,-0.79,-3.31,0.33,-5,-4.26,-0.84,-5,-3.23,1,-4,-4.96,-5,-7.63,-4.06,-1.61,-3,-4.5,-2.68,-2.95,-9.92,-18.06,-4.71,-8.7,-2.6,-5.98,-15,-0.15,,31,9,11
St. Louis,Chicago,10.5,7.09,14.74,7,9,9.39,10.2,11,11.3,11.07,8.77,8.89,14.4,13.39,6.51,10.41,4.45,7,6.02,10.49,6,9.15,14,6,9.74,10,8.45,6.14,9.86,7.1,10,11.95,6.63,10.42,8.72,8.13,9.5,13.4,7.2,12,0.17,,16,21,11
Tampa Bay,Carolina,9,11.33,14.05,9,14,12.54,11.99,16,14.3,13.54,12.75,10.96,13.2,10.92,14.64,11.79,7.92,2,13.71,16.29,12,10.04,17,11,15.07,10,12,11.21,13.36,9.3,8.5,12.72,8.97,13.7,15.8,16.17,12.6,14.4,12.87,12,0.12,,10,23,11
Tennessee,Pittsburgh,-3,-3.17,-4.34,-6,-6,-3.96,-3.02,-4,-3,-5,-1.91,-1.98,-5.4,-2.96,-3.09,-6.9,-1.24,-1,-9,-6.47,-10,-3.73,-7,0,-6.37,-2,-1.56,-4.94,-3.97,-1,-3,-6.51,-0.16,1.82,-6.18,-4.94,-0.1,-5.9,-1.53,-7,-0.02,,23,31,11
Arizona,Oakland,-8,-7.25,-10.49,-9,-11,-8.49,-6.76,-8,-7.6,-11.63,-7.3,-6.87,-15.5,-5.05,-7.99,-11.19,-4.19,-7,-17.68,-12.69,-17,-19.25,-10,-3,-9.97,-7,-5.26,-9.81,-3.26,-5.2,-7.5,-12.33,-1.59,-3.21,-9.61,-8.12,-4.1,-10.9,-6.14,-10,-8,-8.42,41,20,12
Baltimore,Tennessee,-2,1.64,1.66,1,4,0.94,0.99,0,2,3.91,3.17,0.49,-2.2,1.48,0.2,1.49,1.03,-5,3.33,-0.16,2,9.28,2,1,4.95,-1,-0.21,3.55,1.38,-0.5,-2,1.3,2.08,0.63,0.9,2.63,0.1,-0.6,-2.27,-3,-1,-0.47,12,13,12
Carolina,Atlanta,-3.5,-5.28,-10.57,-6,-5,-6.34,-7.45,-6,-7,-6.25,-2.24,-4.12,-9.4,-4.04,-6.35,-6.75,-2.35,-7,-6.44,-7.15,-4,-7.66,-7,-3,-5.08,-4,-6.43,-4.46,-8.55,-7.8,-3.5,-7.49,-1.89,-5.37,-10.87,-5.55,-7,-10.4,-8.16,-11,-11,-7.09,41,0,12
Chicago,Detroit,5.5,3.9,5.7,3,11,4.79,3.66,8,7.1,8.41,6.74,5.4,4.1,4.25,5.2,5.14,4.29,2,7.73,4.52,8.5,10.21,12,5,7.13,5,0.64,6.92,8.8,0.4,3.5,6.54,2.91,2.26,1.72,3.58,1.1,0.9,0.67,-3,-3,1.65,17,20,12
Dallas,Jacksonville,-2.5,-4.02,-1.8,-5,-3,-2.98,-4.49,-1,-0.9,0.39,-1.73,-0.74,-2.7,2.28,-7.67,-3.1,-2.72,-6,-6.4,-4.78,-0.5,0.23,-4,-2,-4.4,0,-3.62,-4.42,-1.65,-2.5,-2,-1.65,-0.77,-1.26,-6.23,-2.24,-2.7,-2.1,-5.57,-6,-10,-4.08,19,21,12
Denver,Indianapolis,6.5,6.31,4.79,6,8,6.56,8.73,7,7.8,-1.92,5.83,8.14,6.2,1.39,1.84,5.18,1.99,5,6.5,7.07,11.5,-5,6,7,9.07,7,6.89,5.84,8.45,3.6,6.5,7.75,6.28,10.1,9.21,9.43,8.6,5.5,4.39,8,8,6.67,23,20,12
Houston,N.Y. Giants,-5.5,-7.69,-9.07,-7,-13,-7.49,-7.52,-4,-8.3,-7.41,-5.11,-3.55,-5,-6.49,-6.65,-6.85,-2.2,-8,-8.98,-8.84,-6.5,-11.94,-8,-6,-7.44,-5,-8.89,-6.56,-9.23,-7.2,-6,-7.21,-2.84,-4.39,-12.62,-6.99,-7.6,-8.8,-9.35,-13,-11,-9.84,14,16,12
Miami,San Diego,3,3.55,3.21,2,3,3.64,2.76,6,3.2,7.47,3.89,2.56,6.1,2.99,4.4,4.36,3.3,1,10.1,4.24,12,23.19,5,3,5.56,4,1.25,5.7,1.29,1.5,3,5.64,2.53,2.7,1.08,3.25,1.3,2.9,0.47,-4,-4,4.42,3,30,12
N.Y. Jets,Buffalo,3,2.99,-1.52,3,4,3.62,4.29,4,7,4.89,3.72,5.06,8.5,-0.4,1.25,4.94,1.5,2,3.85,2.27,3,-9.56,6,3,4.12,2,3.28,2.7,4.17,2.2,3,6.77,3.45,6.26,4.26,1.88,4,8.7,1.69,2,1,6.17,13,31,12
New England,Minnesota,7.5,9.99,9.55,13,16,10.5,11.06,11,11.7,12.24,9.98,4.16,6,8.89,7.88,8.09,6.01,5,13.54,12.74,8,16.32,14,6,16.03,9,10.21,9.98,15.97,5,8,10.71,7.86,10.53,14.39,14.18,11.3,5.9,8.14,15,13,10.48,17,24,12
New Orleans,Cleveland,6,8.04,6.4,10,8,8.43,10.17,6,7.6,9.82,5.71,6.18,7.3,9.94,3.88,7.05,2.79,3,10.42,7.17,13.5,14.35,6,7,11.34,6,9.02,7.11,9.85,4,6,8.22,7.33,13.14,11.73,9.99,11.2,7.1,7,14,14,11.83,24,15,12
Pittsburgh,Cincinnati,11,14.3,10.13,15,18,14.05,14.72,17,13.6,7.11,14.28,12.93,11.8,7.08,13.05,13.38,9.91,9,16.87,14.54,16.5,12.23,18,9,18.18,11,14.73,14.12,17.73,13.2,10.5,14.84,10.37,13.98,19.79,15.71,13.2,13.6,13.74,19,13,16.04,21,29,12
San Francisco,Philadelphia,7,1.65,3.37,2,-1,2.63,4.3,0,3.9,12.19,0.58,0.08,2,7.65,-2.81,1.99,-1.09,3,-0.7,1.72,-3,-4.14,2,3,3.48,4,4.25,-1.06,0.9,1.8,7,3.64,3.91,6.2,5.65,3.29,5.9,4.3,0.75,5,9,2.55,38,17,12
Seattle,Kansas City,-3,-4.14,-7.1,-7,-4,-4.44,-4.68,-2,-2.6,-4.33,-2.07,-4.49,-4.8,-3.55,-2.47,-6.04,-0.6,-2,-6.81,-4.12,-7,-2.77,-4,-1,-5.85,-3,-4.47,-3.86,-2.67,-3.6,-3.5,-6.68,-1.59,-3.63,-8.35,-4.36,-4.4,-4.6,-4.81,-11,-11,-2.95,32,39,12
Tampa Bay,Green Bay,3,2.94,7.58,4,6,3.8,3.52,3,2.5,5.03,6.17,2.01,3.1,1.88,6.32,3.75,4.63,2,5.71,7.44,9,2.61,4,3,6.12,3,1.77,4.19,2.28,2,3,1.37,3.91,3.46,4.04,5.63,3.2,1.3,3.15,-1,0,1.06,7,21,12
Washington,St. Louis,-4.5,-1.14,-0.87,-1,-3,-1.75,1.34,-3,-3.3,2.63,-1.15,-1.33,-5.5,1.6,-3.32,-2.85,-0.9,-5,-3.65,-6.36,-4.5,1.77,-6,0,0.15,-5,0.01,-2.43,-2.44,0.3,-5,-4.55,1.64,2.38,-0.44,-1.37,1.3,-4,-1.64,-3,-10,0.3,17,20,12
Buffalo,Miami,-2.5,-5.71,-4.21,-8,-4,-5.73,-5.5,-6,-5.2,-3.97,-2.13,-3.46,-8.8,-2.55,-6.23,-5.87,-3.54,-4,-15.9,-7.29,-14.6,-7.7,-9,2,-6.09,,-4.59,-7.03,-1.91,-3.5,0,-6.32,-1.03,-3.93,-6.24,-3.56,-3.5,-5.9,-4.34,-11,-11,-11.41,21,38,13
Cincinnati,Baltimore,-3,-7.45,-4.79,-7,-6,-5.84,-6.42,-4,-4.5,-3.61,-3.39,-3.81,-3.6,-7.87,-3.92,-4.2,-2.1,-5,-7.77,-6.6,-7.6,-18.41,-4,-2,-5.01,,-9.44,-6.22,-4.99,-5.5,-3,-2.46,-2.29,-4.96,-10.02,-5.82,-6,-3.2,-7.16,-16,-8,-9.21,27,23,13
Cleveland,Carolina,7.5,7.09,9.68,8,8,9.38,8.82,13,10,8.04,8.16,9.82,15.6,7.48,10.59,10.43,6.49,9,7.83,12.24,2.4,4.63,15,6,10.22,,7.91,6.46,8,12.6,7.5,12.22,5.94,9.81,11.99,8.67,8.1,11,11.37,8,7,10.5,13,6,13
Dallas,Washington,-1,-2.22,2.84,-3,-1,-1.49,-1.1,-1,-0.6,1.09,-0.39,1.05,0.8,-3.22,0.5,-1.48,0.86,-2,-1.96,-2.12,-3.4,-3.93,-1,-1,-0.83,,-3.23,-1.14,-3.39,-3.3,-1.5,0.14,0.2,-0.34,-4.39,-1.4,-2.1,-3,-0.61,-7,-5,-3.91,20,27,13
Detroit,New England,-5.5,-8.17,-12.15,-11,-13,-8.81,-7.02,-9,-7.9,-7.95,-4.34,-3.82,-7.7,-13.42,-8.15,-8.58,-4.92,-8,-15.05,-12.55,-8.6,-16.71,-14,-1,-10.74,,-7.47,-8.92,-10.87,-8.6,-5.5,-10.08,-2.46,-3.49,-10.83,-8.01,-5.7,-5.5,-7.2,-16,-16,-7.66,20,12,13
Green Bay,Chicago,9.5,11.78,11.51,15,11,12.83,14.17,12,11.9,16.83,10.61,13.54,12.3,20.06,10.21,12.07,7.36,9,11.96,9.97,8.6,18.69,11,9,14.9,,13.92,10.13,11.36,9.8,10,13.18,9.44,15.2,18.36,12.91,14.8,11.5,16.15,21,15,12.69,20,30,13
Indianapolis,Houston,11,12.39,11.64,13,13,13.08,12.64,14,14.3,16.44,13.31,10.33,14.8,12.95,13.65,14.55,8.71,2,15.74,15.33,12,4.09,17,11,16.5,,12.53,12.57,12.69,8.6,10.5,16.47,8.85,12.95,16.62,12.87,12.4,15.2,15.43,13,8,13.25,3,19,13
Jacksonville,Pittsburgh,-3,-1.52,-1.22,-3,1,-1.36,-0.67,-2,-1.8,6.3,0.5,-0.53,-1.5,0.16,2.02,-2.91,1.85,-1,-3.83,-2.12,-9.4,8.21,1,1,-0.95,,-2.21,-0.85,-2.19,-1.2,-3,-1.26,0.71,1.09,-3.41,-3.55,-0.6,-5.4,-0.61,-7,-5,-4.64,25,23,13
Kansas City,Arizona,9.5,7.66,4.15,11,12,9.51,7.85,10,8.9,13.98,9.97,10.72,12.8,3.92,8.2,12.54,6.33,7,14.67,11.82,15.5,15.67,12,6,12.79,,6.18,9.43,8.56,6.6,9,14.73,5.81,8.85,10.32,10.05,6.9,12.5,7.98,7,10,7.35,0,49,13
Minnesota,Atlanta,-3.5,-8.13,-8.43,-12,-11,-8.96,-9.73,-5,-8,-7.2,-4.02,-7,-8.2,-13.05,-8.2,-9.8,-5.2,-7,-12,-9.11,-8.9,-16.91,-6,-2,-10.79,,-9.09,-7.73,-10.05,-11,-3.5,-9.22,-3.76,-6.95,-14.48,-8.65,-9.8,-10.2,-10.36,-20,-16,-8,30,24,13
N.Y. Giants,Tennessee,3,1.41,3.27,1,2,1.19,2.26,-1,2.8,3.56,0.75,0.91,-2.5,-2.83,1.87,-1.09,1.72,4,-0.78,0.37,0.3,8.86,2,3,2.74,,1.27,1.52,1.88,1.3,2.5,0.5,2.2,2.37,0.44,1.37,2.6,0.3,2.93,-2,1,-0.04,32,29,13
New Orleans,Tampa Bay,-1,-2.98,-4.62,-5,-5,-2.94,-1.27,-4,-3.6,-1.03,-3.18,-4.49,-4.9,-5.17,-5.55,-4.13,-3.68,-7,-3.57,-7.14,1.9,-2.01,-5,2,-1.11,,-2.6,-3.35,0.73,-2.3,-1,-3.13,0.04,2.29,-3.83,-2.84,-0.2,-4.4,-3.26,-7,-3,0.35,20,23,13
Oakland,N.Y. Jets,6,6.68,5.83,8,9,7.22,7.69,9,7.1,7.91,5.79,5.56,5.5,3.09,8.16,4.96,6.24,4,12.79,7.55,15.4,7.03,12,7,11.26,,5.23,8.52,5.55,3.3,7,5.74,5.05,7.69,7.18,7.74,6.3,1.3,7.48,6,9,5.41,20,26,13
Philadelphia,St. Louis,-1,8.24,9.14,10,10,8.97,11.03,9,7,5.22,7.58,11.4,11.2,14.15,10.36,8.86,7.47,6,9.47,8,10.5,17.35,8,5,11.99,,7.49,9.39,7.4,5.3,-1,7.95,6.93,10.37,11.32,9.67,8.9,4.7,11.97,9,11,7.17,3,10,13
San Diego,Denver,-3,-0.86,-4.33,-1,-1,-0.23,0.98,-2,-0.6,5.22,0.25,-0.23,-0.5,2.41,-0.69,-2.22,0.37,-2,-4.29,-0.12,-1.3,-4.55,-2,-1,-0.1,,0.38,-1.95,3.03,0.9,-3,-3.28,1.88,2.54,0.44,-0.08,1.8,-1.9,1.73,-1,-1,1.14,27,30,13
San Francisco,Seattle,9,8.56,10.48,10,9,8.97,10.14,7,9.9,8.36,8.14,7.9,2.1,11.4,5.65,6.53,4.22,6,6.89,11.05,10.4,3.12,9,10,10.93,,10.09,7.23,9.2,4.9,9,6.79,7.65,12.76,12.25,11.14,11.8,5.6,11.33,13,7,7.33,24,31,13
Arizona,Detroit,1.5,3.15,1.49,3,3,2.23,4.58,3,3.3,1.41,3.29,1.14,-4.3,4.48,1.1,-0.91,0.9,2,-0.17,1.84,-2.35,0.03,3,2,3.13,2,4.49,0.8,7.63,3.2,1.5,-1.91,4.24,5.16,5.54,0.93,6.6,-1.4,3.6,-3,1,1.68,20,23,14
Baltimore,New Orleans,-2.5,-2.26,-3.27,-4,-3,-2.57,-3.22,0,-1,-2.51,0.08,-2,-2.1,0.54,-2.47,-2.26,-0.44,-1,-6.19,-1.15,-11.35,-6.08,0,2,-3.4,-1,-2.24,-2.33,-2.05,-0.1,-2.5,-3.1,-0.35,-3.98,-3.92,-1.93,-4,-1.6,-3.27,-8,-8,-5.04,37,25,14
Carolina,Cincinnati,3.5,7.6,3.71,6,6,7,9.86,5,6.4,7.67,7.08,8.39,7.1,6.48,4.27,7.35,3.3,5,7.64,6.47,11.65,0.09,4,3,9.32,5,9.33,6.89,4.96,6.5,3,4.78,7.02,8.65,11.73,8.25,11.8,4.3,7.98,3,2,9.28,31,52,14
Dallas,San Francisco,-4.5,-5.43,-5.31,-6,-6,-4.61,-4.6,-2,-6.7,-0.94,-1.72,-1.53,-0.2,-0.83,-4.25,-2.57,-1.59,-3,-7.87,-5.65,-10.15,-5.69,-5,-4,-5.56,-4,-6.13,-5.17,-5.21,-2.4,-5,-3.58,-1.88,-2.46,-7.72,-3.62,-8.5,-4,-5.83,-10,-6,-5.56,31,27,14
Green Bay,Minnesota,9.5,12.47,14.1,17,14,12.51,14.5,12,13.9,13.41,11.98,12.23,6.9,14.28,9.84,8.57,7.38,9,11,15.74,9.65,24.03,10,10,14.84,9,15,10.66,14.92,7.6,10,8.28,9.44,14,18.58,16.29,17.9,7.8,14.63,11,16,15.06,22,26,14
Jacksonville,Cleveland,1.5,1.68,3.46,1,6,1.61,1.92,2,1.6,-0.76,2.94,0.75,1,-0.85,2.5,-0.55,2.34,1,1.24,4.77,-1.25,4.8,7,3,2.14,1,1.3,2.03,2.96,0.6,3,1.66,2.24,3.77,0.12,1.5,0.2,-0.9,0.62,-1,-4,-1.08,21,20,14
Kansas City,St. Louis,5,3.98,7.47,7,6,5.2,7.59,2,3.6,9.83,3.4,5.12,6.8,5.82,5.61,3.15,4.46,2,7.15,8.38,4.55,12.83,4,3,8.68,5,3.4,4.67,2.62,2.4,3,5.57,4.65,6.66,6.05,6.67,5.2,4.5,4.91,6,9,3.15,10,49,14
Miami,Chicago,9.5,10.6,12.75,12,9,10.91,13.1,11,9.7,12.54,8.79,9.85,11.3,9.11,10.23,9.24,7.07,9,14.18,10.15,14.75,26.21,10,7,13.45,10,11.49,10.38,9.21,8.2,8.5,10.93,8.31,13.85,15.48,9.45,13.5,10.2,11.67,9,12,12.67,9,27,14
N.Y. Jets,Denver,-1,-0.9,-6.41,-2,-2,0.37,-1.34,1,1.7,7.73,1.33,3.27,6.9,1.42,-0.86,3.87,0.22,1,-2.4,-0.35,1.65,-7.65,-1,-1,-0.58,1,-1.23,-0.58,3.77,1.4,-1,5.02,0.93,0.04,-0.94,0.15,-1.6,5.1,-0.99,-4,-5,-1,13,19,14
New England,Buffalo,4.5,6.14,4.83,9,14,6.67,6.17,7,7.1,7.44,6.42,3.02,2.9,5.36,6.67,3.25,5.2,6,11.01,8.58,4.55,0.54,12,4,9.7,5,5.67,6.62,10.22,3.1,4,5.36,4.93,6.99,7.07,6.61,6.2,4.5,5.59,7,7,7.82,17,27,14
Pittsburgh,Houston,13.5,13.34,13.3,16,17,13.58,13.35,14,15.6,12.09,15.08,11.75,11.2,8.76,13.54,13.66,9.75,1,18.15,15.62,10.65,17.77,18,12,18.01,13,13.05,13.9,16.76,8.8,13,14.22,9.28,11.98,18.12,15.42,14.2,14.1,13.9,16,6,14.73,24,6,14
San Diego,Oakland,-3,-1.85,-3.07,-1,-5,-2.47,0.58,-3,-2.5,-5.89,-3.26,-2.14,-3.7,1.4,-3.65,-4.6,-1.83,-5,-8.96,-5.94,-5.45,-9.82,-7,-1,-2.74,-2,0.85,-4.46,-1.73,1.4,-3,-7.19,2.11,3.45,-0.21,-2.04,3,-3.8,0.09,-7,-2,0.99,27,7,14
Seattle,Philadelphia,-3,-8.29,-6.56,-10,-12,-7.61,-7.69,-8,-9,-0.43,-7.83,-9.09,-6.1,-4.25,-9.08,-7.64,-5.04,-5,-7.58,-9.72,-7.45,-10.35,-10,-4,-8.52,-4,-8.04,-8.75,-8.83,-3.5,-4,-7.05,-3.34,-6.01,-10.9,-9.03,-9,-7.1,-10.07,-14,-14,-5.61,27,20,14
Tampa Bay,Atlanta,4,4.31,-0.38,4,5,3.82,4.31,5,4.6,1.63,6.98,3.94,-1.5,3.38,4.29,2.03,3.55,3,5.03,3.32,7.75,-3.73,3,5,5.37,4,4.09,4.65,1.4,1.9,3.5,0.62,4.51,4.59,4.96,5.31,4.2,-0.7,3.66,4,1,5.59,10,34,14
Tennessee,Indianapolis,2,-0.16,-1.31,-1,-2,-0.12,0.64,1,0.8,0.79,0.83,0.57,-3,-0.55,-2.73,-0.29,-0.77,-2,-1.56,-1.08,-1.45,-3.05,-1,2,-0.1,2,0.36,-0.72,3.48,1.6,2,-2.38,1.63,3.53,0.11,1.85,1.6,-1.8,-0.79,-5,1,0.26,17,27,14
Washington,N.Y. Giants,2.5,1.3,2.55,1,2,1.96,2.02,4,2.3,4.5,3,1.94,3.2,5.71,-1.06,2.08,0.58,-1,0.28,-0.47,0.75,-2.89,3,2,2.58,3,1.92,0.51,1.36,1.6,2.5,2.47,2.98,4.63,3.21,2.24,1.7,2.9,0.11,-1,-1,2.29,27,21,14
Atlanta,Seattle,10,11.89,6.87,13,10,10.41,11.95,8,10,13.58,8.98,10.24,7.4,8.33,9.4,10.88,6.85,8,10.89,8.37,5.92,8.55,9,8,14.59,,12.5,11.4,9.78,7.5,9,10.25,8.3,13.11,15.66,11.28,13.1,11.5,12.78,14,13,8.98,30,24,15
Buffalo,San Diego,3,-0.6,-1.02,-1,1,0.74,-1.11,3,0.7,6.76,2.59,1.17,1.8,3.16,1.72,4.7,1.83,-1,1.67,-3.1,0.82,-1.76,3,2,2.35,,-2.78,1.33,-0.7,0.9,2.5,5.81,1.07,-1.74,-0.88,1.35,-1.6,1.7,-1.27,-1,-6,-3.96,13,20,15
Chicago,N.Y. Jets,-6.5,-5.31,-5.71,-5,-2,-4.96,-5.31,-2,-5.7,-4.97,-2.99,-7.71,-10.7,-2.34,-2.21,-7.79,-0.71,-5,-3.12,-6.91,-9.58,-7.14,-2,0,-3.09,,-7.21,-4.21,-4.55,-3.4,-6,-10.16,-1.41,-3.68,-8.67,-5.28,-6.2,-9.3,-5.77,-4,-9,-4.8,13,20,15
Cincinnati,Jacksonville,-3,-6.59,-8.26,-8,-8,-5.74,-5.9,-5,-4.4,-3.87,-4.2,-5.02,-4.1,-1.08,-7.33,-4.51,-4.26,-7,-8.5,-8.89,-3.58,-10.6,-9,-3,-6.43,,-6.81,-6.8,-3.47,-1.5,-3,-4.92,-1.77,-3.68,-8.51,-5.75,-6.7,-0.6,-7.11,-9,3,-6.55,29,15,15
Cleveland,Indianapolis,-2,1.34,0.44,1,-1,0.74,1.67,0,0.2,-0.48,0.74,2.54,0.7,-0.89,0.48,1.05,1.03,-4,1.45,1.19,0.42,-2.72,0,1,3.02,,0.3,2.35,1.32,2,-2.5,-1.07,2.09,2.45,1.16,2.36,1.4,-1.1,0.29,-1,1,0.55,28,23,15
Denver,Kansas City,3.5,1.56,-3.8,2,3,1.07,2.81,1,-0.3,-4.12,4.13,0.85,-2.3,5.21,-1.09,0.11,-0.64,1,-0.22,-2.1,4.02,1.48,-5,5,0.83,,3.14,-0.57,1.37,2,3.5,-2.7,3.05,4.5,2.62,1.28,4.5,-2.4,1.64,-1,2,4.13,24,31,15
Detroit,Tampa Bay,-8.5,-15.37,-13.17,-15,-14,-13.58,-13.32,-14,-14.1,-15.01,-10.32,-14.42,-18.1,-6.84,-13.87,-15.2,-8.31,-3,-18.62,-15.54,-16.58,-10.96,-17,-4,-15.99,,-15.14,-15.87,-11.99,-9.2,-7.5,-16.4,-6.63,-9.26,-19.85,-12.41,-13.2,-14.1,-15.5,-19,-16,-13.89,23,20,15
Houston,Baltimore,-3,-3.27,-0.61,-4,-11,-2.58,-0.65,0,-3.1,-0.51,-2.24,0.36,3.8,0.41,-3.12,0.35,-0.87,-7,-5.4,-3.4,-7.08,-12.71,-1,-3,-2.92,,-2.84,-4.08,-3.76,0.6,-3,1.6,0.16,0.83,-3.77,-3.18,-2,0.2,-2.99,-11,-3,-3.97,23,19,15
Miami,Oakland,1.5,-0.34,-1.17,-0.25,-1,-0.6,0.2,0,-1.1,-2.89,-0.31,-1.6,-4.7,-0.19,0.78,-2.97,0.73,-1,-0.2,-3.41,2.42,10.43,-2,1,0.31,,-0.68,0.07,-0.93,0,2.5,-4.45,1.95,1.32,-1.18,0.56,0.9,-2.7,0.1,-1,-3,1.5,17,23,15
N.Y. Giants,Dallas,5,5.9,7.27,5,7,5.61,6.53,4,5.7,6.27,6.17,3.43,1,1.64,5.38,4.68,3.7,5,5.77,2.89,7.07,10.21,6,6,7.56,,6.26,5.6,9.42,4,4,5.02,4.86,6.01,7.27,6.79,8.6,4.8,6.84,4,2,5.88,7,37,15
New Orleans,Minnesota,7,13.63,13.71,18,9,12.16,15.71,9,10.5,13.08,9.32,10.03,8.4,13.22,7.78,8.62,6.32,8,11.73,14.44,15.17,15.54,7,6,14.83,,17.62,11.09,13.1,7.4,7,7.07,9.59,18.2,19.15,12.9,16.8,8.8,14.88,11,16,17.45,32,31,15
Philadelphia,Washington,7.5,12.2,13.47,13,15,12.66,12.5,15,14.6,11.48,11.49,14.29,16.7,12.77,14.13,13.1,10.03,1,15.28,12.87,13.92,9.59,17,8,15.29,,10.51,14.21,14.04,7.3,8.5,15.09,8.34,11.45,14.52,11.91,13.4,13,14.22,13,13,9.48,21,34,15
Pittsburgh,Carolina,8.5,6.09,4.87,7,10,5.91,5.87,9,6.8,-1.39,6.39,3.09,-1.9,1.44,6.06,1.24,4.52,6,6.22,6.63,1.67,1.24,9,9,7.68,,7.32,4.92,11.09,3.7,8.5,1.93,5.05,9.06,8.08,7.39,6.7,4.1,7.78,9,1,8.13,14,30,15
San Francisco,Green Bay,3,0.07,4.01,0.25,1,1.34,2.23,2,2.8,0.52,1.69,-0.43,2,3.38,-0.58,-0.25,0.22,1,-0.53,5.61,3.67,-1.27,2,1,0.88,,1.38,-0.9,3.24,2,3.5,1.11,2.38,3.94,1.12,0.8,2.5,0.8,0.46,-4,-4,-0.76,20,14,15
St. Louis,Arizona,11,5.63,5.01,6,12,7.98,3.91,13,9.4,10.76,9.28,9.77,9.9,5.63,6.13,10.06,4.8,7,10.98,6.56,12.67,16.57,15,5,9.58,,3.71,8.75,10.66,3.2,10,13.84,4.22,6.06,6.6,7.31,3.9,8.9,4.34,10,3,5.41,28,30,15
